,Skew
User_Avg_Rating_x,1.54623348376209
User_Rating_Count_x,2.30233978170569
Product_Vintage_x,-1.2322305828414153
Critical_Avg_Rating_x,0.542172545093838
Critical_Rating_Count_x,0.8155221131883174
Appellation_Level_x,-0.02105911978311535
Aug_Avg_High_Temperature_x,0.1329876190702062
Aug_Avg_Temperature_x,0.1764222158300336
Aug_Avg_Low_Temperature_x,-0.03420148739346743
Aug_Avg_High_ Dew_Point_x,1.2679995613893906
Aug_Avg_ Dew_Point_x,1.2993560409248945
Aug_Avg_Low_ Dew_Point_x,1.2798838430234711
Aug_Avg_High_Humidity_x,0.5828809025275298
Aug_Avg_Humidity_x,0.76637191245389
Aug_Avg_Low_Humidity_x,0.8048948394353524
Aug_Avg_High_Wind_Speed _x,0.053708086395372764
Aug_Avg_Wind_Speed _x,0.3697961151416907
Aug_Avg_Low_Wind_Speed _x,0.2851834449495485
Aug_Avg_High_Pressure_x,0.27192003962455275
Aug_Avg_Pressure_x,0.26618289171113946
Aug_Avg_Low_Pressure_x,-0.5523151191158533
Aug_Average_Precipitation_x,0.0
Aug_Total_Precipitation_x,0.0
Nov_Avg_High_Temperature_x,0.19536427300632492
Nov_Avg_Temperature_x,0.4054779423003327
Nov_Avg_Low_Temperature_x,0.49195843054443505
Nov_Avg_High_ Dew_Point_x,0.7895732529242417
Nov_Avg_ Dew_Point_x,0.8903365610496942
Nov_Avg_Low_ Dew_Point_x,0.8285382327749939
Nov_Avg_High_Humidity_x,-1.7562031586000098
Nov_Avg_Humidity_x,-0.8119489732595694
Nov_Avg_Low_Humidity_x,-0.5977514674987746
Nov_Avg_High_Wind_Speed _x,0.7291950868106138
Nov_Avg_Wind_Speed _x,0.4742422605551728
Nov_Avg_Low_Wind_Speed _x,1.0158565240993076
Nov_Avg_High_Pressure_x,-0.04043632133671961
Nov_Avg_Pressure_x,-0.08735080687038418
Nov_Avg_Low_Pressure_x,-0.05643717126485604
Nov_Average_Precipitation_x,0.0
Nov_Total_Precipitation_x,0.0
Jun_Avg_High_Temperature_x,-0.4056635684304933
Jun_Avg_Temperature_x,-0.18760494466855596
Jun_Avg_Low_Temperature_x,0.2092681197471461
Jun_Avg_High_ Dew_Point_x,1.3738560983856576
Jun_Avg_ Dew_Point_x,1.5142742708316241
Jun_Avg_Low_ Dew_Point_x,1.140797272733809
Jun_Avg_High_Humidity_x,-0.20664591296545592
Jun_Avg_Humidity_x,0.023012565135759763
Jun_Avg_Low_Humidity_x,0.4237572699110498
Jun_Avg_High_Wind_Speed _x,0.6011040576924414
Jun_Avg_Wind_Speed _x,0.7893651341047946
Jun_Avg_Low_Wind_Speed _x,1.4445196375559368
Jun_Avg_High_Pressure_x,0.3235312399916389
Jun_Avg_Pressure_x,0.35149137717485046
Jun_Avg_Low_Pressure_x,0.367130571817474
Jun_Average_Precipitation_x,0.0
Jun_Total_Precipitation_x,0.0
Apr_Avg_High_Temperature_x,-0.22876835741432394
Apr_Avg_Temperature_x,-0.24491464530867868
Apr_Avg_Low_Temperature_x,0.4912365903245729
Apr_Avg_High_ Dew_Point_x,0.5806297384377294
Apr_Avg_ Dew_Point_x,0.7068127220237103
Apr_Avg_Low_ Dew_Point_x,1.0845016551011262
Apr_Avg_High_Humidity_x,-0.11472267237037959
Apr_Avg_Humidity_x,0.45197730676915265
Apr_Avg_Low_Humidity_x,0.174535195341775
Apr_Avg_High_Wind_Speed _x,0.7609783296298134
Apr_Avg_Wind_Speed _x,0.7628996299628227
Apr_Avg_Low_Wind_Speed _x,0.8422100426083056
Apr_Avg_High_Pressure_x,0.31370778986273884
Apr_Avg_Pressure_x,0.3371780099763644
Apr_Avg_Low_Pressure_x,0.2985990223187845
Apr_Average_Precipitation_x,0.0
Apr_Total_Precipitation_x,0.0
Feb_Avg_High_Temperature_x,0.08484127280787719
Feb_Avg_Temperature_x,0.20676320778877127
Feb_Avg_Low_Temperature_x,-0.09130637772276154
Feb_Avg_High_ Dew_Point_x,0.20789646803908493
Feb_Avg_ Dew_Point_x,0.36524931908684094
Feb_Avg_Low_ Dew_Point_x,0.4836692595234993
Feb_Avg_High_Humidity_x,-1.2192489736341807
Feb_Avg_Humidity_x,-0.6579248225478853
Feb_Avg_Low_Humidity_x,-0.08494872457731122
Feb_Avg_High_Wind_Speed _x,0.4576554643813483
Feb_Avg_Wind_Speed _x,0.6125375214629015
Feb_Avg_Low_Wind_Speed _x,0.6245467711382952
Feb_Avg_High_Pressure_x,0.2078426915293122
Feb_Avg_Pressure_x,0.22366855273471267
Feb_Avg_Low_Pressure_x,0.1801038368691849
Feb_Average_Precipitation_x,0.0
Feb_Total_Precipitation_x,0.0
Oct_Avg_High_Temperature_x,0.014665005993297045
Oct_Avg_Temperature_x,0.11119351324049241
Oct_Avg_Low_Temperature_x,0.09245189727644004
Oct_Avg_High_ Dew_Point_x,0.8198047524584642
Oct_Avg_ Dew_Point_x,0.7735397531321252
Oct_Avg_Low_ Dew_Point_x,0.7864561328010808
Oct_Avg_High_Humidity_x,-0.7059401197305617
Oct_Avg_Humidity_x,-0.5957620504470258
Oct_Avg_Low_Humidity_x,-0.35385513363022825
Oct_Avg_High_Wind_Speed _x,-0.4165010945180202
Oct_Avg_Wind_Speed _x,-0.7001161429739801
Oct_Avg_Low_Wind_Speed _x,-0.1590986432398875
Oct_Avg_High_Pressure_x,0.24543462599067542
Oct_Avg_Pressure_x,0.26096950985259854
Oct_Avg_Low_Pressure_x,0.21850708573206873
Oct_Average_Precipitation_x,0.0
Oct_Total_Precipitation_x,0.0
Jul_Avg_High_Temperature_x,0.2052208678337307
Jul_Avg_Temperature_x,0.5787904838852098
Jul_Avg_Low_Temperature_x,0.06365994071326886
Jul_Avg_High_ Dew_Point_x,0.5041578953316691
Jul_Avg_ Dew_Point_x,0.4981384261132151
Jul_Avg_Low_ Dew_Point_x,0.24950189696359648
Jul_Avg_High_Humidity_x,0.9855165006959026
Jul_Avg_Humidity_x,0.9769280359101834
Jul_Avg_Low_Humidity_x,1.3308820287984444
Jul_Avg_High_Wind_Speed _x,0.6112207325753223
Jul_Avg_Wind_Speed _x,0.6085192740444779
Jul_Avg_Low_Wind_Speed _x,0.11070370211592255
Jul_Avg_High_Pressure_x,0.3358765089100581
Jul_Avg_Pressure_x,0.3458104210421436
Jul_Avg_Low_Pressure_x,0.34949015744576567
Jul_Average_Precipitation_x,0.0
Jul_Total_Precipitation_x,0.0
May_Avg_High_Temperature_x,-0.056198626390658986
May_Avg_Temperature_x,0.11456729288160881
May_Avg_Low_Temperature_x,0.3161122866986608
May_Avg_High_ Dew_Point_x,0.31267210931484907
May_Avg_ Dew_Point_x,0.3052128406360904
May_Avg_Low_ Dew_Point_x,0.5015248429664216
May_Avg_High_Humidity_x,-0.6526560974581912
May_Avg_Humidity_x,-0.11027546395011678
May_Avg_Low_Humidity_x,0.2101628149299339
May_Avg_High_Wind_Speed _x,0.48027202620047416
May_Avg_Wind_Speed _x,0.4994463049759237
May_Avg_Low_Wind_Speed _x,-0.0009367146941117571
May_Avg_High_Pressure_x,0.3705571770246884
May_Avg_Pressure_x,0.33058427011673064
May_Avg_Low_Pressure_x,-1.2414977488412988
May_Average_Precipitation_x,0.0
May_Total_Precipitation_x,0.0
Dec_Avg_High_Temperature_x,0.20035347078858348
Dec_Avg_Temperature_x,0.22350745522053653
Dec_Avg_Low_Temperature_x,0.24590393429030977
Dec_Avg_High_ Dew_Point_x,0.45730578404322386
Dec_Avg_ Dew_Point_x,0.3028679063666925
Dec_Avg_Low_ Dew_Point_x,0.06568519224858406
Dec_Avg_High_Humidity_x,-0.46294815622288354
Dec_Avg_Humidity_x,-0.5472157379293967
Dec_Avg_Low_Humidity_x,-0.39457089404679935
Dec_Avg_High_Wind_Speed _x,-2.124706313803771
Dec_Avg_Wind_Speed _x,-1.8972388856282558
Dec_Avg_Low_Wind_Speed _x,0.22324058443811878
Dec_Avg_High_Pressure_x,0.2228039958209029
Dec_Avg_Pressure_x,0.23460564444304596
Dec_Avg_Low_Pressure_x,0.4919202972395529
Dec_Average_Precipitation_x,0.0
Dec_Total_Precipitation_x,0.0
Mar_Avg_High_Temperature_x,0.3125468439857015
Mar_Avg_Temperature_x,0.08144473029407438
Mar_Avg_Low_Temperature_x,0.020434418530115007
Mar_Avg_High_ Dew_Point_x,0.8674123606664693
Mar_Avg_ Dew_Point_x,1.0561376739638957
Mar_Avg_Low_ Dew_Point_x,1.2787668734982716
Mar_Avg_High_Humidity_x,-0.9794366805059265
Mar_Avg_Humidity_x,-0.8481830386132647
Mar_Avg_Low_Humidity_x,-0.7043335490918521
Mar_Avg_High_Wind_Speed _x,1.4102604844399655
Mar_Avg_Wind_Speed _x,1.3609046098578081
Mar_Avg_Low_Wind_Speed _x,0.873058299140324
Mar_Avg_High_Pressure_x,0.32105283949007285
Mar_Avg_Pressure_x,0.28221312258881903
Mar_Avg_Low_Pressure_x,0.2721544150182981
Mar_Average_Precipitation_x,0.0
Mar_Total_Precipitation_x,0.0
Sep_Avg_High_Temperature_x,-0.26554924618265363
Sep_Avg_Temperature_x,0.0027131353937600647
Sep_Avg_Low_Temperature_x,-0.2369308230357546
Sep_Avg_High_ Dew_Point_x,0.9689680397996967
Sep_Avg_ Dew_Point_x,0.8777543402024699
Sep_Avg_Low_ Dew_Point_x,0.2916540713545138
Sep_Avg_High_Humidity_x,-0.4541289060848954
Sep_Avg_Humidity_x,-0.1752055854117781
Sep_Avg_Low_Humidity_x,0.26110659084446053
Sep_Avg_High_Wind_Speed _x,-0.21035347928673992
Sep_Avg_Wind_Speed _x,-0.03631972750540484
Sep_Avg_Low_Wind_Speed _x,0.6468735971199353
Sep_Avg_High_Pressure_x,0.28506961612280785
Sep_Avg_Pressure_x,0.2975326878221223
Sep_Avg_Low_Pressure_x,-0.8364035792664077
Sep_Average_Precipitation_x,0.0
Sep_Total_Precipitation_x,0.0
Jan_Avg_High_Temperature_x,-0.12821972984133173
Jan_Avg_Temperature_x,0.027653194293312963
Jan_Avg_Low_Temperature_x,0.02220707610440956
Jan_Avg_High_ Dew_Point_x,0.12867426485866107
Jan_Avg_ Dew_Point_x,0.12492500581213814
Jan_Avg_Low_ Dew_Point_x,0.13898958794373592
Jan_Avg_High_Humidity_x,-1.0076701846438112
Jan_Avg_Humidity_x,-0.7004464025966128
Jan_Avg_Low_Humidity_x,-0.27140252416739213
Jan_Avg_High_Wind_Speed _x,1.1199721989870235
Jan_Avg_Wind_Speed _x,1.117066904820599
Jan_Avg_Low_Wind_Speed _x,1.1933444245169065
Jan_Avg_High_Pressure_x,0.3910058416143493
Jan_Avg_Pressure_x,0.3733137509849776
Jan_Avg_Low_Pressure_x,0.3178035305170961
Jan_Average_Precipitation_x,0.0
Jan_Total_Precipitation_x,0.0
User_Avg_Rating_y,1.54623348376209
User_Rating_Count_y,2.30233978170569
Product_Vintage_y,-1.2322305828414153
Critical_Avg_Rating_y,0.542172545093838
Critical_Rating_Count_y,0.8155221131883174
Appellation_Level_y,-0.02105911978311535
Aug_Avg_High_Temperature_y,0.1329876190702062
Aug_Avg_Temperature_y,0.1764222158300336
Aug_Avg_Low_Temperature_y,-0.03420148739346743
Aug_Avg_High_ Dew_Point_y,1.2679995613893906
Aug_Avg_ Dew_Point_y,1.2993560409248945
Aug_Avg_Low_ Dew_Point_y,1.2798838430234711
Aug_Avg_High_Humidity_y,0.5828809025275298
Aug_Avg_Humidity_y,0.76637191245389
Aug_Avg_Low_Humidity_y,0.8048948394353524
Aug_Avg_High_Wind_Speed _y,0.053708086395372764
Aug_Avg_Wind_Speed _y,0.3697961151416907
Aug_Avg_Low_Wind_Speed _y,0.2851834449495485
Aug_Avg_High_Pressure_y,0.27192003962455275
Aug_Avg_Pressure_y,0.26618289171113946
Aug_Avg_Low_Pressure_y,-0.5523151191158533
Aug_Average_Precipitation_y,0.0
Aug_Total_Precipitation_y,0.0
Nov_Avg_High_Temperature_y,0.19536427300632492
Nov_Avg_Temperature_y,0.4054779423003327
Nov_Avg_Low_Temperature_y,0.49195843054443505
Nov_Avg_High_ Dew_Point_y,0.7895732529242417
Nov_Avg_ Dew_Point_y,0.8903365610496942
Nov_Avg_Low_ Dew_Point_y,0.8285382327749939
Nov_Avg_High_Humidity_y,-1.7562031586000098
Nov_Avg_Humidity_y,-0.8119489732595694
Nov_Avg_Low_Humidity_y,-0.5977514674987746
Nov_Avg_High_Wind_Speed _y,0.7291950868106138
Nov_Avg_Wind_Speed _y,0.4742422605551728
Nov_Avg_Low_Wind_Speed _y,1.0158565240993076
Nov_Avg_High_Pressure_y,-0.04043632133671961
Nov_Avg_Pressure_y,-0.08735080687038418
Nov_Avg_Low_Pressure_y,-0.05643717126485604
Nov_Average_Precipitation_y,0.0
Nov_Total_Precipitation_y,0.0
Jun_Avg_High_Temperature_y,-0.4056635684304933
Jun_Avg_Temperature_y,-0.18760494466855596
Jun_Avg_Low_Temperature_y,0.2092681197471461
Jun_Avg_High_ Dew_Point_y,1.3738560983856576
Jun_Avg_ Dew_Point_y,1.5142742708316241
Jun_Avg_Low_ Dew_Point_y,1.140797272733809
Jun_Avg_High_Humidity_y,-0.20664591296545592
Jun_Avg_Humidity_y,0.023012565135759763
Jun_Avg_Low_Humidity_y,0.4237572699110498
Jun_Avg_High_Wind_Speed _y,0.6011040576924414
Jun_Avg_Wind_Speed _y,0.7893651341047946
Jun_Avg_Low_Wind_Speed _y,1.4445196375559368
Jun_Avg_High_Pressure_y,0.3235312399916389
Jun_Avg_Pressure_y,0.35149137717485046
Jun_Avg_Low_Pressure_y,0.367130571817474
Jun_Average_Precipitation_y,0.0
Jun_Total_Precipitation_y,0.0
Apr_Avg_High_Temperature_y,-0.22876835741432394
Apr_Avg_Temperature_y,-0.24491464530867868
Apr_Avg_Low_Temperature_y,0.4912365903245729
Apr_Avg_High_ Dew_Point_y,0.5806297384377294
Apr_Avg_ Dew_Point_y,0.7068127220237103
Apr_Avg_Low_ Dew_Point_y,1.0845016551011262
Apr_Avg_High_Humidity_y,-0.11472267237037959
Apr_Avg_Humidity_y,0.45197730676915265
Apr_Avg_Low_Humidity_y,0.174535195341775
Apr_Avg_High_Wind_Speed _y,0.7609783296298134
Apr_Avg_Wind_Speed _y,0.7628996299628227
Apr_Avg_Low_Wind_Speed _y,0.8422100426083056
Apr_Avg_High_Pressure_y,0.31370778986273884
Apr_Avg_Pressure_y,0.3371780099763644
Apr_Avg_Low_Pressure_y,0.2985990223187845
Apr_Average_Precipitation_y,0.0
Apr_Total_Precipitation_y,0.0
Feb_Avg_High_Temperature_y,0.08484127280787719
Feb_Avg_Temperature_y,0.20676320778877127
Feb_Avg_Low_Temperature_y,-0.09130637772276154
Feb_Avg_High_ Dew_Point_y,0.20789646803908493
Feb_Avg_ Dew_Point_y,0.36524931908684094
Feb_Avg_Low_ Dew_Point_y,0.4836692595234993
Feb_Avg_High_Humidity_y,-1.2192489736341807
Feb_Avg_Humidity_y,-0.6579248225478853
Feb_Avg_Low_Humidity_y,-0.08494872457731122
Feb_Avg_High_Wind_Speed _y,0.4576554643813483
Feb_Avg_Wind_Speed _y,0.6125375214629015
Feb_Avg_Low_Wind_Speed _y,0.6245467711382952
Feb_Avg_High_Pressure_y,0.2078426915293122
Feb_Avg_Pressure_y,0.22366855273471267
Feb_Avg_Low_Pressure_y,0.1801038368691849
Feb_Average_Precipitation_y,0.0
Feb_Total_Precipitation_y,0.0
Oct_Avg_High_Temperature_y,0.014665005993297045
Oct_Avg_Temperature_y,0.11119351324049241
Oct_Avg_Low_Temperature_y,0.09245189727644004
Oct_Avg_High_ Dew_Point_y,0.8198047524584642
Oct_Avg_ Dew_Point_y,0.7735397531321252
Oct_Avg_Low_ Dew_Point_y,0.7864561328010808
Oct_Avg_High_Humidity_y,-0.7059401197305617
Oct_Avg_Humidity_y,-0.5957620504470258
Oct_Avg_Low_Humidity_y,-0.35385513363022825
Oct_Avg_High_Wind_Speed _y,-0.4165010945180202
Oct_Avg_Wind_Speed _y,-0.7001161429739801
Oct_Avg_Low_Wind_Speed _y,-0.1590986432398875
Oct_Avg_High_Pressure_y,0.24543462599067542
Oct_Avg_Pressure_y,0.26096950985259854
Oct_Avg_Low_Pressure_y,0.21850708573206873
Oct_Average_Precipitation_y,0.0
Oct_Total_Precipitation_y,0.0
Jul_Avg_High_Temperature_y,0.2052208678337307
Jul_Avg_Temperature_y,0.5787904838852098
Jul_Avg_Low_Temperature_y,0.06365994071326886
Jul_Avg_High_ Dew_Point_y,0.5041578953316691
Jul_Avg_ Dew_Point_y,0.4981384261132151
Jul_Avg_Low_ Dew_Point_y,0.24950189696359648
Jul_Avg_High_Humidity_y,0.9855165006959026
Jul_Avg_Humidity_y,0.9769280359101834
Jul_Avg_Low_Humidity_y,1.3308820287984444
Jul_Avg_High_Wind_Speed _y,0.6112207325753223
Jul_Avg_Wind_Speed _y,0.6085192740444779
Jul_Avg_Low_Wind_Speed _y,0.11070370211592255
Jul_Avg_High_Pressure_y,0.3358765089100581
Jul_Avg_Pressure_y,0.3458104210421436
Jul_Avg_Low_Pressure_y,0.34949015744576567
Jul_Average_Precipitation_y,0.0
Jul_Total_Precipitation_y,0.0
May_Avg_High_Temperature_y,-0.056198626390658986
May_Avg_Temperature_y,0.11456729288160881
May_Avg_Low_Temperature_y,0.3161122866986608
May_Avg_High_ Dew_Point_y,0.31267210931484907
May_Avg_ Dew_Point_y,0.3052128406360904
May_Avg_Low_ Dew_Point_y,0.5015248429664216
