Product_Name|Product_Varietal|Product_Origin|Product_Price|Product_Attributes|User_Avg_Rating|User_Rating_Count|Product_Vintage|Critical_Avg_Rating|Critical_Rating_Count|Appellation_Level
Quinta do Portal Grande Reserva Tinto |Other Red Blends|Douro, Portugal|29.99|Red Wine|4.1|42|2016|92.33333333333333|3|2
Casa Emma Chianti Classico |Sangiovese|Chianti Classico, Chianti, Tuscany, Italy|28.99|Red Wine|4.0|11|2019|91.0|3|4
Dutton-Goldfield Cherry Ridge Vineyard Syrah |Syrah/Shiraz|Russian River, Sonoma County, California, United States|49.99|Red Wine|5.0|15|2016|93.33333333333333|3|4
Arnaldo Rivera Monvigliero |Nebbiolo|Barolo, Piedmont, Italy|55.99|Red Wine|4.8|24|2016|93.0|4|3
Arnaldo Rivera Barolo Ravera |Nebbiolo|Barolo, Piedmont, Italy|54.99|Red Wine|5.0|19|2017|91.75|4|3
Matsu El Picaro |Tempranillo|Toro, Spain|14.99|Red Wine|4.3|73|2021|89.5|4|2
Geyser Peak Walking Tree Vineyard Cabernet Sauvignon |Cabernet Sauvignon|Alexander Valley, Sonoma County, California, United States|27.99|Red Wine|4.0|30|2019|91.66666666666667|3|4
Domaine de la Janasse Cotes du Rhone Villages Terre d'Argile |Rhone Red Blends|Cotes du Rhone Villages, Rhone, France|28.99|Red Wine|4.7|5|2020|91.5|4|3
Montirius Le Clos |Rhone Red Blends|Vacqueyras, Rhone, France|44.99|Red Wine|4.0|8|2016|93.75|4|3
Vina Tarapaca Gran Reserva Etiqueta Azul |Other Red Blends|Maipo Valley, Chile|44.99|Red Wine|4.2|7|2020|94.33333333333333|3|2
Eden Rift Estate Pinot Noir |Pinot Noir|Cienega Valley, Central Coast, California, United States|47.99|Red Wine|4.4|37|2018|92.33333333333333|6|4
Domaine des Peres de l'Eglise Chateauneuf-du-Pape Heritage de Pollus |Grenache|Chateauneuf-du-Pape, Rhone, France|95.99|Red Wine|4.7|39|2018|94.0|3|3
Smith Madrone Riesling |Riesling|Spring Mountain District, Napa Valley, California, United States|38.99|White Wine|4.1|8|2017|93.8|5|4
Eden Rift Terraces Pinot Noir |Pinot Noir|Cienega Valley, Central Coast, California, United States|65.99|Red Wine|4.8|23|2018|93.5|4|4
Quinta do Crasto Late Bottled Vintage Port |Port|Douro, Portugal|25.99||4.8|31|2015|90.75|4|2
Vavasour Sauvignon Blanc |Sauvignon Blanc|Marlborough, New Zealand|18.99|White Wine|4.0|54|2021|91.66666666666667|3|2
Flechas De Los Andes Gran Malbec |Malbec|Uco Valley, Mendoza, Argentina|19.99|Red Wine|4.9|20|2019|92.66666666666667|3|3
Mazzei Chianti Classico Riserva Ser Lapo |Tuscan Blends|Chianti Classico, Chianti, Tuscany, Italy|35.99|Red Wine|4.0|126|2018|91.75|4|4
Hermann J. Wiemer Dry Riesling Reserve |Riesling|Finger Lakes, New York, United States|28.99|White Wine|4.1|12|2020|93.33333333333333|3|3
Maison Brotte Chateauneuf-du-Pape Les Hauts de Barville Blanc |Rhone White Blends|Chateauneuf-du-Pape, Rhone, France|40.99|White Wine|4.8|33|2021|91.66666666666667|3|3
Maison Brotte Creation Grosset Cairanne |Rhone Red Blends|Cotes du Rhone Villages, Rhone, France|25.99|Red Wine|4.6|33|2019|90.0|3|3
Long Meadow Ranch Anderson Valley Chardonnay |Chardonnay|Anderson Valley, Mendocino, California, United States|41.99|White Wine|4.2|13|2016|92.0|3|4
Ravines Argetsinger Vineyard Dry Riesling |Riesling|Finger Lakes, New York, United States|32.99|White Wine|4.5|8|2019|93.33333333333333|3|3
MacRostie Sonoma Coast Chardonnay (ML half-bottle) |Chardonnay|Sonoma Coast, Sonoma County, California, United States|15.99|White Wine|4.0|10|2019|91.4|5|4
Foxen Bien Nacido Block Eight Pinot Noir |Pinot Noir|Santa Maria Valley, Central Coast, California, United States|68.99|Red Wine|0.0|0|2018|94.25|4|4
Maison Brotte Les Hauts de Barville Chateauneuf-du-Pape |Rhone Red Blends|Chateauneuf-du-Pape, Rhone, France|44.99|Red Wine|4.6|43|2019|92.33333333333333|3|3
Villa Maria Taylors Pass Sauvignon Blanc |Sauvignon Blanc|Marlborough, New Zealand|31.99|White Wine|4.3|8|2021|92.25|4|2
R. Lopez de Heredia Rioja Vina Tondonia Reserva (ML half-bottle) |Tempranillo|Rioja, Spain|29.99|Red Wine|4.5|9|2010|95.33333333333333|3|2
Vignamaggio Chianti Classico Terre di Prenzano |Sangiovese|Chianti Classico, Chianti, Tuscany, Italy|26.99|Red Wine|0.0|0|2019|90.66666666666667|3|4
