Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Oct 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,Max Avg Min 59 55.5 54 59 51.6 45 70 57.5 48 81 71.2 63 90 65.8 0 70 62.7 57 63 55.8 48 61 53.3 43 61 57.6 55 63 54.8 45 70 63.4 54 75 63.8 54 59 54.1 50 63 57.9 55 61 56.0 46 70 64.6 61 72 60.7 57 63 54.9 0 63 56.5 54 68 55.9 48 77 68.2 57 79 70.6 61 73 63.9 59 64 58.5 54 64 56.9 48 61 58.3 55 63 55.2 46 66 56.7 45 68 61.1 57 75 69.8 66 79 69.9 61,Max Avg Min 45 40.8 36 50 46.3 43 52 46.9 39 41 28.4 0 57 45.5 0 59 56.0 54 55 47.5 43 48 42.2 37 48 44.1 39 52 42.9 39 43 30.6 0 55 39.4 0 50 40.9 36 54 51.4 46 50 46.5 43 46 40.2 34 59 53.6 37 59 48.5 0 52 47.2 39 54 50.4 46 54 48.8 45 57 50.8 45 61 56.3 52 54 51.3 50 54 46.5 43 52 46.5 39 48 41.3 36 45 39.0 34 50 42.3 37 37 25.8 0 55 46.6 37,Max Avg Min 72 57.9 44 100 82.7 63 94 70.0 33 39 27.4 17 88 60.3 0 100 80.0 64 94 74.0 63 93 67.9 45 77 61.7 45 87 65.6 48 67 36.7 20 88 54.0 21 94 62.6 44 94 78.7 63 93 71.4 55 52 40.9 34 100 81.5 31 94 76.9 0 94 72.6 48 100 82.7 56 77 51.8 32 77 51.4 32 88 77.0 60 88 77.1 63 87 69.1 52 77 65.3 48 76 60.1 45 87 53.9 30 63 50.4 37 32 25.3 19 82 46.1 23,Max Avg Min 18 11.3 7 9 3.8 0 18 6.6 0 17 10.1 2 22 8.8 0 17 7.1 1 15 7.4 1 15 7.3 0 17 10.6 3 17 8.0 0 21 9.8 0 29 18.6 6 21 17.9 8 23 17.9 10 14 7.3 0 16 10.8 6 23 13.0 1 45 25.9 6 23 10.4 0 12 4.8 0 13 7.0 0 12 6.7 0 17 8.9 5 18 10.3 2 18 8.4 0 17 12.7 6 17 9.5 2 15 8.3 0 16 11.4 5 17 12.6 7 18 11.0 2,Max Avg Min 30.3 30.2 30.1 30.3 30.2 30.2 30.3 30.2 30.1 30.1 30.0 29.9 30.1 30.0 29.8 30.0 29.9 29.9 30.1 30.0 30.0 30.1 30.1 30.1 30.2 30.1 30.1 30.3 30.2 30.2 30.3 30.0 29.8 29.8 29.6 29.6 29.9 29.8 29.7 30.0 29.9 29.9 30.1 30.1 30.0 30.1 30.0 29.8 29.8 29.6 29.5 30.1 28.7 0.0 30.3 30.2 30.1 30.3 30.1 30.1 30.1 29.9 29.8 29.9 29.8 29.8 30.0 29.9 29.8 30.1 30.0 30.0 30.0 29.9 29.9 30.1 30.0 30.0 30.3 30.2 30.1 30.3 30.2 30.1 30.2 30.1 30.0 30.0 29.8 29.7 29.6 29.6 29.5,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Oct,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
Max,Avg,Min,,,,
59,55.5,54,,,,
59,51.6,45,,,,
70,57.5,48,,,,
81,71.2,63,,,,
90,65.8,0,,,,
70,62.7,57,,,,
63,55.8,48,,,,
61,53.3,43,,,,
61,57.6,55,,,,
63,54.8,45,,,,
70,63.4,54,,,,
75,63.8,54,,,,
59,54.1,50,,,,
63,57.9,55,,,,
61,56.0,46,,,,
70,64.6,61,,,,
72,60.7,57,,,,
63,54.9,0,,,,
63,56.5,54,,,,
68,55.9,48,,,,
77,68.2,57,,,,
79,70.6,61,,,,
73,63.9,59,,,,
64,58.5,54,,,,
64,56.9,48,,,,
61,58.3,55,,,,
63,55.2,46,,,,
66,56.7,45,,,,
68,61.1,57,,,,
75,69.8,66,,,,
79,69.9,61,,,,
Max,Avg,Min,,,,
45,40.8,36,,,,
50,46.3,43,,,,
52,46.9,39,,,,
41,28.4,0,,,,
57,45.5,0,,,,
59,56.0,54,,,,
55,47.5,43,,,,
48,42.2,37,,,,
48,44.1,39,,,,
52,42.9,39,,,,
43,30.6,0,,,,
55,39.4,0,,,,
50,40.9,36,,,,
54,51.4,46,,,,
50,46.5,43,,,,
46,40.2,34,,,,
59,53.6,37,,,,
59,48.5,0,,,,
52,47.2,39,,,,
54,50.4,46,,,,
54,48.8,45,,,,
57,50.8,45,,,,
61,56.3,52,,,,
54,51.3,50,,,,
54,46.5,43,,,,
52,46.5,39,,,,
48,41.3,36,,,,
45,39.0,34,,,,
50,42.3,37,,,,
37,25.8,0,,,,
55,46.6,37,,,,
Max,Avg,Min,,,,
72,57.9,44,,,,
100,82.7,63,,,,
94,70.0,33,,,,
39,27.4,17,,,,
88,60.3,0,,,,
100,80.0,64,,,,
94,74.0,63,,,,
93,67.9,45,,,,
77,61.7,45,,,,
87,65.6,48,,,,
67,36.7,20,,,,
88,54.0,21,,,,
94,62.6,44,,,,
94,78.7,63,,,,
93,71.4,55,,,,
52,40.9,34,,,,
100,81.5,31,,,,
94,76.9,0,,,,
94,72.6,48,,,,
100,82.7,56,,,,
77,51.8,32,,,,
77,51.4,32,,,,
88,77.0,60,,,,
88,77.1,63,,,,
87,69.1,52,,,,
77,65.3,48,,,,
76,60.1,45,,,,
87,53.9,30,,,,
63,50.4,37,,,,
32,25.3,19,,,,
82,46.1,23,,,,
Max,Avg,Min,,,,
18,11.3,7,,,,
9,3.8,0,,,,
18,6.6,0,,,,
17,10.1,2,,,,
22,8.8,0,,,,
17,7.1,1,,,,
15,7.4,1,,,,
15,7.3,0,,,,
17,10.6,3,,,,
17,8.0,0,,,,
21,9.8,0,,,,
29,18.6,6,,,,
21,17.9,8,,,,
23,17.9,10,,,,
14,7.3,0,,,,
16,10.8,6,,,,
23,13.0,1,,,,
45,25.9,6,,,,
23,10.4,0,,,,
12,4.8,0,,,,
13,7.0,0,,,,
12,6.7,0,,,,
17,8.9,5,,,,
18,10.3,2,,,,
18,8.4,0,,,,
17,12.7,6,,,,
17,9.5,2,,,,
15,8.3,0,,,,
16,11.4,5,,,,
17,12.6,7,,,,
18,11.0,2,,,,
Max,Avg,Min,,,,
30.3,30.2,30.1,,,,
30.3,30.2,30.2,,,,
30.3,30.2,30.1,,,,
30.1,30.0,29.9,,,,
30.1,30.0,29.8,,,,
30.0,29.9,29.9,,,,
30.1,30.0,30.0,,,,
30.1,30.1,30.1,,,,
30.2,30.1,30.1,,,,
30.3,30.2,30.2,,,,
30.3,30.0,29.8,,,,
29.8,29.6,29.6,,,,
29.9,29.8,29.7,,,,
30.0,29.9,29.9,,,,
30.1,30.1,30.0,,,,
30.1,30.0,29.8,,,,
29.8,29.6,29.5,,,,
30.1,28.7,0.0,,,,
30.3,30.2,30.1,,,,
30.3,30.1,30.1,,,,
30.1,29.9,29.8,,,,
29.9,29.8,29.8,,,,
30.0,29.9,29.8,,,,
30.1,30.0,30.0,,,,
30.0,29.9,29.9,,,,
30.1,30.0,30.0,,,,
30.3,30.2,30.1,,,,
30.3,30.2,30.1,,,,
30.2,30.1,30.0,,,,
30.0,29.8,29.7,,,,
29.6,29.6,29.5,,,,
Total,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
