Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Dec 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,Max Avg Min 66 61.7 58 65 59.2 54 66 60.6 56 62 59.2 57 68 61.0 56 68 62.5 58 68 60.3 56 67 60.3 54 68 61.4 58 69 59.8 55 65 57.5 52 65 57.6 52 64 56.8 52 64 58.1 53 61 55.8 51 55 52.6 51 63 54.1 0 63 57.2 52 60 55.6 51 63 36.9 0 64 57.8 52 65 56.4 48 66 56.7 50 66 56.3 49 65 55.4 50 64 55.2 47 66 56.0 48 63 54.3 0 67 58.6 53 63 54.4 49 61 54.0 49,Max Avg Min 54 52.3 51 56 52.8 49 56 54.7 53 56 54.8 53 58 54.2 51 60 57.3 53 53 49.3 46 51 48.5 46 57 53.2 49 56 52.3 49 55 52.0 48 54 51.3 47 51 48.8 47 55 48.2 42 52 47.2 43 50 48.4 46 54 48.5 0 51 46.8 42 51 45.9 42 51 28.1 0 47 41.2 35 53 45.2 39 54 45.8 39 55 47.8 42 54 46.4 40 55 44.9 36 51 45.3 37 49 43.3 0 51 48.0 46 46 44.0 41 44 41.4 39,Max Avg Min 85 71.4 61 90 80.1 60 92 81.5 68 97 85.8 75 90 78.7 64 92 83.1 72 85 68.0 46 77 65.3 50 83 74.3 67 89 77.0 55 92 81.9 62 91 80.0 64 88 75.2 55 91 69.7 56 89 73.2 60 93 85.6 81 92 77.8 0 93 69.8 57 87 70.5 58 76 38.0 0 83 54.6 45 80 66.7 45 86 68.1 46 84 73.6 59 89 72.3 51 87 69.1 42 83 67.6 56 80 59.4 0 83 69.3 49 77 68.7 53 75 63.1 48,Max Avg Min 23 11.0 0 9 4.5 1 14 8.1 1 14 7.9 2 12 6.3 0 10 4.5 0 18 9.7 3 18 10.8 3 15 7.8 2 14 7.0 2 10 5.7 1 12 5.5 0 10 5.5 1 13 7.6 1 12 5.5 0 12 6.1 2 26 16.2 0 25 15.4 8 15 7.0 0 16 4.9 0 12 7.4 2 15 8.0 0 15 7.7 0 12 7.9 3 13 8.0 0 14 6.0 2 16 8.1 1 17 10.8 0 16 9.8 3 14 10.4 6 17 9.8 3,Max Avg Min 30.2 30.2 30.1 30.1 30.0 29.9 29.9 29.9 29.8 29.8 29.8 29.7 30.0 29.9 29.8 30.3 30.2 30.1 30.4 30.3 30.3 30.4 30.4 30.4 30.4 30.4 30.4 30.4 30.3 30.3 30.3 30.2 30.2 30.2 30.1 30.1 30.2 30.2 30.1 30.2 30.1 30.0 30.1 30.1 30.0 30.1 30.0 29.9 30.2 27.5 0.0 30.2 30.0 29.9 29.9 29.8 29.8 30.1 18.8 0.0 30.3 30.2 30.1 30.5 30.4 30.4 30.5 30.5 30.5 30.6 30.5 30.5 30.5 30.4 30.4 30.4 30.4 30.3 30.4 30.4 30.3 30.4 27.9 0.0 30.4 30.4 30.4 30.5 30.4 30.4 30.4 30.4 30.3,Total 0.01 0.00 0.00 0.47 1.39 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.50 0.00 0.69 2.80 0.06 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Dec,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
