Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Feb 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29,Max Avg Min 63 59.4 54 75 65.1 59 81 66.5 57 63 53.4 46 54 45.2 36 64 47.7 36 64 53.1 41 59 53.0 46 63 57.5 45 63 58.6 55 57 53.4 50 59 51.4 46 64 57.8 54 61 55.1 48 70 56.9 41 77 68.0 63 66 54.4 50 55 48.6 43 55 48.7 41 57 47.4 36 57 50.8 46 61 49.9 39 59 50.5 45 59 48.9 43 54 52.0 50 52 50.2 48 59 53.2 46 66 57.3 52 63 56.6 50,Max Avg Min 57 54.6 50 59 53.2 50 52 46.7 43 55 47.8 41 45 38.6 36 43 37.3 32 43 37.7 30 54 46.4 41 46 44.8 43 55 52.4 46 54 51.3 48 50 46.8 43 52 49.1 45 50 46.2 43 48 43.1 39 46 40.8 37 54 47.7 41 46 43.0 37 48 43.8 39 50 43.4 36 52 46.0 43 52 46.3 39 48 46.4 43 48 45.2 41 52 47.7 43 46 44.1 41 54 47.5 39 54 48.6 41 50 44.5 37,Max Avg Min 100 85.2 63 77 65.4 50 72 51.3 28 100 82.2 59 100 79.5 54 93 68.7 37 76 57.5 40 100 79.8 62 100 64.2 48 94 79.8 55 100 92.8 82 100 85.3 59 88 73.5 56 88 73.0 55 93 63.6 38 49 37.7 25 100 80.0 46 93 81.3 54 100 82.7 63 100 86.7 54 93 83.5 72 100 88.7 63 100 87.2 63 100 88.2 51 100 86.3 71 93 79.8 67 100 83.4 48 100 74.3 40 94 68.5 39,Max Avg Min 12 6.4 3 10 4.6 2 12 6.3 3 20 8.7 0 15 8.8 2 13 8.0 5 8 4.6 1 14 6.9 2 15 9.5 0 14 8.0 3 16 8.0 2 8 3.4 0 17 8.4 3 9 4.3 2 13 6.2 1 15 10.4 6 20 10.6 5 13 6.1 2 8 5.5 2 14 6.5 2 8 3.7 1 12 4.6 0 9 4.0 0 14 6.6 0 22 11.2 3 28 16.0 3 28 11.6 3 17 6.5 2 18 9.3 3,Max Avg Min 30.0 29.9 29.7 30.0 30.0 29.9 30.1 30.0 30.0 30.3 30.2 30.1 30.3 30.2 30.0 30.0 29.9 29.9 29.9 29.9 29.9 30.0 29.9 29.9 30.0 30.0 29.9 30.1 30.1 30.0 30.1 30.1 30.1 30.1 30.0 29.8 30.0 29.9 29.8 30.1 30.0 30.0 30.0 29.9 29.9 29.9 29.8 29.8 30.3 30.1 29.8 30.3 30.3 30.3 30.3 30.2 30.0 30.2 30.0 29.9 30.3 30.2 30.2 30.3 30.3 30.2 30.3 30.3 30.2 30.2 30.1 29.9 29.9 29.9 29.8 29.9 29.9 29.8 29.9 29.8 29.7 29.9 29.8 29.6 29.6 29.5 29.3,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Feb,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
Max,Avg,Min,,,,
63,59.4,54,,,,
75,65.1,59,,,,
81,66.5,57,,,,
63,53.4,46,,,,
54,45.2,36,,,,
64,47.7,36,,,,
64,53.1,41,,,,
59,53.0,46,,,,
63,57.5,45,,,,
63,58.6,55,,,,
57,53.4,50,,,,
59,51.4,46,,,,
64,57.8,54,,,,
61,55.1,48,,,,
70,56.9,41,,,,
77,68.0,63,,,,
66,54.4,50,,,,
55,48.6,43,,,,
55,48.7,41,,,,
57,47.4,36,,,,
57,50.8,46,,,,
61,49.9,39,,,,
59,50.5,45,,,,
59,48.9,43,,,,
54,52.0,50,,,,
52,50.2,48,,,,
59,53.2,46,,,,
66,57.3,52,,,,
63,56.6,50,,,,
Max,Avg,Min,,,,
57,54.6,50,,,,
59,53.2,50,,,,
52,46.7,43,,,,
55,47.8,41,,,,
45,38.6,36,,,,
43,37.3,32,,,,
43,37.7,30,,,,
54,46.4,41,,,,
46,44.8,43,,,,
55,52.4,46,,,,
54,51.3,48,,,,
50,46.8,43,,,,
52,49.1,45,,,,
50,46.2,43,,,,
48,43.1,39,,,,
46,40.8,37,,,,
54,47.7,41,,,,
46,43.0,37,,,,
48,43.8,39,,,,
50,43.4,36,,,,
52,46.0,43,,,,
52,46.3,39,,,,
48,46.4,43,,,,
48,45.2,41,,,,
52,47.7,43,,,,
46,44.1,41,,,,
54,47.5,39,,,,
54,48.6,41,,,,
50,44.5,37,,,,
Max,Avg,Min,,,,
100,85.2,63,,,,
77,65.4,50,,,,
72,51.3,28,,,,
100,82.2,59,,,,
100,79.5,54,,,,
93,68.7,37,,,,
76,57.5,40,,,,
100,79.8,62,,,,
100,64.2,48,,,,
94,79.8,55,,,,
100,92.8,82,,,,
100,85.3,59,,,,
88,73.5,56,,,,
88,73.0,55,,,,
93,63.6,38,,,,
49,37.7,25,,,,
100,80.0,46,,,,
93,81.3,54,,,,
100,82.7,63,,,,
100,86.7,54,,,,
93,83.5,72,,,,
100,88.7,63,,,,
100,87.2,63,,,,
100,88.2,51,,,,
100,86.3,71,,,,
