Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Oct 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,Max Avg Min 73 58.8 43 69 59.0 49 70 55.7 44 70 60.5 53 66 61.3 58 64 57.2 49 63 52.0 41 65 54.8 46 67 55.5 46 59 53.3 48 60 57.0 55 65 58.8 55 64 54.6 46 59 50.3 44 62 48.5 39 62 50.7 38 68 57.7 52 60 55.9 53 64 58.0 55 66 58.5 47 62 50.1 41 65 52.4 40 65 53.8 43 64 55.5 49 63 57.3 54 62 55.5 52 54 48.7 46 53 49.4 46 58 54.6 51 60 56.1 53 56 54.4 51,Max Avg Min 49 42.8 38 47 40.5 35 49 46.0 41 63 57.4 48 62 57.8 52 54 50.2 43 46 43.5 39 45 43.4 42 50 45.0 41 56 50.2 45 59 56.5 54 58 53.7 46 45 43.8 42 43 41.3 39 42 38.3 35 46 41.3 37 57 48.3 40 56 54.2 52 58 55.8 54 55 47.9 43 44 41.3 38 50 44.4 38 52 47.8 42 55 52.0 48 55 52.4 51 55 51.8 49 52 44.4 42 50 47.2 44 56 53.5 50 56 53.2 51 53 51.6 50,Max Avg Min 94 60.7 30 82 52.3 33 93 71.9 46 99 89.8 75 96 88.5 77 94 77.8 54 95 74.3 51 86 66.9 45 86 68.8 48 98 89.2 71 99 97.3 95 100 83.9 70 86 67.8 47 88 72.0 51 91 70.8 43 95 72.0 50 96 72.2 51 98 93.9 84 99 91.6 77 88 69.6 46 92 73.8 48 95 76.3 54 97 81.5 60 98 88.3 70 97 84.5 68 98 88.1 65 97 86.0 64 97 91.7 81 99 96.3 92 97 89.8 80 95 90.4 81,Max Avg Min 16 4.9 0 11 5.6 0 7 2.3 0 16 7.3 0 20 11.3 4 13 7.4 2 11 3.0 0 7 2.9 0 7 2.2 0 4 1.6 0 9 2.8 0 11 3.5 0 11 4.0 0 7 2.6 0 4 1.8 0 4 1.7 0 11 5.8 2 4 2.1 0 7 2.3 0 13 7.4 2 7 2.9 0 4 1.6 0 4 1.6 0 9 3.2 0 7 2.1 0 13 3.7 0 11 7.1 2 11 5.5 2 11 5.0 0 7 2.0 0 7 2.6 0,Max Avg Min 27.9 27.8 27.8 27.8 27.7 27.6 27.7 27.7 27.6 27.7 27.6 27.6 27.6 27.5 27.5 27.8 27.6 27.5 27.8 27.8 27.7 27.8 27.7 27.7 27.7 27.6 27.6 27.6 27.5 27.4 27.4 27.4 27.4 27.6 27.5 27.4 27.7 27.7 27.6 27.7 27.7 27.6 27.7 27.7 27.6 27.7 27.6 27.6 27.6 27.5 27.4 27.6 27.5 27.5 27.6 27.5 27.4 27.9 27.7 27.6 27.9 27.8 27.8 27.9 27.9 27.8 27.9 27.8 27.7 27.8 27.7 27.7 27.8 27.8 27.6 27.6 27.5 27.4 27.5 27.5 27.4 27.7 27.6 27.5 27.7 27.7 27.7 27.7 27.7 27.6 27.9 27.7 27.6,Total 0.00 0.00 0.00 1.06 0.00 0.35 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.08 0.59 0.43 0.00 0.03 0.00
Oct,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
