Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Sep 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,Max Avg Min 72 63.2 55 72 60.8 48 66 61.8 55 68 60.8 54 64 57.1 48 68 55.3 41 64 57.4 50 63 54.3 48 63 54.0 43 72 59.0 46 68 60.8 52 73 66.1 63 73 65.2 57 73 63.2 54 79 63.6 46 72 62.9 55 68 60.7 54 66 56.4 45 64 56.8 50 72 59.1 48 81 64.9 48 81 65.7 59 70 62.4 55 63 60.0 57 63 59.0 55 68 61.5 57 66 60.0 55 63 58.9 55 66 60.9 57 64 59.0 52,Max Avg Min 57 48.6 41 52 45.5 37 57 52.9 48 59 52.2 48 50 45.0 39 55 45.6 37 55 51.4 48 54 47.9 45 48 45.0 43 48 46.0 43 63 54.8 46 63 59.7 55 63 57.1 52 54 49.7 45 52 47.4 41 61 55.2 48 55 49.6 45 45 43.3 41 46 45.2 43 46 40.0 36 54 45.1 37 61 55.3 48 59 53.8 50 59 56.3 52 59 55.6 54 63 58.3 54 55 53.8 50 55 53.6 50 61 55.1 50 55 52.4 48,Max Avg Min 82 61.1 33 94 61.9 29 88 72.5 52 94 74.2 49 88 66.1 42 100 72.6 46 100 81.2 56 100 80.7 52 100 74.5 48 93 64.1 40 100 81.4 64 100 81.4 53 94 76.1 53 94 64.3 36 94 60.6 26 88 76.5 64 88 67.8 46 87 62.9 42 82 66.4 48 82 53.2 27 66 50.0 34 94 71.4 48 94 75.1 49 100 88.7 68 94 89.0 82 100 89.9 73 94 79.9 56 94 82.6 72 94 81.1 72 94 79.1 59,Max Avg Min 13 8.0 5 14 7.6 2 15 9.0 5 21 12.2 6 18 10.3 2 20 8.6 0 22 9.9 3 18 8.0 2 13 5.6 0 12 4.6 0 20 10.9 0 17 11.6 7 14 9.1 3 10 6.0 0 9 4.2 0 10 5.3 0 15 8.5 1 15 7.1 0 15 8.4 3 16 10.3 5 15 8.8 3 22 10.5 6 15 8.8 5 16 11.5 6 18 12.2 7 23 13.3 8 18 13.4 8 23 15.7 8 30 20.6 9 22 10.5 5,Max Avg Min 30.0 29.8 29.7 30.1 30.0 30.0 30.1 30.0 30.0 30.0 29.8 29.8 30.1 30.0 29.8 30.1 30.0 29.9 30.0 29.9 29.9 30.0 29.9 29.9 29.9 29.8 29.7 30.0 29.9 29.8 30.1 30.0 30.0 30.2 30.2 30.1 30.4 30.3 30.2 30.4 30.3 30.1 30.1 30.1 30.0 30.0 30.0 29.9 30.1 30.0 30.0 30.2 30.1 30.1 30.3 30.2 30.2 30.2 30.1 29.9 29.9 29.8 29.6 29.6 29.6 29.5 29.8 29.7 29.6 29.7 29.6 29.4 29.5 29.5 29.5 29.6 29.6 29.5 29.6 29.6 29.6 29.7 29.7 29.6 29.6 29.4 29.2 29.7 29.7 29.5,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Sep,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
Max,Avg,Min,,,,
72,63.2,55,,,,
72,60.8,48,,,,
66,61.8,55,,,,
68,60.8,54,,,,
64,57.1,48,,,,
68,55.3,41,,,,
64,57.4,50,,,,
63,54.3,48,,,,
63,54.0,43,,,,
72,59.0,46,,,,
68,60.8,52,,,,
73,66.1,63,,,,
73,65.2,57,,,,
73,63.2,54,,,,
79,63.6,46,,,,
72,62.9,55,,,,
68,60.7,54,,,,
66,56.4,45,,,,
64,56.8,50,,,,
72,59.1,48,,,,
81,64.9,48,,,,
81,65.7,59,,,,
70,62.4,55,,,,
63,60.0,57,,,,
63,59.0,55,,,,
68,61.5,57,,,,
66,60.0,55,,,,
63,58.9,55,,,,
66,60.9,57,,,,
64,59.0,52,,,,
Max,Avg,Min,,,,
57,48.6,41,,,,
52,45.5,37,,,,
57,52.9,48,,,,
59,52.2,48,,,,
50,45.0,39,,,,
55,45.6,37,,,,
55,51.4,48,,,,
54,47.9,45,,,,
48,45.0,43,,,,
48,46.0,43,,,,
63,54.8,46,,,,
63,59.7,55,,,,
63,57.1,52,,,,
54,49.7,45,,,,
52,47.4,41,,,,
61,55.2,48,,,,
55,49.6,45,,,,
45,43.3,41,,,,
46,45.2,43,,,,
46,40.0,36,,,,
54,45.1,37,,,,
61,55.3,48,,,,
59,53.8,50,,,,
59,56.3,52,,,,
59,55.6,54,,,,
63,58.3,54,,,,
55,53.8,50,,,,
55,53.6,50,,,,
61,55.1,50,,,,
55,52.4,48,,,,
Max,Avg,Min,,,,
82,61.1,33,,,,
94,61.9,29,,,,
88,72.5,52,,,,
94,74.2,49,,,,
88,66.1,42,,,,
100,72.6,46,,,,
100,81.2,56,,,,
100,80.7,52,,,,
100,74.5,48,,,,
93,64.1,40,,,,
100,81.4,64,,,,
100,81.4,53,,,,
94,76.1,53,,,,
94,64.3,36,,,,
94,60.6,26,,,,
88,76.5,64,,,,
88,67.8,46,,,,
87,62.9,42,,,,
82,66.4,48,,,,
82,53.2,27,,,,
66,50.0,34,,,,
94,71.4,48,,,,
94,75.1,49,,,,
100,88.7,68,,,,
94,89.0,82,,,,
100,89.9,73,,,,
94,79.9,56,,,,
94,82.6,72,,,,
94,81.1,72,,,,
94,79.1,59,,,,
Max,Avg,Min,,,,
13,8.0,5,,,,
14,7.6,2,,,,
15,9.0,5,,,,
21,12.2,6,,,,
18,10.3,2,,,,
20,8.6,0,,,,
22,9.9,3,,,,
18,8.0,2,,,,
13,5.6,0,,,,
12,4.6,0,,,,
20,10.9,0,,,,
17,11.6,7,,,,
14,9.1,3,,,,
10,6.0,0,,,,
9,4.2,0,,,,
10,5.3,0,,,,
15,8.5,1,,,,
15,7.1,0,,,,
15,8.4,3,,,,
16,10.3,5,,,,
15,8.8,3,,,,
22,10.5,6,,,,
15,8.8,5,,,,
16,11.5,6,,,,
18,12.2,7,,,,
23,13.3,8,,,,
18,13.4,8,,,,
23,15.7,8,,,,
30,20.6,9,,,,
22,10.5,5,,,,
Max,Avg,Min,,,,
30.0,29.8,29.7,,,,
30.1,30.0,30.0,,,,
30.1,30.0,30.0,,,,
30.0,29.8,29.8,,,,
30.1,30.0,29.8,,,,
30.1,30.0,29.9,,,,
30.0,29.9,29.9,,,,
30.0,29.9,29.9,,,,
29.9,29.8,29.7,,,,
30.0,29.9,29.8,,,,
30.1,30.0,30.0,,,,
30.2,30.2,30.1,,,,
30.4,30.3,30.2,,,,
30.4,30.3,30.1,,,,
30.1,30.1,30.0,,,,
30.0,30.0,29.9,,,,
30.1,30.0,30.0,,,,
30.2,30.1,30.1,,,,
30.3,30.2,30.2,,,,
30.2,30.1,29.9,,,,
29.9,29.8,29.6,,,,
29.6,29.6,29.5,,,,
29.8,29.7,29.6,,,,
29.7,29.6,29.4,,,,
29.5,29.5,29.5,,,,
29.6,29.6,29.5,,,,
29.6,29.6,29.6,,,,
29.7,29.7,29.6,,,,
29.6,29.4,29.2,,,,
29.7,29.7,29.5,,,,
Total,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
