Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Feb 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28,Max Avg Min 63 56.9 52 63 57.4 52 63 58.9 55 63 59.3 55 61 55.5 48 64 54.4 39 61 54.5 45 59 48.6 36 59 48.3 32 57 47.6 39 55 50.7 43 61 55.0 52 59 54.9 50 64 57.4 45 63 54.7 43 64 56.1 45 64 53.1 39 63 52.6 41 64 55.3 41 66 56.8 43 66 57.4 43 68 58.5 46 63 57.0 50 64 54.8 48 66 54.8 45 61 55.8 52 63 57.3 52 61 56.1 50,Max Avg Min 54 49.1 45 55 50.6 46 52 50.1 48 57 55.2 54 48 42.5 36 48 45.6 37 54 48.6 39 37 34.9 32 43 37.8 32 45 40.6 34 46 44.9 41 52 50.4 48 50 47.6 45 52 48.4 43 50 46.5 41 46 45.1 43 48 44.0 39 52 46.0 39 48 45.1 41 41 37.9 34 45 40.2 34 48 43.1 39 52 48.3 45 52 50.2 48 54 49.2 45 50 47.9 46 50 47.3 43 48 47.6 46,Max Avg Min 100 76.9 55 94 79.2 59 82 72.9 63 94 86.7 72 82 63.7 39 93 74.3 52 94 80.8 68 87 62.0 36 100 69.2 48 100 79.0 44 100 81.4 67 100 85.3 68 94 77.7 59 94 73.3 52 100 76.0 59 93 68.2 49 100 74.2 52 100 79.9 59 100 70.9 52 81 51.9 30 76 54.1 40 76 58.1 43 88 73.8 59 100 85.9 63 100 83.0 56 94 76.9 59 94 72.2 48 94 74.8 59,Max Avg Min 13 6.8 1 21 12.1 2 20 17.0 14 18 15.4 12 26 17.6 9 10 5.3 0 13 7.7 2 10 3.5 1 16 6.8 0 10 4.1 0 15 10.3 0 16 10.8 0 17 8.4 0 8 4.8 0 14 8.5 2 12 6.9 2 6 1.9 0 16 6.1 0 16 8.5 0 21 10.0 0 15 8.0 2 10 4.8 0 5 1.4 0 8 3.9 2 9 3.6 0 6 2.7 0 14 6.7 1 15 10.7 7,Max Avg Min 29.5 29.4 29.4 29.5 29.4 29.3 29.5 29.4 29.4 29.5 29.4 29.4 29.8 29.6 29.5 29.8 29.8 29.7 29.7 29.6 29.6 29.8 29.7 29.7 29.6 29.4 29.2 29.2 29.2 29.1 29.2 29.1 28.9 28.8 28.8 28.7 29.3 29.2 28.9 29.6 29.5 29.4 29.7 29.7 29.6 29.8 29.7 29.7 29.7 29.6 29.6 29.6 29.5 29.4 29.6 29.5 29.4 29.6 29.5 29.4 29.5 29.4 29.4 29.4 29.4 29.3 29.3 29.3 29.3 29.4 29.3 29.3 29.5 29.5 29.4 29.6 29.5 29.5 29.5 29.5 29.4 29.5 29.4 29.4,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Feb,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
Max,Avg,Min,,,,
63,56.9,52,,,,
63,57.4,52,,,,
63,58.9,55,,,,
63,59.3,55,,,,
61,55.5,48,,,,
64,54.4,39,,,,
61,54.5,45,,,,
59,48.6,36,,,,
59,48.3,32,,,,
57,47.6,39,,,,
55,50.7,43,,,,
61,55.0,52,,,,
59,54.9,50,,,,
64,57.4,45,,,,
63,54.7,43,,,,
64,56.1,45,,,,
64,53.1,39,,,,
63,52.6,41,,,,
64,55.3,41,,,,
66,56.8,43,,,,
66,57.4,43,,,,
68,58.5,46,,,,
63,57.0,50,,,,
64,54.8,48,,,,
66,54.8,45,,,,
61,55.8,52,,,,
63,57.3,52,,,,
61,56.1,50,,,,
Max,Avg,Min,,,,
54,49.1,45,,,,
55,50.6,46,,,,
52,50.1,48,,,,
57,55.2,54,,,,
48,42.5,36,,,,
48,45.6,37,,,,
54,48.6,39,,,,
37,34.9,32,,,,
43,37.8,32,,,,
45,40.6,34,,,,
46,44.9,41,,,,
52,50.4,48,,,,
50,47.6,45,,,,
52,48.4,43,,,,
50,46.5,41,,,,
46,45.1,43,,,,
48,44.0,39,,,,
52,46.0,39,,,,
48,45.1,41,,,,
41,37.9,34,,,,
45,40.2,34,,,,
48,43.1,39,,,,
52,48.3,45,,,,
52,50.2,48,,,,
54,49.2,45,,,,
50,47.9,46,,,,
50,47.3,43,,,,
48,47.6,46,,,,
Max,Avg,Min,,,,
100,76.9,55,,,,
94,79.2,59,,,,
82,72.9,63,,,,
94,86.7,72,,,,
82,63.7,39,,,,
93,74.3,52,,,,
94,80.8,68,,,,
87,62.0,36,,,,
100,69.2,48,,,,
100,79.0,44,,,,
100,81.4,67,,,,
100,85.3,68,,,,
94,77.7,59,,,,
94,73.3,52,,,,
100,76.0,59,,,,
93,68.2,49,,,,
100,74.2,52,,,,
100,79.9,59,,,,
100,70.9,52,,,,
81,51.9,30,,,,
76,54.1,40,,,,
76,58.1,43,,,,
88,73.8,59,,,,
100,85.9,63,,,,
100,83.0,56,,,,
94,76.9,59,,,,
94,72.2,48,,,,
94,74.8,59,,,,
Max,Avg,Min,,,,
13,6.8,1,,,,
21,12.1,2,,,,
20,17.0,14,,,,
18,15.4,12,,,,
26,17.6,9,,,,
10,5.3,0,,,,
13,7.7,2,,,,
10,3.5,1,,,,
16,6.8,0,,,,
10,4.1,0,,,,
15,10.3,0,,,,
16,10.8,0,,,,
17,8.4,0,,,,
8,4.8,0,,,,
14,8.5,2,,,,
12,6.9,2,,,,
6,1.9,0,,,,
16,6.1,0,,,,
16,8.5,0,,,,
21,10.0,0,,,,
15,8.0,2,,,,
10,4.8,0,,,,
5,1.4,0,,,,
8,3.9,2,,,,
9,3.6,0,,,,
6,2.7,0,,,,
14,6.7,1,,,,
15,10.7,7,,,,
Max,Avg,Min,,,,
29.5,29.4,29.4,,,,
29.5,29.4,29.3,,,,
29.5,29.4,29.4,,,,
29.5,29.4,29.4,,,,
29.8,29.6,29.5,,,,
29.8,29.8,29.7,,,,
29.7,29.6,29.6,,,,
29.8,29.7,29.7,,,,
29.6,29.4,29.2,,,,
29.2,29.2,29.1,,,,
29.2,29.1,28.9,,,,
28.8,28.8,28.7,,,,
29.3,29.2,28.9,,,,
29.6,29.5,29.4,,,,
29.7,29.7,29.6,,,,
29.8,29.7,29.7,,,,
29.7,29.6,29.6,,,,
29.6,29.5,29.4,,,,
29.6,29.5,29.4,,,,
29.6,29.5,29.4,,,,
29.5,29.4,29.4,,,,
29.4,29.4,29.3,,,,
29.3,29.3,29.3,,,,
29.4,29.3,29.3,,,,
29.5,29.5,29.4,,,,
29.6,29.5,29.5,,,,
29.5,29.5,29.4,,,,
29.5,29.4,29.4,,,,
Total,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
