Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Nov 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,Max Avg Min 75 55.9 40 75 58.3 44 77 59.5 47 80 62.0 47 81 64.3 50 81 64.3 50 80 63.8 50 79 63.9 49 77 62.3 50 77 62.3 51 78 62.9 51 81 64.5 50 78 63.4 52 75 63.7 52 64 56.5 48 68 59.5 52 73 59.8 49 80 63.0 49 73 61.4 48 55 51.2 48 66 55.2 46 66 55.4 45 65 54.2 45 67 55.3 46 63 53.4 43 55 48.8 39 56 48.5 44 53 46.9 43 51 44.6 41 54 47.4 40,Max Avg Min 25 17.2 11 27 22.3 17 31 26.2 23 31 26.0 21 34 28.8 22 37 31.0 27 40 33.2 26 41 37.0 31 43 36.4 29 37 34.9 31 40 34.6 28 42 38.6 34 44 39.0 34 47 41.5 33 49 46.6 41 49 47.4 45 49 46.5 42 49 46.4 42 47 41.7 36 48 44.8 40 45 42.5 40 44 42.5 40 46 43.5 41 45 42.9 40 43 34.2 27 30 26.0 22 44 39.1 24 42 39.9 36 42 38.5 31 40 34.5 23,Max Avg Min 40 23.4 11 39 26.3 15 45 30.0 15 39 27.2 14 40 27.9 16 46 30.6 16 47 33.3 19 61 39.2 22 59 40.3 23 54 37.8 22 49 36.2 21 57 40.3 24 55 42.0 25 74 46.2 32 83 70.0 56 77 64.8 50 80 62.8 42 80 57.4 32 71 50.5 28 90 79.3 57 83 64.3 38 82 63.6 43 86 68.9 45 83 65.1 43 86 50.9 26 65 43.1 28 93 72.0 29 86 77.2 57 96 81.1 46 89 63.2 30,Max Avg Min 8 3.5 0 9 2.8 0 7 3.1 0 9 3.5 0 9 3.3 0 9 3.3 0 9 3.5 0 8 3.3 0 8 2.7 0 7 2.5 0 9 4.3 0 12 3.6 0 8 3.5 0 14 6.5 0 7 2.8 0 9 3.7 0 9 3.8 0 10 4.5 0 12 5.8 0 13 7.0 0 6 3.0 0 9 4.0 0 8 4.1 0 10 4.3 0 15 6.0 0 9 3.6 0 25 7.8 0 17 5.4 0 7 4.0 0 16 8.0 3,Max Avg Min 29.7 29.6 29.6 29.6 29.6 29.5 29.5 29.5 29.4 29.5 29.4 29.4 29.6 29.5 29.4 29.5 29.5 29.4 29.6 29.6 29.5 29.7 29.6 29.6 29.6 29.6 29.5 29.6 29.5 29.4 29.6 29.5 29.5 29.6 29.5 29.5 29.5 29.4 29.4 29.6 29.5 29.4 29.7 29.6 29.6 29.6 29.6 29.6 29.6 29.6 29.5 29.5 29.4 29.3 29.3 29.2 29.0 29.2 29.1 29.0 29.5 29.4 29.2 29.6 29.6 29.5 29.7 29.7 29.6 29.7 29.6 29.6 29.5 29.5 29.4 29.5 29.4 29.1 29.1 29.1 29.0 29.1 29.1 29.0 29.5 29.3 29.1 29.6 29.6 29.5,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.37 0.00 0.00 0.00 0.00 0.00 0.03 0.51 0.12 0.00
Nov,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
Max,Avg,Min,,,,
75,55.9,40,,,,
75,58.3,44,,,,
77,59.5,47,,,,
80,62.0,47,,,,
81,64.3,50,,,,
81,64.3,50,,,,
80,63.8,50,,,,
79,63.9,49,,,,
77,62.3,50,,,,
77,62.3,51,,,,
78,62.9,51,,,,
81,64.5,50,,,,
78,63.4,52,,,,
75,63.7,52,,,,
64,56.5,48,,,,
68,59.5,52,,,,
73,59.8,49,,,,
80,63.0,49,,,,
73,61.4,48,,,,
55,51.2,48,,,,
66,55.2,46,,,,
66,55.4,45,,,,
65,54.2,45,,,,
67,55.3,46,,,,
63,53.4,43,,,,
55,48.8,39,,,,
56,48.5,44,,,,
53,46.9,43,,,,
51,44.6,41,,,,
54,47.4,40,,,,
Max,Avg,Min,,,,
25,17.2,11,,,,
27,22.3,17,,,,
31,26.2,23,,,,
31,26.0,21,,,,
34,28.8,22,,,,
37,31.0,27,,,,
40,33.2,26,,,,
41,37.0,31,,,,
43,36.4,29,,,,
37,34.9,31,,,,
40,34.6,28,,,,
42,38.6,34,,,,
44,39.0,34,,,,
47,41.5,33,,,,
49,46.6,41,,,,
49,47.4,45,,,,
49,46.5,42,,,,
49,46.4,42,,,,
47,41.7,36,,,,
48,44.8,40,,,,
45,42.5,40,,,,
44,42.5,40,,,,
46,43.5,41,,,,
45,42.9,40,,,,
43,34.2,27,,,,
30,26.0,22,,,,
44,39.1,24,,,,
42,39.9,36,,,,
42,38.5,31,,,,
40,34.5,23,,,,
Max,Avg,Min,,,,
40,23.4,11,,,,
39,26.3,15,,,,
45,30.0,15,,,,
39,27.2,14,,,,
40,27.9,16,,,,
46,30.6,16,,,,
47,33.3,19,,,,
61,39.2,22,,,,
59,40.3,23,,,,
54,37.8,22,,,,
49,36.2,21,,,,
57,40.3,24,,,,
55,42.0,25,,,,
74,46.2,32,,,,
83,70.0,56,,,,
77,64.8,50,,,,
80,62.8,42,,,,
80,57.4,32,,,,
71,50.5,28,,,,
90,79.3,57,,,,
83,64.3,38,,,,
82,63.6,43,,,,
86,68.9,45,,,,
83,65.1,43,,,,
86,50.9,26,,,,
65,43.1,28,,,,
93,72.0,29,,,,
86,77.2,57,,,,
96,81.1,46,,,,
89,63.2,30,,,,
Max,Avg,Min,,,,
8,3.5,0,,,,
9,2.8,0,,,,
7,3.1,0,,,,
9,3.5,0,,,,
9,3.3,0,,,,
9,3.3,0,,,,
9,3.5,0,,,,
8,3.3,0,,,,
8,2.7,0,,,,
7,2.5,0,,,,
9,4.3,0,,,,
12,3.6,0,,,,
8,3.5,0,,,,
14,6.5,0,,,,
7,2.8,0,,,,
9,3.7,0,,,,
9,3.8,0,,,,
10,4.5,0,,,,
12,5.8,0,,,,
13,7.0,0,,,,
6,3.0,0,,,,
9,4.0,0,,,,
8,4.1,0,,,,
10,4.3,0,,,,
15,6.0,0,,,,
9,3.6,0,,,,
25,7.8,0,,,,
17,5.4,0,,,,
7,4.0,0,,,,
16,8.0,3,,,,
Max,Avg,Min,,,,
29.7,29.6,29.6,,,,
29.6,29.6,29.5,,,,
29.5,29.5,29.4,,,,
29.5,29.4,29.4,,,,
29.6,29.5,29.4,,,,
29.5,29.5,29.4,,,,
29.6,29.6,29.5,,,,
29.7,29.6,29.6,,,,
29.6,29.6,29.5,,,,
29.6,29.5,29.4,,,,
29.6,29.5,29.5,,,,
29.6,29.5,29.5,,,,
29.5,29.4,29.4,,,,
29.6,29.5,29.4,,,,
29.7,29.6,29.6,,,,
29.6,29.6,29.6,,,,
29.6,29.6,29.5,,,,
29.5,29.4,29.3,,,,
29.3,29.2,29.0,,,,
29.2,29.1,29.0,,,,
29.5,29.4,29.2,,,,
29.6,29.6,29.5,,,,
29.7,29.7,29.6,,,,
29.7,29.6,29.6,,,,
29.5,29.5,29.4,,,,
29.5,29.4,29.1,,,,
29.1,29.1,29.0,,,,
29.1,29.1,29.0,,,,
29.5,29.3,29.1,,,,
29.6,29.6,29.5,,,,
Total,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.37,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.03,,,,,,
0.51,,,,,,
0.12,,,,,,
0.00,,,,,,
