Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Feb 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28,Max Avg Min 57 47.9 41 43 40.8 37 43 37.5 34 45 37.1 27 54 46.5 39 54 48.8 41 55 46.8 41 57 45.1 34 61 47.6 37 54 46.7 41 54 46.6 43 52 43.5 34 57 43.7 30 57 49.9 45 59 49.6 45 59 47.4 34 59 51.3 46 61 52.5 46 59 49.3 43 61 48.0 36 68 49.3 34 68 50.6 36 66 52.4 37 66 52.0 39 66 51.5 39 72 52.8 37 75 54.6 37 59 54.0 46,Max Avg Min 46 42.7 36 41 37.1 30 32 29.3 28 39 29.6 25 52 46.0 39 50 47.7 41 50 43.6 39 43 39.6 34 46 41.5 36 48 43.4 39 43 39.8 36 41 36.8 32 43 34.6 28 45 42.4 41 45 42.9 41 45 40.0 34 45 43.5 41 45 43.5 41 46 43.6 39 45 40.1 34 45 39.0 34 41 35.5 30 46 39.5 34 48 41.6 36 48 42.4 37 46 41.1 36 45 37.6 28 48 44.8 37,Max Avg Min 100 83.5 51 100 87.2 70 87 74.1 57 100 76.3 46 100 98.5 93 100 96.4 82 100 89.7 76 100 83.2 51 100 80.7 59 100 88.9 76 93 78.3 58 100 79.1 54 100 74.4 33 87 75.3 59 93 77.7 59 100 77.7 51 87 74.4 59 87 72.1 48 93 80.7 59 100 76.3 45 100 72.6 32 93 61.4 24 87 63.8 40 93 70.4 40 100 73.6 43 100 68.5 35 93 60.0 19 87 71.9 54,Max Avg Min 29 7.8 0 25 16.5 1 24 16.1 5 7 3.4 0 14 5.4 0 8 3.6 0 17 7.9 2 9 4.0 0 13 5.7 2 24 10.9 3 21 13.2 8 8 3.9 0 17 9.2 0 22 15.3 9 18 12.6 6 20 10.4 1 23 17.4 13 20 14.1 6 14 5.5 0 14 5.8 0 10 3.4 0 10 4.8 1 17 7.0 1 9 5.0 2 12 5.8 2 9 3.8 0 7 4.1 1 17 11.2 3,Max Avg Min 28.8 28.7 28.6 29.4 29.1 28.7 29.9 29.7 29.5 29.9 29.8 29.8 29.8 29.8 29.7 29.8 29.7 29.6 29.7 29.6 29.6 29.7 29.6 29.5 29.6 29.6 29.4 29.7 29.5 29.4 30.0 29.8 29.7 30.0 30.0 29.9 29.9 29.9 29.9 29.9 29.9 29.8 29.8 29.8 29.8 29.8 29.8 29.7 29.7 29.6 29.6 29.6 29.6 29.5 29.7 29.6 29.6 29.8 29.7 29.6 29.9 29.8 29.8 29.9 29.9 29.8 29.8 29.8 29.8 29.9 29.9 29.8 29.9 29.9 29.8 29.9 29.8 29.8 29.8 29.7 29.7 29.9 29.8 29.8,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Feb,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
Max,Avg,Min,,,,
57,47.9,41,,,,
43,40.8,37,,,,
43,37.5,34,,,,
45,37.1,27,,,,
54,46.5,39,,,,
54,48.8,41,,,,
55,46.8,41,,,,
57,45.1,34,,,,
61,47.6,37,,,,
54,46.7,41,,,,
54,46.6,43,,,,
52,43.5,34,,,,
57,43.7,30,,,,
57,49.9,45,,,,
59,49.6,45,,,,
59,47.4,34,,,,
59,51.3,46,,,,
61,52.5,46,,,,
59,49.3,43,,,,
61,48.0,36,,,,
68,49.3,34,,,,
68,50.6,36,,,,
66,52.4,37,,,,
66,52.0,39,,,,
66,51.5,39,,,,
72,52.8,37,,,,
75,54.6,37,,,,
59,54.0,46,,,,
Max,Avg,Min,,,,
46,42.7,36,,,,
41,37.1,30,,,,
32,29.3,28,,,,
39,29.6,25,,,,
52,46.0,39,,,,
50,47.7,41,,,,
50,43.6,39,,,,
43,39.6,34,,,,
46,41.5,36,,,,
48,43.4,39,,,,
43,39.8,36,,,,
41,36.8,32,,,,
43,34.6,28,,,,
45,42.4,41,,,,
45,42.9,41,,,,
45,40.0,34,,,,
45,43.5,41,,,,
45,43.5,41,,,,
46,43.6,39,,,,
45,40.1,34,,,,
45,39.0,34,,,,
41,35.5,30,,,,
46,39.5,34,,,,
48,41.6,36,,,,
48,42.4,37,,,,
46,41.1,36,,,,
45,37.6,28,,,,
48,44.8,37,,,,
Max,Avg,Min,,,,
100,83.5,51,,,,
100,87.2,70,,,,
87,74.1,57,,,,
100,76.3,46,,,,
100,98.5,93,,,,
100,96.4,82,,,,
100,89.7,76,,,,
100,83.2,51,,,,
100,80.7,59,,,,
100,88.9,76,,,,
93,78.3,58,,,,
100,79.1,54,,,,
100,74.4,33,,,,
87,75.3,59,,,,
93,77.7,59,,,,
100,77.7,51,,,,
87,74.4,59,,,,
87,72.1,48,,,,
93,80.7,59,,,,
100,76.3,45,,,,
100,72.6,32,,,,
93,61.4,24,,,,
87,63.8,40,,,,
93,70.4,40,,,,
100,73.6,43,,,,
100,68.5,35,,,,
93,60.0,19,,,,
87,71.9,54,,,,
Max,Avg,Min,,,,
29,7.8,0,,,,
25,16.5,1,,,,
24,16.1,5,,,,
7,3.4,0,,,,
14,5.4,0,,,,
8,3.6,0,,,,
17,7.9,2,,,,
9,4.0,0,,,,
13,5.7,2,,,,
24,10.9,3,,,,
21,13.2,8,,,,
8,3.9,0,,,,
17,9.2,0,,,,
22,15.3,9,,,,
18,12.6,6,,,,
20,10.4,1,,,,
23,17.4,13,,,,
20,14.1,6,,,,
14,5.5,0,,,,
14,5.8,0,,,,
10,3.4,0,,,,
10,4.8,1,,,,
17,7.0,1,,,,
9,5.0,2,,,,
12,5.8,2,,,,
9,3.8,0,,,,
7,4.1,1,,,,
17,11.2,3,,,,
Max,Avg,Min,,,,
28.8,28.7,28.6,,,,
29.4,29.1,28.7,,,,
29.9,29.7,29.5,,,,
29.9,29.8,29.8,,,,
29.8,29.8,29.7,,,,
29.8,29.7,29.6,,,,
29.7,29.6,29.6,,,,
29.7,29.6,29.5,,,,
29.6,29.6,29.4,,,,
29.7,29.5,29.4,,,,
30.0,29.8,29.7,,,,
30.0,30.0,29.9,,,,
29.9,29.9,29.9,,,,
29.9,29.9,29.8,,,,
29.8,29.8,29.8,,,,
29.8,29.8,29.7,,,,
29.7,29.6,29.6,,,,
29.6,29.6,29.5,,,,
29.7,29.6,29.6,,,,
29.8,29.7,29.6,,,,
29.9,29.8,29.8,,,,
29.9,29.9,29.8,,,,
29.8,29.8,29.8,,,,
29.9,29.9,29.8,,,,
29.9,29.9,29.8,,,,
29.9,29.8,29.8,,,,
29.8,29.7,29.7,,,,
29.9,29.8,29.8,,,,
Total,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
