Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Sep 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,Max Avg Min 106 94.2 77 100 90.7 81 98 86.1 74 83 75.1 71 88 77.7 70 90 78.3 70 89 76.0 66 84 72.8 66 85 73.0 64 95 79.8 68 95 79.8 73 85 75.5 67 78 68.4 64 74 67.3 62 75 68.1 65 77 68.0 61 75 67.4 64 77 66.7 61 74 67.8 64 76 67.9 60 71 65.7 61 72 63.5 55 74 64.2 54 84 69.3 54 86 73.0 58 86 72.9 61 89 74.2 60 94 77.5 61 92 78.6 62 82 70.4 62,Max Avg Min 65 55.5 48 66 58.6 53 69 64.0 61 67 65.9 64 66 63.3 57 64 60.3 57 60 58.2 54 61 59.6 58 60 55.4 39 61 56.7 51 62 58.7 56 63 61.5 59 61 57.8 52 56 54.8 53 58 56.0 55 58 56.4 54 58 56.9 55 59 57.5 54 58 56.9 56 59 56.1 53 60 55.3 47 51 46.5 41 51 47.6 45 50 37.7 26 34 27.9 21 54 37.0 29 52 42.9 32 58 37.0 25 58 41.9 32 60 54.4 43,Max Avg Min 66 31.8 14 49 35.0 24 82 50.1 29 87 73.4 58 81 62.4 45 73 55.2 37 73 55.9 32 79 64.9 44 87 59.5 20 76 49.4 23 68 49.6 30 81 63.2 43 87 70.3 46 80 65.1 51 75 65.6 51 78 67.0 48 80 69.3 53 84 73.2 52 80 68.5 55 83 66.8 46 90 70.6 44 77 55.9 35 72 56.1 37 70 37.3 13 41 20.9 9 53 29.4 14 60 35.7 14 73 27.7 9 61 31.3 12 84 58.4 38,Max Avg Min 14 5.3 0 13 5.8 0 15 6.9 0 14 6.3 0 10 4.9 0 12 5.0 0 10 5.3 0 12 6.2 0 12 5.6 0 13 5.0 0 12 5.1 0 13 6.3 0 14 7.9 5 10 4.5 0 13 5.2 0 10 3.4 0 8 4.2 0 10 5.2 0 10 5.5 0 10 4.9 0 14 8.1 3 12 4.0 0 10 4.4 0 15 3.3 0 14 3.9 0 10 4.6 0 12 4.4 0 12 5.3 0 13 5.2 0 12 6.3 0,Max Avg Min 29.0 29.0 28.9 29.1 29.0 28.9 29.1 29.1 29.1 29.1 29.1 29.1 29.2 29.1 29.1 29.1 29.1 29.1 29.1 29.1 29.0 29.1 29.1 29.0 29.2 29.1 29.1 29.1 29.1 29.0 29.1 29.1 29.0 29.1 29.1 29.0 29.1 29.1 29.0 29.1 29.1 29.1 29.1 29.1 29.0 29.1 29.1 29.0 29.2 29.1 29.1 29.1 29.1 29.1 29.1 29.1 29.0 29.1 29.1 29.0 29.0 29.0 29.0 29.1 29.0 29.0 29.0 29.0 29.0 29.1 29.0 29.0 29.1 29.0 29.0 29.0 29.0 28.9 29.1 29.0 29.0 29.1 29.1 29.0 29.1 29.1 29.0 29.1 29.0 29.0,Total 0.00 0.00 0.00 0.03 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Sep,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
Max,Avg,Min,,,,
106,94.2,77,,,,
100,90.7,81,,,,
98,86.1,74,,,,
83,75.1,71,,,,
88,77.7,70,,,,
90,78.3,70,,,,
89,76.0,66,,,,
84,72.8,66,,,,
85,73.0,64,,,,
95,79.8,68,,,,
95,79.8,73,,,,
85,75.5,67,,,,
78,68.4,64,,,,
74,67.3,62,,,,
75,68.1,65,,,,
77,68.0,61,,,,
75,67.4,64,,,,
77,66.7,61,,,,
74,67.8,64,,,,
76,67.9,60,,,,
71,65.7,61,,,,
72,63.5,55,,,,
74,64.2,54,,,,
84,69.3,54,,,,
86,73.0,58,,,,
86,72.9,61,,,,
89,74.2,60,,,,
94,77.5,61,,,,
92,78.6,62,,,,
82,70.4,62,,,,
Max,Avg,Min,,,,
65,55.5,48,,,,
66,58.6,53,,,,
69,64.0,61,,,,
67,65.9,64,,,,
66,63.3,57,,,,
64,60.3,57,,,,
60,58.2,54,,,,
61,59.6,58,,,,
60,55.4,39,,,,
61,56.7,51,,,,
62,58.7,56,,,,
63,61.5,59,,,,
61,57.8,52,,,,
56,54.8,53,,,,
58,56.0,55,,,,
58,56.4,54,,,,
58,56.9,55,,,,
59,57.5,54,,,,
58,56.9,56,,,,
59,56.1,53,,,,
60,55.3,47,,,,
