Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Jun 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,Max Avg Min 82 67.0 46 79 68.4 54 79 67.8 54 75 68.4 63 79 69.0 59 79 68.0 52 77 68.7 57 81 71.6 63 77 66.2 57 77 66.6 57 79 65.2 57 79 67.6 54 79 66.8 54 79 68.0 57 84 70.1 57 84 71.8 57 82 70.8 55 81 70.3 55 79 69.0 57 86 72.6 54 86 71.1 61 91 76.8 59 91 77.5 61 86 75.1 61 86 72.8 59 86 71.7 55 88 73.5 57 88 74.1 59 86 74.8 59 88 76.7 64,Max Avg Min 57 48.8 45 57 53.2 48 61 56.3 50 64 61.6 57 63 56.2 52 57 53.6 48 64 59.2 52 64 57.4 46 59 54.9 50 59 54.2 48 64 54.4 50 59 55.0 50 66 58.9 50 59 55.0 50 61 56.5 52 63 57.3 41 57 55.4 52 63 56.0 50 64 59.7 52 59 54.0 46 63 57.9 50 63 56.0 46 64 54.6 48 59 55.9 54 66 60.0 55 66 57.0 48 61 54.2 48 68 59.2 54 70 62.3 52 70 66.4 59,Max Avg Min 93 57.8 30 82 60.2 41 94 68.8 44 94 79.5 57 88 66.6 39 88 63.5 36 88 72.5 50 88 63.6 30 88 68.8 41 88 66.4 38 88 70.4 39 88 66.3 41 88 77.0 60 88 66.5 41 88 64.9 35 94 63.2 29 94 61.4 37 88 63.6 36 88 73.0 54 88 55.2 35 88 64.3 40 88 54.2 22 94 51.5 24 82 54.4 35 88 66.9 40 94 63.5 35 88 55.4 27 88 63.4 33 88 68.3 33 88 71.6 48,Max Avg Min 15 8.3 1 17 9.2 2 15 7.8 1 31 16.9 2 16 8.1 2 16 8.1 1 21 10.8 1 13 8.4 3 17 7.5 3 15 7.2 1 13 6.3 0 20 8.3 2 16 7.8 3 12 7.2 0 15 7.1 1 17 8.7 3 16 7.8 2 14 7.2 2 14 7.8 1 15 7.8 2 39 9.0 1 13 6.1 3 17 7.0 2 17 7.7 1 14 6.8 1 14 7.0 2 14 6.6 2 17 7.1 2 15 7.2 2 15 7.9 0,Max Avg Min 30.0 30.0 29.9 30.0 29.9 29.8 29.9 29.8 29.7 29.7 29.6 29.4 29.7 29.5 29.4 29.8 29.7 29.7 29.8 29.7 29.7 29.8 29.7 29.6 29.8 29.8 29.7 29.8 29.8 29.7 29.9 29.8 29.8 29.9 29.9 29.9 29.9 29.9 29.9 29.9 29.9 29.8 29.9 29.9 29.8 29.9 29.9 29.8 29.9 29.9 29.8 30.0 29.9 29.9 30.0 30.0 29.9 30.0 30.0 29.9 29.9 29.9 29.9 30.0 30.0 29.9 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 29.9 30.0 30.0 29.9 30.0 29.9 29.9 29.9 29.9 29.9 29.9 29.9 29.9,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Jun,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
Max,Avg,Min,,,,
82,67.0,46,,,,
79,68.4,54,,,,
79,67.8,54,,,,
75,68.4,63,,,,
79,69.0,59,,,,
79,68.0,52,,,,
77,68.7,57,,,,
81,71.6,63,,,,
77,66.2,57,,,,
77,66.6,57,,,,
79,65.2,57,,,,
79,67.6,54,,,,
79,66.8,54,,,,
79,68.0,57,,,,
84,70.1,57,,,,
84,71.8,57,,,,
82,70.8,55,,,,
81,70.3,55,,,,
79,69.0,57,,,,
86,72.6,54,,,,
86,71.1,61,,,,
91,76.8,59,,,,
91,77.5,61,,,,
86,75.1,61,,,,
86,72.8,59,,,,
86,71.7,55,,,,
88,73.5,57,,,,
88,74.1,59,,,,
86,74.8,59,,,,
88,76.7,64,,,,
Max,Avg,Min,,,,
57,48.8,45,,,,
57,53.2,48,,,,
61,56.3,50,,,,
64,61.6,57,,,,
63,56.2,52,,,,
57,53.6,48,,,,
64,59.2,52,,,,
64,57.4,46,,,,
59,54.9,50,,,,
59,54.2,48,,,,
64,54.4,50,,,,
59,55.0,50,,,,
66,58.9,50,,,,
59,55.0,50,,,,
61,56.5,52,,,,
63,57.3,41,,,,
57,55.4,52,,,,
63,56.0,50,,,,
64,59.7,52,,,,
59,54.0,46,,,,
63,57.9,50,,,,
63,56.0,46,,,,
64,54.6,48,,,,
59,55.9,54,,,,
66,60.0,55,,,,
66,57.0,48,,,,
61,54.2,48,,,,
68,59.2,54,,,,
70,62.3,52,,,,
70,66.4,59,,,,
Max,Avg,Min,,,,
93,57.8,30,,,,
82,60.2,41,,,,
94,68.8,44,,,,
94,79.5,57,,,,
88,66.6,39,,,,
88,63.5,36,,,,
88,72.5,50,,,,
88,63.6,30,,,,
88,68.8,41,,,,
88,66.4,38,,,,
88,70.4,39,,,,
88,66.3,41,,,,
88,77.0,60,,,,
88,66.5,41,,,,
88,64.9,35,,,,
94,63.2,29,,,,
94,61.4,37,,,,
88,63.6,36,,,,
88,73.0,54,,,,
88,55.2,35,,,,
88,64.3,40,,,,
88,54.2,22,,,,
94,51.5,24,,,,
82,54.4,35,,,,
88,66.9,40,,,,
94,63.5,35,,,,
88,55.4,27,,,,
88,63.4,33,,,,
88,68.3,33,,,,
88,71.6,48,,,,
Max,Avg,Min,,,,
15,8.3,1,,,,
17,9.2,2,,,,
15,7.8,1,,,,
31,16.9,2,,,,
16,8.1,2,,,,
16,8.1,1,,,,
21,10.8,1,,,,
13,8.4,3,,,,
17,7.5,3,,,,
15,7.2,1,,,,
13,6.3,0,,,,
20,8.3,2,,,,
16,7.8,3,,,,
12,7.2,0,,,,
15,7.1,1,,,,
17,8.7,3,,,,
16,7.8,2,,,,
14,7.2,2,,,,
14,7.8,1,,,,
15,7.8,2,,,,
39,9.0,1,,,,
13,6.1,3,,,,
17,7.0,2,,,,
17,7.7,1,,,,
14,6.8,1,,,,
14,7.0,2,,,,
14,6.6,2,,,,
17,7.1,2,,,,
15,7.2,2,,,,
15,7.9,0,,,,
Max,Avg,Min,,,,
30.0,30.0,29.9,,,,
30.0,29.9,29.8,,,,
29.9,29.8,29.7,,,,
29.7,29.6,29.4,,,,
