Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Aug 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,Max Avg Min 76 65.1 61 77 69.7 64 73 68.2 63 72 66.3 62 73 66.9 64 71 65.2 63 71 65.9 63 72 66.7 64 74 68.4 64 75 69.0 65 82 73.4 69 80 74.0 69 81 72.8 67 77 70.4 67 74 70.0 66 76 71.2 68 74 71.3 69 75 71.0 68 75 70.4 68 72 68.7 67 72 67.0 63 70 66.8 64 74 68.5 62 74 68.2 62 74 69.1 64 78 71.5 65 76 69.9 64 73 66.0 63 71 66.6 62 72 68.6 67 70 67.5 66,Max Avg Min 62 60.3 58 63 59.7 56 62 60.3 58 63 61.4 60 63 62.0 61 62 60.3 58 60 59.4 59 61 60.1 59 63 61.4 60 64 62.7 61 66 63.7 61 65 61.6 53 67 62.1 49 65 63.5 57 64 62.9 60 66 64.8 64 65 64.6 63 67 64.4 63 66 63.9 62 63 62.2 60 64 60.4 56 63 61.4 58 62 59.8 58 63 60.8 58 64 62.0 60 66 62.8 60 65 63.3 61 63 62.5 62 65 62.7 61 64 62.5 61 64 62.1 60,Max Avg Min 100 85.8 54 87 71.7 54 87 76.4 61 96 84.3 70 93 84.4 68 94 84.3 70 87 79.8 68 87 79.7 66 87 78.7 66 90 80.9 62 84 72.5 51 84 66.3 40 96 72.1 33 90 79.6 50 90 78.4 62 90 80.3 69 87 79.3 71 90 79.7 66 90 80.2 66 87 79.9 68 100 80.4 59 93 83.0 68 90 74.3 57 87 77.8 64 90 78.5 66 90 74.7 60 90 80.3 62 100 89.1 71 97 87.4 75 90 81.0 71 94 82.8 76,Max Avg Min 9 2.5 0 9 3.8 0 9 3.2 0 10 3.0 0 9 4.2 0 12 4.8 0 10 4.1 0 12 4.3 0 12 3.3 0 10 4.3 0 9 4.0 0 10 3.7 0 10 3.6 0 9 3.9 0 10 3.5 0 10 4.4 0 12 5.8 0 13 5.8 0 13 4.0 0 13 5.3 0 9 3.6 0 9 3.0 0 10 2.9 0 8 2.9 0 9 3.5 0 10 2.7 0 9 3.6 0 12 2.6 0 8 2.5 0 12 4.0 0 9 4.2 0,Max Avg Min 29.7 29.7 29.6 29.7 29.6 29.6 29.6 29.6 29.5 29.6 29.5 29.5 29.6 29.6 29.5 29.6 29.6 29.5 29.6 29.6 29.5 29.6 29.6 29.5 29.6 29.6 29.5 29.6 29.6 29.5 29.6 29.6 29.6 29.7 29.6 29.6 29.7 29.7 29.7 29.7 29.7 29.6 29.7 29.6 29.5 29.5 29.5 29.4 29.5 29.5 29.5 29.6 29.6 29.5 29.6 29.6 29.5 29.5 29.5 29.4 29.5 29.5 29.4 29.5 29.5 29.4 29.6 29.5 29.5 29.6 29.6 29.5 29.6 29.6 29.5 29.6 29.5 29.4 29.4 29.4 29.3 29.4 29.4 29.4 29.5 29.4 29.4 29.5 29.4 29.4 29.5 29.4 29.4,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.07 0.03 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Aug,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
Max,Avg,Min,,,,
76,65.1,61,,,,
77,69.7,64,,,,
73,68.2,63,,,,
72,66.3,62,,,,
73,66.9,64,,,,
71,65.2,63,,,,
71,65.9,63,,,,
72,66.7,64,,,,
74,68.4,64,,,,
75,69.0,65,,,,
82,73.4,69,,,,
80,74.0,69,,,,
81,72.8,67,,,,
77,70.4,67,,,,
74,70.0,66,,,,
76,71.2,68,,,,
74,71.3,69,,,,
75,71.0,68,,,,
75,70.4,68,,,,
72,68.7,67,,,,
72,67.0,63,,,,
70,66.8,64,,,,
74,68.5,62,,,,
74,68.2,62,,,,
74,69.1,64,,,,
78,71.5,65,,,,
76,69.9,64,,,,
73,66.0,63,,,,
71,66.6,62,,,,
72,68.6,67,,,,
70,67.5,66,,,,
Max,Avg,Min,,,,
62,60.3,58,,,,
63,59.7,56,,,,
62,60.3,58,,,,
63,61.4,60,,,,
63,62.0,61,,,,
62,60.3,58,,,,
