Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Aug 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,Max Avg Min 72 62.9 57 73 64.9 54 73 63.6 57 68 62.8 61 75 67.9 61 79 71.8 64 66 62.0 0 75 65.6 57 77 66.3 55 84 72.0 59 86 75.2 64 90 76.0 68 88 75.9 64 93 80.9 70 93 81.5 70 73 69.1 63 73 65.8 59 70 64.3 59 73 65.7 57 79 67.3 55 88 75.5 63 79 72.4 64 73 66.8 59 73 65.8 61 75 65.2 55 75 66.5 57 72 63.6 54 72 62.1 52 72 61.6 52 70 61.9 54 73 63.8 55,Max Avg Min 59 56.2 52 57 54.1 50 61 56.6 54 61 60.2 59 61 58.4 54 59 55.6 50 63 58.6 0 61 53.0 46 59 54.7 52 63 59.7 57 66 62.2 59 70 65.8 64 70 66.6 63 73 70.1 66 73 64.6 59 66 57.0 50 59 53.7 48 57 53.8 50 59 56.0 54 61 57.5 54 63 58.2 50 63 59.5 57 57 54.9 54 59 56.7 55 57 55.4 54 57 55.0 54 55 50.4 48 52 49.6 48 54 52.5 50 55 53.4 52 55 53.9 52,Max Avg Min 100 80.7 53 100 70.6 44 94 79.2 53 100 91.6 73 100 74.0 50 83 57.9 39 100 86.8 0 100 67.2 38 88 67.8 47 94 67.8 40 88 65.7 42 94 73.5 46 100 74.9 48 94 70.9 44 88 57.8 36 88 66.8 44 94 67.7 46 77 69.0 60 94 72.8 53 94 72.9 50 88 59.1 29 78 64.2 51 82 67.2 50 88 74.3 53 94 72.6 50 94 68.9 47 88 63.5 46 94 65.3 43 94 73.1 50 94 74.4 56 94 71.6 50,Max Avg Min 12 4.9 0 8 4.1 0 10 5.2 2 9 3.5 0 8 4.9 1 8 4.9 0 12 5.5 0 7 4.0 2 7 3.2 0 7 3.2 0 9 3.0 0 21 4.8 0 7 3.5 1 8 3.9 0 23 5.7 0 15 8.1 1 14 9.3 3 16 10.5 5 10 4.8 0 6 3.4 0 9 5.5 2 15 6.9 2 21 12.4 2 10 6.6 2 9 5.1 0 13 6.5 0 17 12.5 8 22 13.1 6 17 10.0 0 13 9.0 3 15 8.5 2,Max Avg Min 29.2 29.1 29.0 29.2 29.2 29.2 29.2 29.2 29.1 29.2 29.1 29.0 29.1 29.1 29.0 29.0 29.0 28.9 29.1 28.4 0.0 29.2 29.2 29.1 29.3 29.3 29.2 29.3 29.2 29.2 29.3 29.2 29.2 29.3 29.3 29.2 29.4 29.3 29.3 29.3 29.3 29.2 29.2 29.1 29.1 29.3 29.3 29.2 29.3 29.3 29.3 29.3 29.3 29.2 29.2 29.2 29.2 29.2 29.2 29.2 29.2 29.2 29.2 29.4 29.3 29.2 29.4 29.3 29.2 29.2 29.2 29.2 29.2 29.2 29.1 29.2 29.1 29.1 29.2 29.1 29.1 29.2 29.2 29.2 29.2 29.2 29.2 29.2 29.2 29.2 29.3 29.3 29.2,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Aug,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
