Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Feb 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28,Max Avg Min 95 83.3 70 82 77.1 68 91 78.0 64 97 82.6 70 99 85.0 70 95 84.6 75 97 83.8 73 91 82.3 75 93 80.4 72 86 76.5 66 91 80.1 68 91 81.8 72 88 80.8 73 90 81.2 72 95 81.0 68 91 79.8 64 77 69.5 63 73 65.8 57 81 68.6 54 81 70.7 61 86 72.3 0 91 78.3 66 90 79.7 66 81 73.8 68 77 68.7 61 82 68.7 0 91 76.0 61 93 79.5 66,Max Avg Min 66 62.6 57 54 47.5 45 55 47.9 41 61 56.4 52 64 57.8 50 66 58.1 54 68 60.6 50 63 56.4 50 66 58.6 50 61 58.3 54 61 54.7 48 59 53.6 48 57 52.8 50 59 52.5 45 63 56.1 50 63 58.3 55 61 38.3 0 41 22.5 0 46 39.2 34 54 50.5 43 55 50.4 0 61 55.5 52 63 59.5 55 55 41.5 0 46 43.0 37 50 41.7 0 57 50.0 46 61 56.1 54,Max Avg Min 78 52.5 28 53 35.7 30 56 37.5 18 64 43.0 23 73 42.6 19 73 42.3 25 78 49.5 20 61 42.6 24 69 49.5 26 78 55.5 33 78 44.0 26 64 39.9 23 50 38.8 27 57 39.5 21 68 44.4 24 83 50.3 31 57 34.4 23 51 32.6 20 63 36.6 21 68 50.3 32 60 43.8 0 73 47.0 26 83 52.3 33 50 34.2 23 52 39.8 28 59 36.9 0 63 42.6 23 64 46.4 26,Max Avg Min 16 5.3 0 14 5.2 0 10 4.0 0 9 4.3 0 8 3.2 0 12 5.0 0 8 3.5 0 8 4.3 0 12 5.3 0 12 4.1 0 10 4.5 0 12 5.2 0 12 7.0 0 13 4.7 0 12 4.2 0 12 5.1 0 14 8.9 0 13 3.0 0 8 4.0 0 9 3.8 0 9 4.3 0 8 3.4 0 15 4.3 0 14 6.8 0 9 5.0 0 8 2.5 0 8 3.3 0 8 3.0 0,Max Avg Min 27.4 27.4 27.3 27.7 27.6 27.5 27.7 26.4 0.0 27.5 27.4 27.3 27.5 27.4 27.3 27.6 27.5 27.4 27.6 27.5 27.3 27.4 27.4 27.3 27.4 27.4 27.3 27.5 27.4 27.4 27.5 27.4 27.3 27.4 27.3 27.2 27.5 27.4 27.3 27.5 27.4 27.4 27.5 26.2 0.0 27.4 27.3 27.2 27.7 27.5 27.3 27.8 27.7 27.6 27.6 27.6 27.5 27.6 27.6 27.5 27.6 26.4 0.0 27.5 27.4 27.3 27.4 27.4 27.3 27.6 27.5 27.4 27.7 27.6 27.5 27.6 27.6 27.5 27.5 27.4 27.3 27.4 27.3 27.2,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Feb,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
