Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Apr 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,Max Avg Min 63 58.1 55 70 60.6 54 73 62.2 52 63 58.5 55 66 56.9 48 64 55.3 46 70 60.3 50 73 63.5 57 72 63.0 57 70 60.1 50 72 60.6 54 66 58.9 50 66 57.9 45 82 67.3 52 72 64.0 57 72 61.5 54 66 60.5 52 66 62.0 57 59 57.1 55 61 59.1 57 63 58.7 55 64 58.5 54 70 60.1 52 68 57.9 45 73 61.9 50 75 62.4 54 68 61.1 54 70 61.7 52 66 60.2 52 66 60.9 54,Max Avg Min 55 54.0 52 59 54.6 50 55 51.9 39 54 45.8 43 50 46.8 39 46 40.4 36 43 37.7 32 52 47.5 43 52 40.8 34 43 39.3 32 50 40.5 36 48 40.5 30 55 45.8 37 48 42.2 37 59 51.9 43 57 53.1 43 55 52.9 50 52 48.7 45 57 54.5 52 57 54.2 52 55 50.6 46 54 51.5 48 55 50.5 37 54 45.4 39 57 51.2 43 54 44.8 41 55 51.3 43 54 47.0 39 55 51.8 45 57 54.4 52,Max Avg Min 100 85.9 68 100 81.3 60 94 71.3 42 82 62.8 52 93 70.9 42 81 58.7 34 71 45.6 25 77 57.3 38 82 45.8 27 71 48.1 25 72 49.0 29 72 52.1 28 88 65.6 39 71 43.2 20 88 66.6 43 100 76.0 35 94 76.3 56 82 62.7 52 100 90.3 77 94 84.5 72 94 75.3 63 94 77.6 59 94 72.4 40 88 64.1 45 94 71.3 41 82 54.0 29 94 71.5 49 94 62.9 33 88 74.6 63 94 80.1 64,Max Avg Min 13 5.2 0 14 5.9 0 15 7.0 0 15 7.5 0 23 6.4 0 21 8.4 0 28 13.9 2 15 6.3 0 24 12.8 5 23 12.1 3 16 10.3 0 24 9.6 0 13 5.2 0 18 9.5 0 12 6.6 0 17 9.2 1 21 11.0 1 23 7.2 0 13 6.4 0 35 18.4 7 32 10.0 2 23 5.8 0 16 7.0 0 15 7.6 0 16 5.6 0 16 8.9 0 10 5.5 0 8 4.3 0 10 5.2 0 12 4.2 0,Max Avg Min 29.9 29.8 29.7 29.9 29.8 29.7 29.8 29.5 29.4 29.5 29.5 29.4 29.5 29.4 29.4 29.6 29.5 29.5 29.8 29.7 29.6 29.8 29.8 29.7 29.8 29.8 29.7 29.8 29.8 29.7 29.9 29.8 29.8 29.9 29.9 29.8 29.9 29.9 29.9 29.9 29.8 29.8 29.9 29.8 29.8 29.9 29.9 29.8 29.9 29.9 29.8 29.8 29.7 29.6 29.8 29.8 29.8 29.8 29.7 29.6 29.7 29.6 29.4 29.5 29.4 29.4 29.5 29.4 29.3 29.7 29.7 29.6 29.9 29.8 29.7 30.1 30.0 29.9 30.1 30.1 30.1 30.1 30.0 29.9 30.0 29.9 29.9 29.9 29.9 29.9,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Apr,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
Max,Avg,Min,,,,
63,58.1,55,,,,
70,60.6,54,,,,
73,62.2,52,,,,
63,58.5,55,,,,
66,56.9,48,,,,
64,55.3,46,,,,
70,60.3,50,,,,
73,63.5,57,,,,
72,63.0,57,,,,
70,60.1,50,,,,
72,60.6,54,,,,
66,58.9,50,,,,
66,57.9,45,,,,
82,67.3,52,,,,
72,64.0,57,,,,
72,61.5,54,,,,
66,60.5,52,,,,
66,62.0,57,,,,
59,57.1,55,,,,
61,59.1,57,,,,
63,58.7,55,,,,
64,58.5,54,,,,
70,60.1,52,,,,
68,57.9,45,,,,
73,61.9,50,,,,
75,62.4,54,,,,
68,61.1,54,,,,
70,61.7,52,,,,
66,60.2,52,,,,
66,60.9,54,,,,
Max,Avg,Min,,,,
55,54.0,52,,,,
59,54.6,50,,,,
55,51.9,39,,,,
54,45.8,43,,,,
50,46.8,39,,,,
46,40.4,36,,,,
43,37.7,32,,,,
52,47.5,43,,,,
52,40.8,34,,,,
43,39.3,32,,,,
50,40.5,36,,,,
48,40.5,30,,,,
55,45.8,37,,,,
48,42.2,37,,,,
59,51.9,43,,,,
57,53.1,43,,,,
55,52.9,50,,,,
52,48.7,45,,,,
57,54.5,52,,,,
57,54.2,52,,,,
55,50.6,46,,,,
54,51.5,48,,,,
55,50.5,37,,,,
54,45.4,39,,,,
57,51.2,43,,,,
54,44.8,41,,,,
55,51.3,43,,,,
54,47.0,39,,,,
55,51.8,45,,,,
57,54.4,52,,,,
Max,Avg,Min,,,,
100,85.9,68,,,,
100,81.3,60,,,,
94,71.3,42,,,,
82,62.8,52,,,,
93,70.9,42,,,,
81,58.7,34,,,,
71,45.6,25,,,,
77,57.3,38,,,,
82,45.8,27,,,,
71,48.1,25,,,,
72,49.0,29,,,,
72,52.1,28,,,,
88,65.6,39,,,,
71,43.2,20,,,,
88,66.6,43,,,,
100,76.0,35,,,,
94,76.3,56,,,,
82,62.7,52,,,,
100,90.3,77,,,,
94,84.5,72,,,,
94,75.3,63,,,,
94,77.6,59,,,,
94,72.4,40,,,,
88,64.1,45,,,,
94,71.3,41,,,,
82,54.0,29,,,,
94,71.5,49,,,,
94,62.9,33,,,,
88,74.6,63,,,,
94,80.1,64,,,,
Max,Avg,Min,,,,
13,5.2,0,,,,
14,5.9,0,,,,
15,7.0,0,,,,
15,7.5,0,,,,
23,6.4,0,,,,
21,8.4,0,,,,
28,13.9,2,,,,
15,6.3,0,,,,
24,12.8,5,,,,
23,12.1,3,,,,
16,10.3,0,,,,
24,9.6,0,,,,
13,5.2,0,,,,
18,9.5,0,,,,
12,6.6,0,,,,
17,9.2,1,,,,
21,11.0,1,,,,
23,7.2,0,,,,
13,6.4,0,,,,
35,18.4,7,,,,
32,10.0,2,,,,
23,5.8,0,,,,
16,7.0,0,,,,
15,7.6,0,,,,
16,5.6,0,,,,
16,8.9,0,,,,
10,5.5,0,,,,
8,4.3,0,,,,
10,5.2,0,,,,
12,4.2,0,,,,
Max,Avg,Min,,,,
29.9,29.8,29.7,,,,
29.9,29.8,29.7,,,,
29.8,29.5,29.4,,,,
29.5,29.5,29.4,,,,
29.5,29.4,29.4,,,,
29.6,29.5,29.5,,,,
29.8,29.7,29.6,,,,
29.8,29.8,29.7,,,,
29.8,29.8,29.7,,,,
29.8,29.8,29.7,,,,
29.9,29.8,29.8,,,,
29.9,29.9,29.8,,,,
29.9,29.9,29.9,,,,
29.9,29.8,29.8,,,,
29.9,29.8,29.8,,,,
29.9,29.9,29.8,,,,
29.9,29.9,29.8,,,,
29.8,29.7,29.6,,,,
29.8,29.8,29.8,,,,
29.8,29.7,29.6,,,,
29.7,29.6,29.4,,,,
29.5,29.4,29.4,,,,
29.5,29.4,29.3,,,,
29.7,29.7,29.6,,,,
29.9,29.8,29.7,,,,
30.1,30.0,29.9,,,,
30.1,30.1,30.1,,,,
30.1,30.0,29.9,,,,
30.0,29.9,29.9,,,,
29.9,29.9,29.9,,,,
Total,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
