Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Oct 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,Max Avg Min 75 69.7 64 77 70.1 64 73 70.3 64 75 72.4 68 72 69.1 64 72 67.1 63 73 65.7 59 73 67.2 63 72 64.3 57 68 61.4 55 70 63.5 57 68 63.5 57 72 63.3 55 68 61.2 55 68 60.2 55 72 62.1 55 68 62.5 57 68 62.1 55 68 63.8 55 68 67.4 64 70 68.0 66 72 65.1 61 64 61.5 59 68 61.7 57 66 59.0 54 66 57.9 52 68 60.4 54 68 61.1 57 66 59.5 55 59 55.4 54 57 54.9 54,Max Avg Min 59 57.0 55 64 59.0 55 70 67.1 61 73 69.3 61 66 61.7 57 61 50.8 36 45 40.6 37 50 46.6 45 46 43.4 39 43 40.9 39 52 45.5 41 59 51.8 45 48 44.1 37 43 41.0 37 45 40.0 37 48 43.1 39 54 47.4 43 57 51.1 46 61 54.8 50 63 59.6 57 66 63.1 59 63 56.6 54 54 52.5 50 52 47.1 43 43 40.1 36 45 41.3 39 45 41.9 41 45 41.7 37 46 44.4 43 52 47.4 43 52 48.4 48,Max Avg Min 78 65.0 50 83 68.0 50 100 89.5 73 100 88.8 73 100 78.3 60 94 58.8 32 52 40.6 29 52 47.7 43 59 47.1 37 55 47.1 37 68 52.7 35 78 65.9 59 77 52.1 29 59 48.0 35 55 47.6 37 59 50.2 38 72 58.1 40 82 67.8 52 83 72.9 56 88 76.1 68 94 84.5 73 88 75.0 57 82 71.8 64 77 59.6 43 58 49.7 39 67 54.6 42 62 50.7 40 55 49.2 40 63 56.9 46 94 74.6 59 94 79.2 72,Max Avg Min 16 13.5 8 16 7.7 1 23 14.1 3 33 24.6 14 24 15.4 3 20 12.0 3 16 9.7 2 13 8.3 2 17 10.0 5 16 11.0 2 17 8.9 1 12 5.7 1 20 11.8 2 15 8.6 1 16 10.4 5 20 12.3 1 16 9.0 2 8 4.4 1 8 4.1 1 21 15.1 7 24 14.0 6 17 9.1 2 22 16.1 7 21 15.6 10 20 14.6 6 22 16.1 10 21 17.1 13 21 15.6 9 18 14.8 10 21 15.9 13 22 18.0 14,Max Avg Min 30.2 30.1 30.1 30.1 30.0 30.0 30.0 30.0 30.0 30.0 29.9 29.8 29.9 29.9 29.8 29.9 29.9 29.8 30.0 29.9 29.9 30.1 30.1 30.0 30.2 30.1 30.1 30.2 30.1 30.0 30.1 30.1 30.0 30.1 29.9 29.9 30.1 30.0 29.9 30.2 30.2 30.1 30.2 30.0 30.0 30.1 30.0 30.0 30.2 30.1 30.1 30.3 30.2 30.1 30.4 30.3 30.3 30.3 30.2 30.1 30.1 29.9 29.9 30.1 29.9 29.9 30.2 30.1 30.0 30.3 30.2 30.2 30.2 30.1 30.1 30.2 30.1 30.1 30.2 29.6 0.0 30.2 30.1 30.1 30.1 30.0 30.0 30.1 30.0 30.0 30.1 30.0 29.9,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Oct,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
Max,Avg,Min,,,,
75,69.7,64,,,,
77,70.1,64,,,,
73,70.3,64,,,,
75,72.4,68,,,,
72,69.1,64,,,,
72,67.1,63,,,,
73,65.7,59,,,,
73,67.2,63,,,,
72,64.3,57,,,,
68,61.4,55,,,,
70,63.5,57,,,,
68,63.5,57,,,,
72,63.3,55,,,,
68,61.2,55,,,,
68,60.2,55,,,,
72,62.1,55,,,,
68,62.5,57,,,,
68,62.1,55,,,,
68,63.8,55,,,,
68,67.4,64,,,,
70,68.0,66,,,,
72,65.1,61,,,,
64,61.5,59,,,,
68,61.7,57,,,,
66,59.0,54,,,,
66,57.9,52,,,,
68,60.4,54,,,,
68,61.1,57,,,,
66,59.5,55,,,,
59,55.4,54,,,,
57,54.9,54,,,,
Max,Avg,Min,,,,
59,57.0,55,,,,
64,59.0,55,,,,
70,67.1,61,,,,
73,69.3,61,,,,
66,61.7,57,,,,
61,50.8,36,,,,
45,40.6,37,,,,
50,46.6,45,,,,
46,43.4,39,,,,
43,40.9,39,,,,
52,45.5,41,,,,
59,51.8,45,,,,
48,44.1,37,,,,
43,41.0,37,,,,
45,40.0,37,,,,
48,43.1,39,,,,
54,47.4,43,,,,
57,51.1,46,,,,
61,54.8,50,,,,
63,59.6,57,,,,
66,63.1,59,,,,
63,56.6,54,,,,
54,52.5,50,,,,
52,47.1,43,,,,
43,40.1,36,,,,
45,41.3,39,,,,
45,41.9,41,,,,
45,41.7,37,,,,
46,44.4,43,,,,
52,47.4,43,,,,
52,48.4,48,,,,
Max,Avg,Min,,,,
78,65.0,50,,,,
83,68.0,50,,,,
100,89.5,73,,,,
100,88.8,73,,,,
100,78.3,60,,,,
94,58.8,32,,,,
52,40.6,29,,,,
52,47.7,43,,,,
59,47.1,37,,,,
55,47.1,37,,,,
68,52.7,35,,,,
78,65.9,59,,,,
77,52.1,29,,,,
59,48.0,35,,,,
55,47.6,37,,,,
59,50.2,38,,,,
72,58.1,40,,,,
82,67.8,52,,,,
83,72.9,56,,,,
88,76.1,68,,,,
94,84.5,73,,,,
88,75.0,57,,,,
82,71.8,64,,,,
77,59.6,43,,,,
58,49.7,39,,,,
67,54.6,42,,,,
62,50.7,40,,,,
55,49.2,40,,,,
63,56.9,46,,,,
94,74.6,59,,,,
94,79.2,72,,,,
Max,Avg,Min,,,,
16,13.5,8,,,,
16,7.7,1,,,,
23,14.1,3,,,,
33,24.6,14,,,,
24,15.4,3,,,,
20,12.0,3,,,,
16,9.7,2,,,,
13,8.3,2,,,,
17,10.0,5,,,,
16,11.0,2,,,,
17,8.9,1,,,,
12,5.7,1,,,,
20,11.8,2,,,,
15,8.6,1,,,,
16,10.4,5,,,,
20,12.3,1,,,,
16,9.0,2,,,,
8,4.4,1,,,,
8,4.1,1,,,,
21,15.1,7,,,,
24,14.0,6,,,,
17,9.1,2,,,,
22,16.1,7,,,,
21,15.6,10,,,,
20,14.6,6,,,,
22,16.1,10,,,,
21,17.1,13,,,,
21,15.6,9,,,,
18,14.8,10,,,,
21,15.9,13,,,,
22,18.0,14,,,,
Max,Avg,Min,,,,
30.2,30.1,30.1,,,,
30.1,30.0,30.0,,,,
30.0,30.0,30.0,,,,
30.0,29.9,29.8,,,,
29.9,29.9,29.8,,,,
29.9,29.9,29.8,,,,
30.0,29.9,29.9,,,,
30.1,30.1,30.0,,,,
30.2,30.1,30.1,,,,
30.2,30.1,30.0,,,,
30.1,30.1,30.0,,,,
30.1,29.9,29.9,,,,
30.1,30.0,29.9,,,,
30.2,30.2,30.1,,,,
30.2,30.0,30.0,,,,
30.1,30.0,30.0,,,,
30.2,30.1,30.1,,,,
30.3,30.2,30.1,,,,
30.4,30.3,30.3,,,,
30.3,30.2,30.1,,,,
30.1,29.9,29.9,,,,
30.1,29.9,29.9,,,,
30.2,30.1,30.0,,,,
30.3,30.2,30.2,,,,
30.2,30.1,30.1,,,,
30.2,30.1,30.1,,,,
30.2,29.6,0.0,,,,
30.2,30.1,30.1,,,,
30.1,30.0,30.0,,,,
30.1,30.0,30.0,,,,
30.1,30.0,29.9,,,,
Total,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
