Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Jan 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,Max Avg Min 39 31.5 27 39 32.0 28 46 42.9 39 45 40.4 34 43 39.6 32 45 41.3 36 46 42.5 34 50 47.0 45 52 49.6 45 52 46.0 39 43 39.8 34 46 43.3 41 46 43.0 37 54 48.7 41 57 52.6 43 48 42.6 39 52 45.7 39 45 40.4 36 46 37.4 28 45 40.0 32 41 39.5 37 46 43.6 41 45 41.0 34 37 35.3 34 37 36.6 34 37 35.4 32 46 43.3 37 45 40.4 34 41 38.3 36 48 44.3 39 54 49.9 46,Max Avg Min 36 30.4 27 37 30.4 27 46 40.6 36 41 35.2 30 41 35.3 30 41 37.9 32 41 38.2 30 50 44.5 37 52 48.2 43 52 42.2 34 36 35.2 32 45 39.3 36 43 39.2 37 46 43.3 37 45 42.5 39 41 38.3 37 45 40.1 37 39 35.8 34 37 33.1 27 41 37.0 30 39 36.3 34 41 39.2 37 39 36.2 32 36 34.4 32 37 35.4 34 36 33.2 30 43 40.6 34 41 37.0 32 39 36.0 34 46 41.1 36 50 43.9 41,Max Avg Min 100 95.5 87 100 94.2 81 100 91.8 87 93 81.8 70 93 85.2 70 100 88.4 76 100 85.5 76 100 91.3 76 100 94.9 88 100 86.1 76 100 82.9 70 93 85.7 76 100 87.4 76 93 81.2 71 93 69.4 55 93 85.7 76 93 81.4 62 93 82.7 66 100 85.3 61 100 90.0 76 93 86.9 81 100 85.9 76 100 83.8 70 100 96.8 93 100 94.1 87 100 91.8 87 93 89.9 81 100 88.2 81 93 90.1 87 100 87.7 76 93 79.7 71,Max Avg Min 10 4.8 1 17 10.3 5 20 13.1 7 24 12.7 2 13 8.4 2 14 10.0 7 20 11.8 6 20 11.2 2 18 11.4 2 21 13.5 7 23 13.9 5 21 17.7 13 16 10.8 7 25 19.1 13 28 19.9 7 13 10.4 5 15 11.8 6 20 12.5 6 15 6.3 1 12 6.8 1 14 9.9 7 16 6.6 0 10 5.8 1 13 8.3 3 12 8.4 6 14 9.8 5 18 10.9 5 22 14.7 8 18 13.0 6 21 16.3 12 23 15.8 10,Max Avg Min 30.5 30.4 30.3 30.3 30.2 30.0 30.1 29.9 29.8 30.4 30.1 29.9 30.4 30.4 30.3 30.3 30.2 30.0 30.2 30.1 30.0 30.1 30.0 30.0 30.1 29.8 29.7 30.2 29.9 29.7 30.3 30.2 30.1 30.1 29.9 29.9 30.0 29.9 29.7 29.7 29.6 29.5 30.0 29.7 29.6 30.2 30.2 30.0 30.1 29.9 29.8 30.2 30.1 29.9 30.7 30.5 30.2 30.8 30.8 30.7 30.7 30.6 30.5 30.5 29.7 0.0 30.5 30.4 30.2 30.2 30.1 30.1 30.1 30.1 30.0 30.0 29.9 29.8 29.8 29.6 29.4 29.3 29.2 29.1 29.6 29.5 29.3 29.6 29.5 29.3 29.6 29.5 29.3,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Jan,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
