Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
May 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,Max Avg Min 82 69.9 57 82 69.7 50 86 71.5 52 90 74.4 55 93 75.8 52 84 74.1 64 81 70.3 61 81 69.1 59 82 69.5 55 82 69.6 57 82 68.7 57 84 69.1 48 77 69.3 63 68 60.3 52 72 61.3 52 81 67.2 57 86 72.6 57 86 74.1 63 90 72.2 57 91 75.2 57 79 71.2 66 72 62.8 55 75 61.7 52 79 64.6 50 84 64.9 48 86 72.2 57 86 71.8 55 88 72.7 59 88 70.8 55 88 72.0 57 88 76.4 66,Max Avg Min 28 23.6 16 37 31.4 23 46 41.8 36 46 42.6 37 45 39.5 34 39 29.2 21 34 26.8 19 32 26.4 18 30 23.4 12 30 23.6 18 32 25.9 14 41 31.5 21 43 38.9 28 27 9.7 -6 18 11.4 5 48 32.1 14 57 52.1 45 57 54.4 48 55 51.1 48 54 48.9 41 50 45.1 41 43 29.4 16 37 29.7 19 43 35.1 28 52 43.2 36 54 50.9 46 54 49.8 46 57 51.8 48 54 50.0 48 59 54.3 50 59 55.7 52,Max Avg Min 29 18.4 9 50 26.0 11 62 36.1 20 63 35.0 16 67 33.1 12 29 19.7 14 36 21.4 11 36 21.7 10 38 19.8 8 31 18.8 9 36 22.1 8 50 27.2 12 45 33.7 25 28 15.2 5 22 14.9 7 59 29.2 16 68 49.9 33 68 52.0 29 77 51.1 25 77 43.5 22 52 39.8 26 51 31.8 12 51 32.3 12 58 35.3 19 71 48.7 22 77 49.5 27 77 48.5 27 72 49.8 29 77 51.2 25 77 56.3 35 73 50.7 31,Max Avg Min 20 11.8 6 14 8.1 0 13 6.9 0 13 4.9 0 22 6.5 0 20 15.7 9 20 15.0 8 18 12.3 7 15 9.2 1 15 10.2 7 16 9.1 0 15 8.0 0 24 18.2 9 24 18.3 13 22 13.7 9 18 11.1 3 14 7.1 0 14 6.0 0 8 2.8 0 21 6.4 0 22 14.4 8 20 13.7 6 16 9.4 1 17 7.2 0 12 3.3 0 16 6.8 0 15 6.1 0 16 5.8 0 15 4.8 0 14 5.0 0 17 6.7 0,Max Avg Min 28.9 28.8 28.8 28.9 28.8 28.8 28.9 28.8 28.7 28.8 28.8 28.7 28.8 28.7 28.6 28.9 28.8 28.8 29.0 28.9 28.9 28.9 28.9 28.8 28.9 28.9 28.8 28.9 28.9 28.8 29.0 28.9 28.9 28.9 28.9 28.8 29.0 28.9 28.9 29.1 29.0 29.0 29.1 29.0 28.9 29.0 28.9 28.8 28.9 28.9 28.8 28.9 28.9 28.8 28.9 28.8 28.8 28.9 28.8 28.8 29.0 28.9 28.9 29.1 29.0 28.9 29.0 28.9 28.9 28.9 28.9 28.9 29.0 28.9 28.9 29.0 28.9 28.8 28.9 28.9 28.8 28.9 28.9 28.8 28.9 28.9 28.8 28.9 28.8 28.8 28.9 28.8 28.8,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
May,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
Max,Avg,Min,,,,
82,69.9,57,,,,
82,69.7,50,,,,
86,71.5,52,,,,
90,74.4,55,,,,
93,75.8,52,,,,
84,74.1,64,,,,
81,70.3,61,,,,
81,69.1,59,,,,
82,69.5,55,,,,
82,69.6,57,,,,
82,68.7,57,,,,
84,69.1,48,,,,
77,69.3,63,,,,
68,60.3,52,,,,
72,61.3,52,,,,
81,67.2,57,,,,
86,72.6,57,,,,
86,74.1,63,,,,
90,72.2,57,,,,
91,75.2,57,,,,
79,71.2,66,,,,
72,62.8,55,,,,
75,61.7,52,,,,
79,64.6,50,,,,
84,64.9,48,,,,
86,72.2,57,,,,
86,71.8,55,,,,
88,72.7,59,,,,
88,70.8,55,,,,
88,72.0,57,,,,
88,76.4,66,,,,
Max,Avg,Min,,,,
28,23.6,16,,,,
37,31.4,23,,,,
46,41.8,36,,,,
46,42.6,37,,,,
45,39.5,34,,,,
39,29.2,21,,,,
34,26.8,19,,,,
32,26.4,18,,,,
30,23.4,12,,,,
30,23.6,18,,,,
32,25.9,14,,,,
41,31.5,21,,,,
43,38.9,28,,,,
27,9.7,-6,,,,
18,11.4,5,,,,
48,32.1,14,,,,
57,52.1,45,,,,
57,54.4,48,,,,
55,51.1,48,,,,
54,48.9,41,,,,
50,45.1,41,,,,
43,29.4,16,,,,
37,29.7,19,,,,
43,35.1,28,,,,
52,43.2,36,,,,
54,50.9,46,,,,
54,49.8,46,,,,
57,51.8,48,,,,
54,50.0,48,,,,
59,54.3,50,,,,
59,55.7,52,,,,
Max,Avg,Min,,,,
29,18.4,9,,,,
50,26.0,11,,,,
62,36.1,20,,,,
63,35.0,16,,,,
67,33.1,12,,,,
29,19.7,14,,,,
36,21.4,11,,,,
36,21.7,10,,,,
38,19.8,8,,,,
31,18.8,9,,,,
36,22.1,8,,,,
50,27.2,12,,,,
45,33.7,25,,,,
28,15.2,5,,,,
22,14.9,7,,,,
59,29.2,16,,,,
68,49.9,33,,,,
68,52.0,29,,,,
77,51.1,25,,,,
77,43.5,22,,,,
52,39.8,26,,,,
51,31.8,12,,,,
51,32.3,12,,,,
58,35.3,19,,,,
71,48.7,22,,,,
77,49.5,27,,,,
77,48.5,27,,,,
72,49.8,29,,,,
77,51.2,25,,,,
77,56.3,35,,,,
73,50.7,31,,,,
Max,Avg,Min,,,,
20,11.8,6,,,,
14,8.1,0,,,,
13,6.9,0,,,,
13,4.9,0,,,,
22,6.5,0,,,,
20,15.7,9,,,,
20,15.0,8,,,,
18,12.3,7,,,,
15,9.2,1,,,,
