Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Aug 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,Max Avg Min 73 67.0 61 86 79.2 73 97 80.2 68 93 79.6 70 91 79.2 70 93 80.7 70 81 74.5 68 75 69.6 64 72 65.5 61 72 65.7 57 75 65.6 55 77 69.7 59 73 68.4 64 72 67.7 63 79 68.4 59 79 68.5 61 73 65.8 59 73 65.3 55 77 66.5 57 79 68.4 61 82 72.8 64 86 74.6 64 75 69.7 64 68 64.9 61 68 62.9 59 72 63.2 52 75 68.9 64 91 72.2 57 70 66.2 63 73 64.3 55 70 63.7 55,Max Avg Min 61 56.4 50 66 63.6 61 66 61.3 55 66 63.9 61 66 63.2 57 66 61.2 55 72 62.8 59 63 57.3 54 59 55.9 52 57 54.5 52 61 55.9 52 66 59.3 52 63 62.1 59 63 60.5 57 66 61.9 57 63 60.3 55 61 55.3 50 59 53.3 48 61 57.4 54 66 63.1 59 66 63.4 61 66 62.8 61 64 62.3 61 61 53.8 48 57 54.7 52 61 56.2 50 66 61.8 55 66 60.0 52 68 57.9 52 59 54.9 50 57 53.8 50,Max Avg Min 83 69.9 46 73 59.2 45 83 55.7 25 78 60.1 34 78 59.1 31 73 53.0 28 83 67.3 51 88 65.9 47 94 72.5 57 88 68.4 53 94 72.2 47 88 70.0 54 94 79.8 65 94 78.2 60 100 80.9 54 88 75.3 54 88 70.1 44 82 66.2 47 94 73.9 50 100 84.3 61 94 74.0 48 88 68.0 45 88 77.3 65 88 68.2 49 82 75.1 64 100 78.9 60 100 78.9 57 88 67.4 38 94 75.1 53 94 73.4 47 88 70.8 53,Max Avg Min 16 9.9 5 18 11.5 6 17 9.4 3 17 10.2 5 16 9.3 2 14 6.5 0 22 12.7 0 15 9.9 5 20 14.7 7 14 7.7 0 15 7.6 3 14 8.7 2 15 10.7 6 20 11.7 3 16 8.1 0 25 12.1 2 23 15.7 10 20 10.4 3 17 9.7 2 15 7.5 2 17 8.1 3 18 9.2 3 23 11.4 5 23 14.6 7 12 6.9 5 13 6.6 0 15 9.6 5 17 7.5 3 22 16.0 7 16 7.4 0 17 8.2 0,Max Avg Min 30.1 30.1 30.1 30.1 30.0 30.0 30.0 30.0 30.0 30.1 30.0 30.0 30.0 30.0 29.9 29.9 29.9 29.8 29.9 29.8 29.7 29.9 29.9 29.8 30.2 29.9 29.7 30.2 30.2 30.2 30.2 30.1 30.0 30.0 29.9 29.8 29.9 29.9 29.8 30.1 30.1 29.9 30.1 30.1 30.0 30.0 29.9 29.9 30.2 30.1 30.0 30.2 30.2 30.1 30.2 30.1 30.1 30.1 30.1 30.1 30.1 30.0 29.9 30.0 29.9 29.9 30.0 30.0 29.9 30.1 30.1 30.0 30.0 30.0 30.0 30.0 29.9 29.9 30.0 29.9 29.9 30.0 29.9 29.8 30.2 30.0 29.8 30.2 30.1 30.1 30.1 30.1 30.1,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Aug,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
