Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Apr 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,Max Avg Min 52 40.4 27 55 42.9 27 54 42.4 32 59 46.5 30 68 53.8 39 70 57.7 45 73 60.1 46 73 59.9 45 73 59.7 46 75 61.4 46 75 60.7 45 75 60.5 52 66 53.7 39 55 43.1 32 66 49.6 32 73 58.9 41 75 61.7 48 70 61.9 54 72 59.3 48 68 58.0 45 70 59.4 48 73 59.9 48 73 58.9 43 73 60.8 46 68 57.2 46 70 57.5 43 72 59.8 45 63 57.1 52 63 55.6 52 57 52.2 46,Max Avg Min 25 21.1 18 30 25.0 19 41 33.6 27 36 32.2 25 37 34.3 30 41 35.8 32 43 38.6 34 46 40.5 36 48 40.9 36 50 43.9 39 48 42.2 37 50 43.5 39 48 39.3 27 28 26.1 23 32 27.0 23 46 38.9 28 48 45.3 41 55 48.6 46 52 48.0 43 43 36.3 30 37 32.5 28 36 33.0 30 43 36.1 32 45 39.8 36 43 36.5 28 41 37.6 34 45 40.3 36 55 49.7 45 52 46.8 43 50 47.1 43,Max Avg Min 74 49.1 28 75 51.2 31 87 72.4 54 87 60.3 36 75 50.1 28 71 46.3 25 71 48.4 23 81 51.7 25 76 52.8 25 82 54.8 31 81 53.7 25 72 55.6 27 71 58.7 45 75 52.9 33 75 46.1 19 66 49.2 31 82 57.6 31 77 62.6 49 100 69.1 41 71 46.9 30 50 37.3 24 54 37.6 22 70 45.6 22 76 48.5 29 76 48.8 23 76 50.2 28 81 51.6 31 100 77.7 52 88 74.0 52 94 84.0 72,Max Avg Min 12 7.7 3 16 6.0 0 12 6.5 1 13 8.1 0 15 10.9 2 20 10.6 2 14 7.3 1 14 4.7 0 10 4.0 0 12 5.3 0 14 3.5 0 17 5.0 0 22 11.0 2 16 10.7 6 17 11.1 3 13 6.9 0 12 6.2 1 14 8.3 1 17 8.7 0 24 16.8 2 25 17.3 10 20 13.3 5 12 4.5 1 17 9.1 1 13 6.5 0 7 4.2 1 12 7.2 1 20 12.2 3 18 13.3 7 24 15.6 9,Max Avg Min 29.3 29.2 29.1 29.1 29.0 28.9 29.2 29.1 29.0 29.3 29.3 29.2 29.3 29.2 29.1 29.4 29.2 29.1 29.4 29.4 29.4 29.4 29.3 29.3 29.3 29.3 29.3 29.3 29.3 29.2 29.3 29.3 29.2 29.2 29.1 29.0 29.3 29.1 29.0 29.3 29.3 29.3 29.3 29.2 29.2 29.2 29.1 29.1 29.1 29.0 29.0 29.1 29.1 29.0 29.1 29.0 29.0 29.0 28.9 28.9 29.0 28.9 28.9 29.1 29.0 29.0 29.2 29.1 29.1 29.1 29.0 28.9 29.0 28.9 28.9 28.9 28.9 28.9 28.9 28.9 28.8 28.8 28.8 28.8 28.9 28.9 28.8 28.8 28.8 28.7,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Apr,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
Max,Avg,Min,,,,
52,40.4,27,,,,
55,42.9,27,,,,
54,42.4,32,,,,
59,46.5,30,,,,
68,53.8,39,,,,
70,57.7,45,,,,
73,60.1,46,,,,
73,59.9,45,,,,
73,59.7,46,,,,
75,61.4,46,,,,
75,60.7,45,,,,
75,60.5,52,,,,
66,53.7,39,,,,
55,43.1,32,,,,
66,49.6,32,,,,
73,58.9,41,,,,
75,61.7,48,,,,
70,61.9,54,,,,
72,59.3,48,,,,
68,58.0,45,,,,
70,59.4,48,,,,
73,59.9,48,,,,
73,58.9,43,,,,
73,60.8,46,,,,
