Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Jun 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,Max Avg Min 74 65.3 61 76 64.2 59 69 63.2 59 67 63.0 60 73 64.2 60 67 63.3 61 65 61.8 59 72 65.3 60 75 66.6 61 75 65.9 57 81 69.0 58 83 70.0 59 81 63.5 0 87 73.1 63 86 68.3 0 73 67.6 64 72 64.9 62 72 65.4 63 78 68.2 63 72 66.0 63 77 67.1 62 76 67.5 61 80 68.4 62 75 66.8 61 80 68.8 61 81 69.3 62 72 66.2 62 73 67.4 64 69 66.0 64 73 66.7 64,Max Avg Min 59 56.8 56 59 56.6 55 57 55.6 54 57 55.1 54 56 54.3 52 56 52.6 51 56 53.4 50 55 50.8 48 55 49.5 42 52 47.4 37 57 50.1 37 58 52.9 42 59 52.3 0 61 57.9 53 63 54.4 0 63 60.9 59 63 60.8 59 62 60.1 59 62 60.1 58 61 59.1 57 59 57.8 56 59 57.3 56 59 57.6 56 58 56.3 54 59 56.5 53 60 58.8 57 62 60.6 60 62 61.3 60 62 60.8 60 63 60.8 59,Max Avg Min 84 74.6 55 90 77.2 51 90 76.4 65 84 76.0 65 80 70.9 48 80 68.5 57 87 74.3 65 75 60.0 43 78 56.2 36 77 54.0 25 84 55.1 24 87 59.0 24 90 62.4 0 87 61.8 34 90 57.3 0 90 79.4 61 100 87.0 68 93 83.2 66 90 76.3 52 90 79.0 68 87 72.9 52 87 71.2 50 86 69.9 45 87 70.2 50 87 66.1 42 87 70.8 45 93 82.7 66 90 81.2 68 90 83.2 75 90 81.8 66,Max Avg Min 10 5.4 0 10 5.3 0 12 5.7 0 12 5.3 0 10 6.0 3 13 6.8 0 12 6.9 0 14 6.3 0 20 8.5 0 18 7.1 0 13 6.0 0 10 5.3 0 15 6.5 0 17 6.2 0 10 5.2 0 12 6.8 0 12 5.8 0 14 5.6 0 12 6.2 0 12 5.5 0 15 5.7 0 15 8.0 3 15 7.1 0 15 7.0 0 12 5.4 0 9 5.5 0 12 6.3 0 13 6.2 0 12 6.7 0 12 6.2 0,Max Avg Min 29.9 29.9 29.9 29.9 29.8 29.8 29.9 29.8 29.8 29.9 29.9 29.9 29.9 29.9 29.8 29.9 29.9 29.8 29.9 29.9 29.8 30.0 29.9 29.9 30.0 30.0 30.0 30.0 30.0 29.9 29.9 29.9 29.8 29.8 29.8 29.8 29.9 29.8 29.8 29.9 29.8 29.8 29.8 29.8 29.7 29.8 29.8 29.7 29.8 29.8 29.7 29.8 29.7 29.7 29.8 29.7 29.7 29.9 29.8 29.7 29.9 29.9 29.9 29.9 29.9 29.8 29.9 29.9 29.8 30.0 29.9 29.9 29.9 29.9 29.8 29.8 29.8 29.7 29.7 29.7 29.6 29.7 29.7 29.6 29.8 29.8 29.7 29.9 29.8 29.8,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Jun,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
Max,Avg,Min,,,,
74,65.3,61,,,,
76,64.2,59,,,,
69,63.2,59,,,,
67,63.0,60,,,,
73,64.2,60,,,,
67,63.3,61,,,,
65,61.8,59,,,,
72,65.3,60,,,,
75,66.6,61,,,,
75,65.9,57,,,,
