Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Apr 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,Max Avg Min 66 53.3 43 68 56.6 45 75 61.6 48 63 58.2 52 64 54.7 0 70 61.1 54 72 58.8 45 64 57.9 50 64 54.8 46 64 53.5 45 68 55.3 0 68 60.5 54 68 55.2 45 66 57.3 48 70 60.6 50 70 56.8 0 59 53.8 45 64 53.3 41 59 52.7 46 64 55.3 48 64 53.9 43 63 52.6 0 64 53.9 39 64 55.8 48 66 56.0 46 70 61.9 57 68 61.1 55 73 64.6 57 68 63.6 57 73 63.1 54,Max Avg Min 46 42.9 39 46 42.5 37 50 41.9 0 41 31.3 0 39 23.3 0 46 41.6 36 43 39.4 0 41 34.6 0 46 40.7 36 46 43.7 41 52 44.6 0 43 34.9 0 52 35.7 0 52 47.6 43 52 40.8 0 30 25.1 0 43 33.7 0 36 20.1 0 45 28.9 0 50 41.1 0 36 24.4 0 28 23.2 0 46 35.4 0 48 45.7 43 55 48.6 43 57 54.6 52 57 52.0 46 59 50.2 45 50 43.5 39 46 43.5 41,Max Avg Min 93 70.2 40 93 62.3 35 94 58.1 22 51 41.3 29 54 37.1 0 62 48.8 40 87 52.9 25 62 43.7 32 82 60.1 39 87 70.8 45 93 69.3 0 63 41.5 29 88 53.9 35 94 72.3 43 94 54.3 30 50 33.7 0 76 49.3 36 70 44.0 19 82 53.1 27 88 63.9 38 61 41.5 26 46 31.2 0 82 52.5 33 88 70.5 45 87 76.7 49 88 77.3 64 94 73.2 49 78 60.4 43 63 48.5 37 67 49.8 33,Max Avg Min 14 6.6 0 18 7.0 0 24 12.8 0 52 38.9 22 29 15.6 5 31 20.7 2 12 6.6 2 18 11.8 2 20 8.5 2 16 5.7 0 29 9.8 0 40 21.1 9 20 9.5 0 12 6.7 0 36 20.4 0 38 16.0 5 20 9.8 2 16 8.7 2 12 5.6 0 31 17.1 7 26 14.6 5 40 25.3 14 14 6.4 2 16 7.8 2 12 7.0 0 14 6.9 2 24 12.5 2 22 16.2 0 40 26.6 16 26 18.9 12,Max Avg Min 30.1 30.0 29.9 30.0 30.0 29.9 30.0 29.9 29.8 29.9 29.9 29.8 30.1 29.4 0.0 30.0 29.9 29.8 30.1 29.3 0.0 30.3 30.3 30.1 30.4 30.4 30.3 30.4 30.4 30.3 30.3 29.5 0.0 29.9 29.9 29.8 30.0 30.0 29.9 30.1 30.1 30.0 30.1 29.9 29.8 29.9 29.2 0.0 30.0 29.9 29.8 30.0 29.9 29.9 29.9 29.8 29.7 29.7 29.6 29.5 29.5 29.4 29.4 29.7 28.9 0.0 30.1 29.9 29.7 30.2 30.1 30.1 30.2 30.1 30.1 30.1 30.0 29.9 29.9 29.9 29.8 30.0 30.0 29.9 29.9 29.9 29.9 30.0 29.9 29.9,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Apr,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
