Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Feb 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28,Max Avg Min 84 70.7 57 73 67.6 63 77 68.3 59 73 67.6 61 95 75.3 61 81 71.1 64 82 72.9 66 91 73.9 64 75 69.7 61 73 65.3 57 84 71.5 57 88 75.8 68 91 76.0 66 81 71.5 68 79 71.2 66 77 69.3 64 84 71.0 61 77 68.6 59 77 70.2 66 77 69.8 63 82 74.5 66 90 75.0 66 75 67.2 61 68 61.6 54 77 67.0 59 82 68.5 55 75 67.3 63 75 67.8 61,Max Avg Min 61 56.5 46 61 55.0 50 55 52.8 50 59 56.5 55 64 54.2 45 64 61.7 59 61 59.7 57 66 60.5 43 64 60.3 55 59 50.9 45 59 52.6 46 66 61.3 57 68 63.1 61 66 64.9 63 63 62.0 61 63 59.2 55 61 57.3 55 63 58.9 54 63 60.9 59 63 59.6 54 61 58.5 54 64 61.5 59 64 60.5 54 54 48.2 43 52 47.5 37 61 52.0 46 59 58.0 57 63 58.7 54,Max Avg Min 88 64.2 27 83 65.0 46 73 58.5 41 82 69.1 57 88 56.2 19 94 73.2 51 78 64.6 42 94 66.4 18 94 73.9 50 94 63.0 36 68 53.3 33 73 61.6 43 94 67.0 36 94 80.6 61 88 73.1 54 88 70.5 61 88 64.5 39 94 73.0 44 88 72.7 54 94 70.7 56 73 57.5 48 94 65.0 38 94 79.9 53 82 62.8 40 67 51.2 27 88 60.2 28 88 73.5 53 94 74.1 50,Max Avg Min 21 10.2 2 26 16.7 3 26 17.4 7 29 20.3 9 16 9.3 3 16 8.8 1 18 13.1 3 18 8.9 1 28 18.7 6 18 11.3 5 21 12.5 2 21 13.9 2 15 10.8 5 23 13.2 2 24 15.8 10 24 15.6 6 15 8.8 2 15 10.5 2 24 13.9 2 28 16.1 6 23 16.2 7 15 10.0 5 21 11.2 1 29 11.5 2 26 14.4 6 15 8.8 1 24 16.3 10 26 14.8 6,Max Avg Min 29.7 29.6 29.6 29.9 29.8 29.7 29.9 29.8 29.8 29.8 29.8 29.7 29.7 29.6 29.5 29.8 29.8 29.6 29.8 29.7 29.6 29.6 29.5 29.5 29.7 29.6 29.5 29.9 29.8 29.7 29.9 29.8 29.7 29.9 29.8 29.7 29.8 29.8 29.7 29.7 29.7 29.6 29.7 29.7 29.6 29.8 29.8 29.7 29.8 29.7 29.6 29.8 29.7 29.6 29.9 29.8 29.8 29.9 29.8 29.8 29.8 29.8 29.6 29.6 29.6 29.4 29.7 29.6 29.5 30.0 29.8 29.7 30.0 29.9 29.9 29.9 29.8 29.7 29.8 29.8 29.7 29.9 29.8 29.7,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Feb,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
Max,Avg,Min,,,,
84,70.7,57,,,,
73,67.6,63,,,,
77,68.3,59,,,,
73,67.6,61,,,,
95,75.3,61,,,,
81,71.1,64,,,,
82,72.9,66,,,,
91,73.9,64,,,,
75,69.7,61,,,,
73,65.3,57,,,,
84,71.5,57,,,,
88,75.8,68,,,,
91,76.0,66,,,,
81,71.5,68,,,,
79,71.2,66,,,,
77,69.3,64,,,,
84,71.0,61,,,,
77,68.6,59,,,,
77,70.2,66,,,,
77,69.8,63,,,,
82,74.5,66,,,,
90,75.0,66,,,,
75,67.2,61,,,,
68,61.6,54,,,,
77,67.0,59,,,,
82,68.5,55,,,,
75,67.3,63,,,,
75,67.8,61,,,,
Max,Avg,Min,,,,
61,56.5,46,,,,
61,55.0,50,,,,
55,52.8,50,,,,
59,56.5,55,,,,
64,54.2,45,,,,
64,61.7,59,,,,
61,59.7,57,,,,
66,60.5,43,,,,
64,60.3,55,,,,
59,50.9,45,,,,
59,52.6,46,,,,
66,61.3,57,,,,
68,63.1,61,,,,
66,64.9,63,,,,
63,62.0,61,,,,
63,59.2,55,,,,
61,57.3,55,,,,
63,58.9,54,,,,
63,60.9,59,,,,
63,59.6,54,,,,
61,58.5,54,,,,
64,61.5,59,,,,
64,60.5,54,,,,
54,48.2,43,,,,
52,47.5,37,,,,
61,52.0,46,,,,
59,58.0,57,,,,
63,58.7,54,,,,
Max,Avg,Min,,,,
88,64.2,27,,,,
83,65.0,46,,,,
73,58.5,41,,,,
82,69.1,57,,,,
88,56.2,19,,,,
94,73.2,51,,,,
78,64.6,42,,,,
94,66.4,18,,,,
94,73.9,50,,,,
94,63.0,36,,,,
68,53.3,33,,,,
73,61.6,43,,,,
94,67.0,36,,,,
94,80.6,61,,,,
88,73.1,54,,,,
88,70.5,61,,,,
88,64.5,39,,,,
94,73.0,44,,,,
88,72.7,54,,,,
94,70.7,56,,,,
73,57.5,48,,,,
94,65.0,38,,,,
94,79.9,53,,,,
82,62.8,40,,,,
67,51.2,27,,,,
88,60.2,28,,,,
