Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Jan 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,Max Avg Min 55 43.2 34 53 40.7 31 53 43.8 38 55 47.3 39 57 49.9 43 48 45.1 38 56 47.6 39 62 59.9 52 57 53.9 52 61 53.7 45 68 54.5 43 63 53.6 46 63 48.7 40 64 51.5 38 60 54.2 48 58 55.0 53 53 48.5 45 59 53.9 49 61 57.9 56 58 49.0 42 53 45.9 39 54 43.8 36 54 49.1 40 52 47.1 42 53 43.1 36 68 50.5 42 54 47.8 41 65 50.0 46 54 50.1 45 60 50.1 44 62 48.8 38,Max Avg Min 41 30.9 22 43 35.6 30 42 39.3 36 45 39.9 37 50 43.2 36 46 42.5 37 48 42.0 37 52 46.3 41 52 50.4 48 51 47.2 43 50 44.3 41 50 48.0 45 45 42.7 39 47 37.3 30 47 41.4 36 53 48.9 43 48 45.1 42 54 49.0 43 58 56.1 54 55 47.4 41 46 42.4 37 42 38.6 34 52 47.3 38 49 45.7 41 47 41.4 35 56 44.8 39 49 46.7 40 53 48.5 45 52 49.6 45 50 44.7 41 50 44.4 37,Max Avg Min 97 64.7 40 100 83.9 50 97 85.5 63 97 77.2 51 93 78.7 57 97 90.6 82 96 81.6 63 93 62.0 46 97 88.0 77 97 80.1 54 96 70.6 42 96 81.9 60 100 82.1 52 97 62.4 30 89 62.7 51 94 80.3 66 93 88.0 80 93 83.8 71 100 94.0 87 100 94.2 88 100 88.6 66 100 83.5 61 100 93.4 76 100 95.1 80 100 94.2 74 100 81.9 53 100 96.2 74 100 94.6 61 100 98.2 90 96 82.9 60 100 86.0 52,Max Avg Min 10 4.7 0 7 3.3 0 8 3.6 0 8 4.4 0 25 13.7 3 16 7.3 3 14 6.6 0 22 15.2 9 14 9.1 3 17 6.9 3 13 6.6 0 7 3.9 0 12 4.6 0 10 5.0 0 9 6.8 0 20 12.8 6 23 11.5 5 16 11.2 3 16 6.8 0 24 7.2 0 15 4.2 0 12 4.1 0 7 2.4 0 9 2.1 0 7 2.2 0 7 2.1 0 7 2.8 0 9 3.5 0 8 2.7 0 8 3.1 0 6 3.2 0,Max Avg Min 30.1 30.0 30.0 30.0 30.0 30.0 30.0 29.9 29.8 29.8 29.6 29.5 29.5 29.3 29.1 29.7 29.5 29.4 29.9 29.8 29.6 29.7 29.5 29.4 29.9 29.7 29.5 29.9 29.8 29.7 29.7 29.6 29.5 29.8 29.7 29.6 29.8 29.7 29.7 29.7 29.6 29.6 29.6 29.5 29.4 29.5 29.4 29.2 29.9 29.6 29.3 30.0 29.9 29.9 30.0 29.9 29.8 29.8 29.7 29.7 30.2 30.0 29.9 30.3 30.2 30.2 30.3 30.2 30.2 30.2 30.1 30.0 30.0 30.0 30.0 30.1 30.0 30.0 30.0 29.9 29.9 29.9 29.8 29.7 29.8 29.8 29.7 29.7 29.7 29.6 29.7 29.6 29.6,Total 0.00 0.00 0.00 0.00 0.00 0.34 0.52 0.25 0.44 0.27 0.00 0.02 0.00 0.00 0.00 0.06 0.85 0.96 0.89 2.04 1.74 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Jan,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
Max,Avg,Min,,,,
55,43.2,34,,,,
53,40.7,31,,,,
53,43.8,38,,,,
55,47.3,39,,,,
57,49.9,43,,,,
48,45.1,38,,,,
56,47.6,39,,,,
62,59.9,52,,,,
57,53.9,52,,,,
61,53.7,45,,,,
68,54.5,43,,,,
63,53.6,46,,,,
63,48.7,40,,,,
64,51.5,38,,,,
60,54.2,48,,,,
58,55.0,53,,,,
53,48.5,45,,,,
59,53.9,49,,,,
61,57.9,56,,,,
58,49.0,42,,,,
53,45.9,39,,,,
54,43.8,36,,,,
54,49.1,40,,,,
52,47.1,42,,,,
53,43.1,36,,,,
68,50.5,42,,,,
54,47.8,41,,,,
65,50.0,46,,,,
54,50.1,45,,,,
60,50.1,44,,,,
62,48.8,38,,,,
Max,Avg,Min,,,,
41,30.9,22,,,,
43,35.6,30,,,,
42,39.3,36,,,,
45,39.9,37,,,,
50,43.2,36,,,,
46,42.5,37,,,,
48,42.0,37,,,,
52,46.3,41,,,,
52,50.4,48,,,,
51,47.2,43,,,,
50,44.3,41,,,,
50,48.0,45,,,,
45,42.7,39,,,,
47,37.3,30,,,,
47,41.4,36,,,,
53,48.9,43,,,,
48,45.1,42,,,,
54,49.0,43,,,,
58,56.1,54,,,,
55,47.4,41,,,,
46,42.4,37,,,,
42,38.6,34,,,,
52,47.3,38,,,,
49,45.7,41,,,,
47,41.4,35,,,,
56,44.8,39,,,,
49,46.7,40,,,,
53,48.5,45,,,,
52,49.6,45,,,,
50,44.7,41,,,,
50,44.4,37,,,,
Max,Avg,Min,,,,
97,64.7,40,,,,
100,83.9,50,,,,
97,85.5,63,,,,
97,77.2,51,,,,
93,78.7,57,,,,
97,90.6,82,,,,
96,81.6,63,,,,
93,62.0,46,,,,
97,88.0,77,,,,
97,80.1,54,,,,
96,70.6,42,,,,
96,81.9,60,,,,
100,82.1,52,,,,
97,62.4,30,,,,
89,62.7,51,,,,
94,80.3,66,,,,
93,88.0,80,,,,
93,83.8,71,,,,
100,94.0,87,,,,
100,94.2,88,,,,
100,88.6,66,,,,
100,83.5,61,,,,
100,93.4,76,,,,
100,95.1,80,,,,
100,94.2,74,,,,
100,81.9,53,,,,
100,96.2,74,,,,
100,94.6,61,,,,
100,98.2,90,,,,
96,82.9,60,,,,
100,86.0,52,,,,
Max,Avg,Min,,,,
10,4.7,0,,,,
7,3.3,0,,,,
8,3.6,0,,,,
8,4.4,0,,,,
25,13.7,3,,,,
16,7.3,3,,,,
14,6.6,0,,,,
22,15.2,9,,,,
14,9.1,3,,,,
17,6.9,3,,,,
13,6.6,0,,,,
7,3.9,0,,,,
12,4.6,0,,,,
10,5.0,0,,,,
9,6.8,0,,,,
20,12.8,6,,,,
23,11.5,5,,,,
16,11.2,3,,,,
16,6.8,0,,,,
24,7.2,0,,,,
15,4.2,0,,,,
12,4.1,0,,,,
7,2.4,0,,,,
9,2.1,0,,,,
7,2.2,0,,,,
7,2.1,0,,,,
7,2.8,0,,,,
9,3.5,0,,,,
8,2.7,0,,,,
8,3.1,0,,,,
6,3.2,0,,,,
Max,Avg,Min,,,,
30.1,30.0,30.0,,,,
30.0,30.0,30.0,,,,
30.0,29.9,29.8,,,,
29.8,29.6,29.5,,,,
29.5,29.3,29.1,,,,
29.7,29.5,29.4,,,,
29.9,29.8,29.6,,,,
29.7,29.5,29.4,,,,
29.9,29.7,29.5,,,,
29.9,29.8,29.7,,,,
29.7,29.6,29.5,,,,
29.8,29.7,29.6,,,,
29.8,29.7,29.7,,,,
29.7,29.6,29.6,,,,
29.6,29.5,29.4,,,,
29.5,29.4,29.2,,,,
29.9,29.6,29.3,,,,
30.0,29.9,29.9,,,,
30.0,29.9,29.8,,,,
29.8,29.7,29.7,,,,
30.2,30.0,29.9,,,,
30.3,30.2,30.2,,,,
30.3,30.2,30.2,,,,
30.2,30.1,30.0,,,,
30.0,30.0,30.0,,,,
30.1,30.0,30.0,,,,
30.0,29.9,29.9,,,,
29.9,29.8,29.7,,,,
29.8,29.8,29.7,,,,
29.7,29.7,29.6,,,,
29.7,29.6,29.6,,,,
Total,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.34,,,,,,
0.52,,,,,,
0.25,,,,,,
0.44,,,,,,
0.27,,,,,,
0.00,,,,,,
0.02,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.06,,,,,,
0.85,,,,,,
0.96,,,,,,
0.89,,,,,,
2.04,,,,,,
1.74,,,,,,
0.01,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
