Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Feb 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28,Max Avg Min 73 63.0 52 99 78.1 55 106 81.3 64 72 66.4 63 79 67.7 63 95 75.5 61 86 74.9 68 75 66.6 61 68 59.2 50 75 62.2 50 82 69.4 54 70 61.4 50 70 57.8 50 75 61.7 48 75 65.3 59 79 67.6 59 86 72.2 55 79 68.7 55 68 59.7 52 73 61.4 48 68 60.7 52 73 64.4 59 75 66.5 59 91 73.7 55 95 79.5 66 75 68.2 59 88 69.1 54 100 84.3 64,Max Avg Min 54 44.7 37 63 54.6 48 63 57.0 43 61 57.4 54 63 58.1 54 68 61.7 55 66 64.4 63 64 56.3 46 54 42.8 30 54 47.2 43 55 51.3 48 52 44.6 30 46 38.1 28 55 45.7 41 57 54.7 54 59 56.5 55 57 50.0 43 59 51.6 43 48 45.3 37 54 47.5 43 50 47.9 45 54 51.0 48 57 52.3 48 54 46.2 34 43 37.1 32 61 50.9 37 57 51.8 48 52 47.6 39,Max Avg Min 82 52.9 33 88 51.2 18 83 51.1 14 88 73.4 60 83 71.7 54 94 67.7 28 94 71.9 48 94 71.5 44 94 57.1 26 82 59.9 34 94 56.9 32 94 55.9 28 77 50.8 23 82 58.7 33 88 70.0 47 88 69.7 44 100 52.0 23 73 55.5 29 82 60.8 33 87 62.8 33 94 65.5 43 77 62.7 44 82 61.3 44 94 46.5 13 43 23.5 11 77 56.3 29 88 58.7 27 64 31.0 14,Max Avg Min 22 15.1 9 22 12.6 5 23 13.8 0 20 13.6 6 16 10.4 5 36 10.9 0 16 10.2 2 17 10.7 6 29 16.7 6 16 9.3 0 20 10.9 5 26 17.7 6 20 12.9 1 16 9.9 6 16 8.7 5 17 9.2 2 16 7.8 0 23 12.3 3 17 11.7 3 17 9.6 1 18 11.6 5 18 12.9 9 17 10.9 5 17 9.6 1 32 16.9 5 17 11.1 0 12 5.7 0 33 19.5 6,Max Avg Min 29.7 29.6 29.5 29.5 29.4 29.3 29.4 29.3 29.2 29.6 29.5 29.4 29.6 29.5 29.4 29.4 29.4 29.2 29.4 29.3 29.2 29.3 29.2 29.2 29.3 29.1 29.0 29.4 29.3 29.2 29.2 29.1 28.9 29.2 29.0 28.8 29.5 29.4 29.2 29.7 29.6 29.5 29.7 29.7 29.6 29.6 29.6 29.5 29.5 29.4 29.2 29.4 29.3 29.2 29.5 29.4 29.4 29.6 29.5 29.4 29.7 29.6 29.5 29.8 29.7 29.7 29.8 29.7 29.7 29.8 29.7 29.7 29.8 29.7 29.6 29.7 29.7 29.6 29.7 29.6 29.5 29.6 29.6 29.5,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Feb,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
