Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Jul 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,Max Avg Min 70 63.0 58 68 61.6 58 69 61.5 58 69 61.7 58 68 61.0 58 67 60.9 57 66 60.3 58 71 60.1 56 72 63.3 58 68 60.7 57 59 57.9 57 65 58.9 56 64 59.6 56 66 59.4 57 64 59.2 56 66 59.0 55 68 60.3 55 71 61.0 55 70 60.1 57 66 60.3 57 67 60.6 57 66 60.6 57 67 61.0 57 69 60.2 56 72 62.1 57 71 63.2 59 79 65.3 60 72 61.6 57 77 64.6 59 74 64.6 60 72 65.1 60,Max Avg Min 57 55.9 55 56 55.3 54 56 55.0 54 56 54.8 54 55 54.7 54 56 54.4 53 54 53.5 53 54 53.5 52 56 54.0 51 55 54.3 54 53 53.0 53 54 52.9 52 54 52.6 52 54 52.8 52 53 52.0 51 53 52.0 52 54 53.0 52 55 53.7 52 55 53.7 53 54 53.2 53 54 52.8 52 53 52.3 52 54 52.4 51 54 52.8 52 55 54.2 53 56 55.6 54 57 55.8 52 56 55.1 55 58 56.2 54 58 56.6 55 57 56.4 55,Max Avg Min 90 77.8 61 93 80.4 63 90 80.0 58 93 79.0 58 90 80.3 63 93 79.7 63 87 78.8 65 90 79.7 55 87 72.5 55 90 80.3 61 87 84.4 81 90 81.2 65 90 78.5 65 89 79.5 60 90 77.7 63 88 78.4 60 90 77.8 61 90 77.8 57 89 80.1 58 89 78.2 63 87 76.5 59 87 74.8 63 84 74.2 59 90 77.6 57 89 76.1 55 87 76.4 59 86 72.6 39 94 80.2 57 90 75.5 46 90 76.0 57 90 74.4 59,Max Avg Min 13 7.3 0 14 7.5 5 12 5.6 0 15 5.2 0 15 5.3 0 13 7.5 0 13 8.4 0 12 5.4 0 10 5.2 0 10 4.3 0 10 8.3 6 15 9.1 3 13 7.9 5 16 5.8 0 13 7.7 0 12 7.1 0 16 6.6 0 8 4.2 0 14 4.2 0 13 7.6 0 13 8.2 3 15 8.0 0 17 8.7 3 14 4.9 0 15 5.3 0 13 3.8 0 15 4.6 0 10 4.1 0 9 4.2 0 15 6.0 0 15 5.5 0,Max Avg Min 29.8 29.7 29.7 29.7 29.7 29.7 29.8 29.7 29.7 29.8 29.8 29.7 29.8 29.8 29.7 29.8 29.8 29.8 29.8 29.7 29.6 29.7 29.6 29.6 29.7 29.7 29.6 29.8 29.7 29.7 29.7 29.7 29.7 29.7 29.7 29.7 29.8 29.7 29.7 29.8 29.7 29.7 29.8 29.8 29.8 29.8 29.7 29.7 29.8 29.7 29.7 29.8 29.8 29.8 29.8 29.8 29.8 29.9 29.8 29.8 29.8 29.7 29.7 29.8 29.8 29.7 29.8 29.8 29.8 29.8 29.8 29.7 29.8 29.7 29.7 29.8 29.7 29.7 29.8 29.8 29.7 29.8 29.8 29.8 29.8 29.7 29.7 29.8 29.7 29.7 29.9 29.8 29.8,Total 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Jul,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
Max,Avg,Min,,,,
70,63.0,58,,,,
68,61.6,58,,,,
69,61.5,58,,,,
69,61.7,58,,,,
68,61.0,58,,,,
67,60.9,57,,,,
66,60.3,58,,,,
71,60.1,56,,,,
72,63.3,58,,,,
68,60.7,57,,,,
59,57.9,57,,,,
65,58.9,56,,,,
64,59.6,56,,,,
66,59.4,57,,,,
64,59.2,56,,,,
66,59.0,55,,,,
68,60.3,55,,,,
71,61.0,55,,,,
70,60.1,57,,,,
66,60.3,57,,,,
67,60.6,57,,,,
66,60.6,57,,,,
67,61.0,57,,,,
69,60.2,56,,,,
72,62.1,57,,,,
71,63.2,59,,,,
79,65.3,60,,,,
72,61.6,57,,,,
77,64.6,59,,,,
74,64.6,60,,,,
72,65.1,60,,,,
Max,Avg,Min,,,,
57,55.9,55,,,,
56,55.3,54,,,,
56,55.0,54,,,,
56,54.8,54,,,,
55,54.7,54,,,,
56,54.4,53,,,,
54,53.5,53,,,,
54,53.5,52,,,,
56,54.0,51,,,,
55,54.3,54,,,,
53,53.0,53,,,,
54,52.9,52,,,,
54,52.6,52,,,,
54,52.8,52,,,,
53,52.0,51,,,,
53,52.0,52,,,,
54,53.0,52,,,,
55,53.7,52,,,,
55,53.7,53,,,,
54,53.2,53,,,,
54,52.8,52,,,,
53,52.3,52,,,,
54,52.4,51,,,,
54,52.8,52,,,,
55,54.2,53,,,,
56,55.6,54,,,,
57,55.8,52,,,,
56,55.1,55,,,,
58,56.2,54,,,,
58,56.6,55,,,,
57,56.4,55,,,,
Max,Avg,Min,,,,
90,77.8,61,,,,
93,80.4,63,,,,
90,80.0,58,,,,
93,79.0,58,,,,
90,80.3,63,,,,
93,79.7,63,,,,
87,78.8,65,,,,
90,79.7,55,,,,
87,72.5,55,,,,
90,80.3,61,,,,
87,84.4,81,,,,
90,81.2,65,,,,
90,78.5,65,,,,
89,79.5,60,,,,
90,77.7,63,,,,
88,78.4,60,,,,
90,77.8,61,,,,
90,77.8,57,,,,
89,80.1,58,,,,
89,78.2,63,,,,
87,76.5,59,,,,
87,74.8,63,,,,
84,74.2,59,,,,
90,77.6,57,,,,
89,76.1,55,,,,
87,76.4,59,,,,
86,72.6,39,,,,
94,80.2,57,,,,
90,75.5,46,,,,
90,76.0,57,,,,
90,74.4,59,,,,
Max,Avg,Min,,,,
13,7.3,0,,,,
14,7.5,5,,,,
12,5.6,0,,,,
15,5.2,0,,,,
15,5.3,0,,,,
13,7.5,0,,,,
13,8.4,0,,,,
12,5.4,0,,,,
10,5.2,0,,,,
10,4.3,0,,,,
10,8.3,6,,,,
15,9.1,3,,,,
13,7.9,5,,,,
16,5.8,0,,,,
13,7.7,0,,,,
12,7.1,0,,,,
16,6.6,0,,,,
8,4.2,0,,,,
14,4.2,0,,,,
13,7.6,0,,,,
13,8.2,3,,,,
15,8.0,0,,,,
17,8.7,3,,,,
14,4.9,0,,,,
15,5.3,0,,,,
13,3.8,0,,,,
15,4.6,0,,,,
10,4.1,0,,,,
9,4.2,0,,,,
15,6.0,0,,,,
15,5.5,0,,,,
Max,Avg,Min,,,,
29.8,29.7,29.7,,,,
29.7,29.7,29.7,,,,
29.8,29.7,29.7,,,,
29.8,29.8,29.7,,,,
29.8,29.8,29.7,,,,
29.8,29.8,29.8,,,,
29.8,29.7,29.6,,,,
29.7,29.6,29.6,,,,
29.7,29.7,29.6,,,,
29.8,29.7,29.7,,,,
29.7,29.7,29.7,,,,
29.7,29.7,29.7,,,,
29.8,29.7,29.7,,,,
29.8,29.7,29.7,,,,
29.8,29.8,29.8,,,,
29.8,29.7,29.7,,,,
29.8,29.7,29.7,,,,
29.8,29.8,29.8,,,,
29.8,29.8,29.8,,,,
29.9,29.8,29.8,,,,
29.8,29.7,29.7,,,,
29.8,29.8,29.7,,,,
29.8,29.8,29.8,,,,
29.8,29.8,29.7,,,,
29.8,29.7,29.7,,,,
29.8,29.7,29.7,,,,
29.8,29.8,29.7,,,,
29.8,29.8,29.8,,,,
29.8,29.7,29.7,,,,
29.8,29.7,29.7,,,,
29.9,29.8,29.8,,,,
Total,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.01,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
