Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Jul 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,Max Avg Min 88 76.7 64 86 78.0 66 88 78.9 68 77 70.5 64 86 73.5 61 90 80.2 68 93 82.5 70 88 75.3 64 86 73.6 61 88 78.2 64 88 77.2 66 90 79.6 68 82 75.0 68 79 69.5 63 79 72.0 64 81 71.8 66 84 73.8 64 88 77.1 68 91 81.3 70 91 82.1 73 90 81.7 72 88 80.7 72 88 79.3 70 88 81.4 73 88 79.3 72 82 75.9 66 84 75.2 68 86 76.4 66 88 78.7 66 88 79.6 72 88 80.7 73,Max Avg Min 57 54.1 50 63 57.5 54 68 59.2 54 70 66.1 63 64 60.2 52 66 59.7 52 68 62.2 57 68 63.2 59 63 58.8 52 63 58.2 50 64 61.5 57 66 62.5 59 68 62.8 57 63 56.3 48 63 58.0 55 64 60.4 55 66 63.7 61 68 61.9 54 66 60.6 54 64 61.4 57 68 62.8 59 66 63.0 59 66 63.7 61 70 66.2 63 68 64.3 61 70 63.9 61 70 65.9 63 70 65.4 61 68 63.6 61 68 65.4 63 68 64.9 57,Max Avg Min 73 47.8 27 78 51.3 33 100 54.1 33 100 87.0 69 100 67.6 31 78 51.7 33 78 52.5 30 100 67.0 43 100 64.2 33 83 53.2 27 88 60.4 35 78 57.0 38 94 66.4 45 94 65.5 36 78 62.6 47 88 69.0 44 94 72.5 45 83 61.6 33 83 52.5 28 69 50.5 33 73 53.6 38 78 56.0 38 78 59.9 43 74 60.6 48 83 61.4 43 94 67.5 48 100 73.4 57 100 71.3 43 94 61.8 40 83 63.2 48 83 60.1 35,Max Avg Min 12 6.8 1 9 5.3 2 16 6.9 3 10 4.6 1 9 4.6 1 9 6.8 3 12 7.5 2 21 10.1 2 12 6.2 1 9 4.3 1 17 5.8 2 14 6.6 1 20 9.8 3 12 5.3 1 9 5.7 1 16 6.6 2 12 5.8 1 12 3.9 2 10 4.8 1 10 6.8 3 9 6.1 2 16 8.3 2 15 6.3 1 10 7.0 3 17 9.1 3 21 7.3 1 14 8.7 3 9 3.6 1 9 4.9 1 12 6.1 1 12 6.2 2,Max Avg Min 29.5 29.5 29.4 29.6 29.5 29.5 29.6 29.6 29.5 29.5 29.5 29.4 29.5 29.5 29.4 29.6 29.5 29.5 29.6 29.5 29.5 29.6 29.6 29.5 29.6 29.6 29.6 29.6 29.6 29.5 29.6 29.5 29.5 29.6 29.5 29.4 29.4 29.4 29.3 29.5 29.5 29.4 29.6 29.5 29.5 29.6 29.5 29.5 29.6 29.5 29.5 29.5 29.5 29.4 29.5 29.5 29.5 29.6 29.5 29.5 29.7 29.6 29.6 29.7 29.6 29.6 29.6 29.6 29.5 29.6 29.5 29.4 29.4 29.4 29.4 29.6 29.5 29.4 29.6 29.6 29.6 29.6 29.6 29.5 29.6 29.5 29.5 29.5 29.5 29.4 29.4 29.4 29.3,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Jul,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
Max,Avg,Min,,,,
88,76.7,64,,,,
86,78.0,66,,,,
88,78.9,68,,,,
77,70.5,64,,,,
86,73.5,61,,,,
90,80.2,68,,,,
93,82.5,70,,,,
88,75.3,64,,,,
86,73.6,61,,,,
88,78.2,64,,,,
88,77.2,66,,,,
90,79.6,68,,,,
82,75.0,68,,,,
79,69.5,63,,,,
79,72.0,64,,,,
81,71.8,66,,,,
84,73.8,64,,,,
88,77.1,68,,,,
91,81.3,70,,,,
91,82.1,73,,,,
90,81.7,72,,,,
88,80.7,72,,,,
88,79.3,70,,,,
88,81.4,73,,,,
88,79.3,72,,,,
82,75.9,66,,,,
84,75.2,68,,,,
86,76.4,66,,,,
88,78.7,66,,,,
88,79.6,72,,,,
88,80.7,73,,,,
Max,Avg,Min,,,,
57,54.1,50,,,,
63,57.5,54,,,,
68,59.2,54,,,,
70,66.1,63,,,,
64,60.2,52,,,,
66,59.7,52,,,,
68,62.2,57,,,,
68,63.2,59,,,,
63,58.8,52,,,,
63,58.2,50,,,,
64,61.5,57,,,,
66,62.5,59,,,,
68,62.8,57,,,,
63,56.3,48,,,,
63,58.0,55,,,,
64,60.4,55,,,,
66,63.7,61,,,,
68,61.9,54,,,,
66,60.6,54,,,,
64,61.4,57,,,,
68,62.8,59,,,,
66,63.0,59,,,,
66,63.7,61,,,,
70,66.2,63,,,,
68,64.3,61,,,,
70,63.9,61,,,,
70,65.9,63,,,,
70,65.4,61,,,,
68,63.6,61,,,,
68,65.4,63,,,,
68,64.9,57,,,,
Max,Avg,Min,,,,
73,47.8,27,,,,
78,51.3,33,,,,
100,54.1,33,,,,
100,87.0,69,,,,
100,67.6,31,,,,
78,51.7,33,,,,
78,52.5,30,,,,
100,67.0,43,,,,
100,64.2,33,,,,
83,53.2,27,,,,
88,60.4,35,,,,
78,57.0,38,,,,
94,66.4,45,,,,
94,65.5,36,,,,
78,62.6,47,,,,
88,69.0,44,,,,
94,72.5,45,,,,
83,61.6,33,,,,
83,52.5,28,,,,
69,50.5,33,,,,
73,53.6,38,,,,
78,56.0,38,,,,
78,59.9,43,,,,
74,60.6,48,,,,
83,61.4,43,,,,
94,67.5,48,,,,
100,73.4,57,,,,
100,71.3,43,,,,
94,61.8,40,,,,
83,63.2,48,,,,
83,60.1,35,,,,
Max,Avg,Min,,,,
12,6.8,1,,,,
9,5.3,2,,,,
16,6.9,3,,,,
10,4.6,1,,,,
9,4.6,1,,,,
9,6.8,3,,,,
12,7.5,2,,,,
21,10.1,2,,,,
12,6.2,1,,,,
9,4.3,1,,,,
17,5.8,2,,,,
14,6.6,1,,,,
20,9.8,3,,,,
12,5.3,1,,,,
9,5.7,1,,,,
16,6.6,2,,,,
12,5.8,1,,,,
12,3.9,2,,,,
10,4.8,1,,,,
10,6.8,3,,,,
9,6.1,2,,,,
16,8.3,2,,,,
15,6.3,1,,,,
10,7.0,3,,,,
17,9.1,3,,,,
21,7.3,1,,,,
14,8.7,3,,,,
9,3.6,1,,,,
9,4.9,1,,,,
12,6.1,1,,,,
12,6.2,2,,,,
Max,Avg,Min,,,,
29.5,29.5,29.4,,,,
29.6,29.5,29.5,,,,
29.6,29.6,29.5,,,,
29.5,29.5,29.4,,,,
29.5,29.5,29.4,,,,
29.6,29.5,29.5,,,,
29.6,29.5,29.5,,,,
29.6,29.6,29.5,,,,
29.6,29.6,29.6,,,,
29.6,29.6,29.5,,,,
29.6,29.5,29.5,,,,
29.6,29.5,29.4,,,,
29.4,29.4,29.3,,,,
29.5,29.5,29.4,,,,
29.6,29.5,29.5,,,,
29.6,29.5,29.5,,,,
29.6,29.5,29.5,,,,
29.5,29.5,29.4,,,,
29.5,29.5,29.5,,,,
29.6,29.5,29.5,,,,
29.7,29.6,29.6,,,,
29.7,29.6,29.6,,,,
29.6,29.6,29.5,,,,
29.6,29.5,29.4,,,,
29.4,29.4,29.4,,,,
29.6,29.5,29.4,,,,
29.6,29.6,29.6,,,,
29.6,29.6,29.5,,,,
29.6,29.5,29.5,,,,
29.5,29.5,29.4,,,,
29.4,29.4,29.3,,,,
Total,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
