Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Apr 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 1,Max Avg Min 95 82.0 66 97 84.0 69 95 83.6 72 91 80.7 70 92 78.9 66 93 79.2 64 93 77.7 63 92 78.1 62 95 78.1 60 100 80.9 60 96 79.3 63 91 78.5 66 96 77.3 63 89 76.3 65 78 68.8 59 83 68.6 52 83 72.3 62 87 71.6 59 91 74.6 64 84 70.7 58 87 71.5 58 86 71.5 62 85 69.5 57 85 68.6 54 86 70.4 52 85 73.9 58 78 68.0 55 79 66.3 53 78 65.5 53 77 64.1 52 61 61.0 61,Max Avg Min 55 45.5 40 47 44.4 40 47 43.5 40 54 45.1 38 52 46.0 43 48 43.8 38 45 41.6 38 47 41.9 38 43 38.4 31 39 33.8 30 46 40.1 30 50 46.0 42 60 48.6 41 63 50.0 30 51 44.1 38 48 44.4 37 51 47.8 40 49 44.5 42 66 53.8 45 61 57.3 54 62 54.3 48 64 54.1 45 60 51.9 42 53 43.4 32 44 39.8 37 49 43.4 41 46 39.5 34 46 39.6 36 45 40.0 36 39 35.4 31 34 34.0 34,Max Avg Min 44 29.2 15 41 26.5 15 37 25.1 15 49 29.6 20 50 32.7 19 53 31.4 15 44 29.1 16 48 29.6 15 49 26.8 12 40 20.8 10 38 25.7 16 50 33.3 19 70 39.3 17 88 47.3 14 55 41.8 31 62 43.3 28 64 43.7 28 57 39.7 23 79 50.5 29 94 66.5 38 85 58.7 27 89 59.1 24 86 59.3 23 84 47.3 15 69 37.4 18 54 34.8 22 62 37.3 20 54 38.6 24 63 41.3 23 55 36.8 19 37 37.0 37,Max Avg Min 15 7.5 3 17 6.9 0 14 8.9 5 16 9.7 6 14 7.3 3 15 6.9 2 9 6.0 2 10 6.6 2 12 5.0 0 13 5.5 0 15 7.7 0 16 9.2 6 20 9.5 6 18 11.2 3 16 8.7 3 12 5.3 0 12 7.0 0 10 6.2 3 20 10.0 3 10 6.4 0 15 4.9 0 12 5.6 0 10 5.1 0 13 4.4 0 10 5.2 0 14 8.7 0 12 8.9 5 14 8.6 5 16 8.2 5 12 7.2 3 7 7.0 7,Max Avg Min 29.6 29.5 29.5 29.6 29.5 29.5 29.7 29.6 29.5 29.7 29.6 29.5 29.6 29.6 29.5 29.6 29.6 29.6 29.7 29.6 29.6 29.7 29.7 29.6 29.7 29.7 29.6 29.7 29.7 29.6 29.7 29.7 29.6 29.7 29.6 29.5 29.6 29.5 29.4 29.5 29.4 29.4 29.6 29.5 29.5 29.7 29.6 29.6 29.8 29.7 29.7 29.8 29.7 29.6 29.7 29.6 29.5 29.8 29.7 29.6 29.8 29.7 29.6 29.8 29.7 29.6 29.8 29.7 29.6 29.7 29.7 29.6 29.6 29.6 29.5 29.7 29.6 29.6 29.8 29.8 29.7 29.8 29.8 29.7 29.9 29.8 29.8 29.9 29.8 29.8 29.9 29.9 29.9,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.06 0.01 0.00 0.00 0.00 0.00 0.07 0.00 0.01 0.18 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Apr,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
1,,,,,,
Max,Avg,Min,,,,
95,82.0,66,,,,
97,84.0,69,,,,
95,83.6,72,,,,
91,80.7,70,,,,
92,78.9,66,,,,
93,79.2,64,,,,
93,77.7,63,,,,
92,78.1,62,,,,
95,78.1,60,,,,
100,80.9,60,,,,
96,79.3,63,,,,
91,78.5,66,,,,
96,77.3,63,,,,
89,76.3,65,,,,
78,68.8,59,,,,
83,68.6,52,,,,
83,72.3,62,,,,
87,71.6,59,,,,
91,74.6,64,,,,
84,70.7,58,,,,
87,71.5,58,,,,
86,71.5,62,,,,
85,69.5,57,,,,
85,68.6,54,,,,
86,70.4,52,,,,
85,73.9,58,,,,
78,68.0,55,,,,
79,66.3,53,,,,
78,65.5,53,,,,
77,64.1,52,,,,
61,61.0,61,,,,
Max,Avg,Min,,,,
55,45.5,40,,,,
47,44.4,40,,,,
47,43.5,40,,,,
54,45.1,38,,,,
52,46.0,43,,,,
48,43.8,38,,,,
45,41.6,38,,,,
47,41.9,38,,,,
43,38.4,31,,,,
39,33.8,30,,,,
46,40.1,30,,,,
50,46.0,42,,,,
60,48.6,41,,,,
63,50.0,30,,,,
51,44.1,38,,,,
48,44.4,37,,,,
51,47.8,40,,,,
49,44.5,42,,,,
66,53.8,45,,,,
61,57.3,54,,,,
62,54.3,48,,,,
64,54.1,45,,,,
60,51.9,42,,,,
53,43.4,32,,,,
44,39.8,37,,,,
49,43.4,41,,,,
46,39.5,34,,,,
46,39.6,36,,,,
45,40.0,36,,,,
39,35.4,31,,,,
34,34.0,34,,,,
Max,Avg,Min,,,,
44,29.2,15,,,,
41,26.5,15,,,,
37,25.1,15,,,,
49,29.6,20,,,,
50,32.7,19,,,,
53,31.4,15,,,,
44,29.1,16,,,,
48,29.6,15,,,,
49,26.8,12,,,,
40,20.8,10,,,,
38,25.7,16,,,,
50,33.3,19,,,,
70,39.3,17,,,,
88,47.3,14,,,,
55,41.8,31,,,,
62,43.3,28,,,,
64,43.7,28,,,,
57,39.7,23,,,,
79,50.5,29,,,,
94,66.5,38,,,,
85,58.7,27,,,,
89,59.1,24,,,,
86,59.3,23,,,,
84,47.3,15,,,,
69,37.4,18,,,,
54,34.8,22,,,,
62,37.3,20,,,,
54,38.6,24,,,,
63,41.3,23,,,,
55,36.8,19,,,,
37,37.0,37,,,,
Max,Avg,Min,,,,
15,7.5,3,,,,
17,6.9,0,,,,
14,8.9,5,,,,
16,9.7,6,,,,
14,7.3,3,,,,
15,6.9,2,,,,
9,6.0,2,,,,
10,6.6,2,,,,
12,5.0,0,,,,
13,5.5,0,,,,
15,7.7,0,,,,
16,9.2,6,,,,
20,9.5,6,,,,
18,11.2,3,,,,
16,8.7,3,,,,
12,5.3,0,,,,
12,7.0,0,,,,
10,6.2,3,,,,
20,10.0,3,,,,
10,6.4,0,,,,
15,4.9,0,,,,
12,5.6,0,,,,
10,5.1,0,,,,
13,4.4,0,,,,
10,5.2,0,,,,
14,8.7,0,,,,
12,8.9,5,,,,
14,8.6,5,,,,
16,8.2,5,,,,
12,7.2,3,,,,
7,7.0,7,,,,
Max,Avg,Min,,,,
29.6,29.5,29.5,,,,
29.6,29.5,29.5,,,,
29.7,29.6,29.5,,,,
29.7,29.6,29.5,,,,
29.6,29.6,29.5,,,,
29.6,29.6,29.6,,,,
29.7,29.6,29.6,,,,
29.7,29.7,29.6,,,,
29.7,29.7,29.6,,,,
29.7,29.7,29.6,,,,
29.7,29.7,29.6,,,,
29.7,29.6,29.5,,,,
29.6,29.5,29.4,,,,
29.5,29.4,29.4,,,,
29.6,29.5,29.5,,,,
29.7,29.6,29.6,,,,
