Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Mar 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,Max Avg Min 67 60.1 55 73 62.0 55 80 63.0 50 74 65.5 55 74 66.6 61 77 68.9 63 78 70.1 63 74 68.8 65 71 62.9 53 69 64.8 57 66 60.6 54 70 58.8 52 72 58.8 46 72 63.9 58 72 66.6 61 62 58.8 53 57 54.4 52 74 64.8 58 78 67.6 59 77 67.0 56 77 68.6 62 78 66.4 54 76 68.9 62 72 68.3 65 68 64.0 60 67 60.9 59 70 62.3 54 69 64.1 59 70 61.6 54 70 59.4 49 72 61.9 52,Max Avg Min 51 49.9 48 49 46.1 40 52 45.6 36 57 55.5 52 59 57.1 56 62 59.8 58 63 61.8 60 64 61.9 60 57 53.1 48 61 54.6 52 64 47.0 37 45 43.3 41 55 47.8 41 62 58.8 54 61 59.1 58 59 52.8 48 55 51.9 48 61 58.6 55 60 58.1 57 59 56.3 54 61 58.3 56 60 55.0 52 61 57.9 56 67 63.1 58 64 57.1 55 58 55.6 54 59 57.1 53 61 58.6 56 56 53.3 51 51 49.8 46 57 52.8 48,Max Avg Min 78 69.4 56 78 60.0 31 88 60.0 22 92 71.9 50 90 73.0 59 85 73.5 58 89 75.8 57 88 78.4 63 91 72.3 52 82 70.1 59 92 62.5 40 73 58.3 35 87 69.0 44 94 84.0 64 93 78.0 63 91 81.4 69 93 90.3 86 93 81.9 65 93 72.9 52 94 70.6 49 88 71.0 49 93 69.6 42 81 68.4 52 93 84.3 72 96 79.6 67 88 82.9 74 95 84.0 68 94 83.1 64 94 75.6 54 90 71.8 50 90 72.8 54,Max Avg Min 22 17.8 15 20 14.8 9 12 7.5 3 14 9.4 3 14 8.1 1 14 10.1 2 13 8.9 3 28 19.1 10 10 7.0 3 25 17.3 8 23 15.1 5 12 8.3 5 12 6.3 2 12 5.4 1 14 9.0 3 17 13.1 7 18 13.9 10 10 7.9 5 8 4.6 1 6 3.9 1 8 3.3 0 9 4.4 2 17 12.0 5 17 9.9 2 17 11.3 1 16 12.9 8 14 5.6 0 12 6.8 3 20 9.5 3 12 8.0 2 12 7.0 3,Max Avg Min 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.02 0.00 0.00 0.00 0.00 0.06 0.02 0.32 1.18 0.39 0.00 0.00 0.00 0.00 0.00 0.43 0.02 0.02 0.03 0.04 0.01 0.00 0.00
Mar,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
