Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Sep 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,Max Avg Min 72 60.7 48 75 64.5 54 81 68.2 54 86 70.4 54 72 64.3 57 68 60.0 52 75 62.3 48 79 66.2 52 86 73.7 61 82 71.6 59 81 69.8 59 81 65.8 52 84 69.0 54 95 76.3 57 91 77.5 64 90 76.4 64 86 75.2 66 88 73.6 61 81 70.4 66 75 67.4 63 77 67.6 59 68 63.5 61 72 63.6 57 64 56.6 50 59 52.6 50 59 51.6 46 54 51.5 46 66 57.5 52 70 60.9 55 66 61.9 59,Max Avg Min 52 46.5 43 50 46.7 43 55 50.5 46 57 52.0 48 59 51.4 45 50 47.5 45 50 45.9 43 55 50.1 45 59 56.3 54 59 56.7 52 59 56.7 52 54 49.7 46 50 47.0 43 55 49.3 45 61 55.2 52 61 56.9 55 63 54.8 43 59 53.3 43 66 62.7 57 63 61.9 59 64 61.7 57 63 59.8 57 63 59.6 54 57 52.3 46 50 44.3 37 45 40.6 34 46 44.4 39 52 46.5 43 59 55.2 54 57 55.2 52,Max Avg Min 93 62.4 38 77 54.9 35 88 56.5 30 94 56.7 27 94 64.5 40 88 65.6 46 93 58.8 31 82 58.5 36 88 56.6 33 78 60.6 42 94 66.1 39 88 59.7 32 77 49.0 23 63 41.2 20 64 47.8 29 73 53.0 31 73 51.0 28 72 50.7 33 94 78.2 48 94 81.7 65 100 82.3 57 100 88.1 73 100 87.9 60 100 86.0 68 87 74.4 48 93 67.8 39 87 77.4 71 82 68.2 45 100 82.6 56 94 79.9 60,Max Avg Min 8 4.2 0 8 3.7 0 10 4.8 0 10 3.8 0 9 6.1 1 10 5.7 2 8 4.2 0 6 3.0 0 10 4.1 0 8 5.3 1 8 5.1 1 8 3.8 0 10 6.4 3 13 6.8 2 9 6.0 1 9 4.8 1 18 13.6 3 16 10.4 2 16 6.3 2 9 3.6 0 10 4.3 0 10 6.0 2 15 9.5 5 21 11.3 5 20 13.5 7 14 11.2 6 18 13.2 7 15 10.0 3 10 6.1 2 12 5.8 1,Max Avg Min 29.7 29.7 29.6 29.7 29.7 29.7 29.8 29.8 29.7 29.9 29.8 29.7 29.8 29.8 29.7 29.8 29.8 29.8 29.9 29.9 29.8 30.0 29.9 29.9 29.9 29.8 29.8 29.8 29.7 29.6 29.7 29.6 29.6 29.9 29.8 29.7 29.9 29.8 29.8 29.8 29.7 29.6 29.7 29.7 29.6 29.7 29.7 29.7 29.8 29.7 29.6 29.6 29.6 29.5 29.6 29.5 29.5 29.6 29.6 29.5 29.6 29.6 29.6 29.6 29.5 29.4 29.4 29.4 29.3 29.4 29.3 29.1 29.5 29.4 29.2 29.5 29.5 29.4 29.5 29.5 29.4 29.7 29.6 29.5 29.7 29.7 29.7 29.7 29.6 29.4,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Sep,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
