Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
May 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,Max Avg Min 64 55.1 48 63 54.5 41 64 57.2 50 64 57.5 52 55 49.4 45 61 50.7 41 61 51.1 37 61 53.8 48 63 57.5 52 63 58.5 50 64 57.7 48 66 57.0 48 64 60.4 57 66 59.3 52 59 53.0 45 66 53.4 41 64 55.3 41 64 57.4 54 61 56.8 54 64 59.1 55 64 59.2 52 66 58.7 52 66 59.4 50 68 59.8 50 70 60.7 52 66 61.1 55 70 62.5 59 68 62.3 57 64 58.5 54 70 61.2 52 72 63.8 55,Max Avg Min 55 49.8 45 55 49.2 41 55 53.7 50 55 53.7 52 52 43.8 36 45 40.6 36 48 43.9 37 54 50.7 46 57 53.4 48 57 54.2 50 59 54.1 48 54 48.3 43 46 43.6 41 48 42.8 34 43 39.5 37 66 46.2 39 54 48.9 41 59 54.9 52 57 54.4 52 55 52.5 48 59 55.5 52 57 54.7 52 59 55.0 50 59 54.7 48 61 55.9 52 63 57.4 50 63 59.2 57 61 58.3 54 59 56.3 54 57 53.7 50 55 49.9 45,Max Avg Min 100 84.5 49 100 84.5 59 100 88.8 68 100 88.0 68 100 81.2 62 100 70.8 42 100 78.8 52 100 89.6 68 100 87.2 72 100 86.5 77 100 88.7 68 100 74.4 45 63 53.9 48 77 54.7 45 81 61.0 45 100 79.2 52 100 80.8 56 100 91.5 68 100 91.5 72 94 78.8 56 100 88.9 73 100 88.0 68 100 86.7 68 100 85.0 56 100 85.6 60 100 88.5 59 100 89.5 68 100 87.3 77 100 93.1 68 100 78.7 49 100 63.7 38,Max Avg Min 13 5.7 1 10 5.1 0 16 8.0 2 14 6.3 2 23 8.9 2 10 4.4 1 12 5.5 1 12 7.0 2 18 9.6 2 17 8.8 2 13 6.6 1 14 6.5 1 25 16.7 5 20 13.0 6 15 9.2 1 14 5.6 1 14 6.3 1 15 5.8 1 14 6.8 1 14 7.2 2 16 8.0 1 12 5.2 1 12 5.8 2 9 4.4 2 10 4.9 1 9 4.8 1 12 5.2 1 13 7.4 1 14 7.4 1 13 6.1 2 16 7.8 2,Max Avg Min 30.0 30.0 29.9 30.0 30.0 29.9 29.9 29.8 29.8 29.8 29.6 29.5 29.7 29.5 29.4 30.0 29.9 29.7 30.1 30.1 30.0 30.1 30.0 29.8 29.8 29.7 29.6 30.0 29.9 29.8 30.0 29.9 29.9 29.9 29.9 29.8 30.0 30.0 29.9 30.0 30.0 29.9 30.0 29.9 29.9 30.1 29.9 29.8 29.9 29.8 29.7 29.7 29.6 29.6 29.7 29.7 29.6 29.8 29.7 29.7 30.0 29.9 29.8 30.0 30.0 30.0 30.1 30.0 30.0 30.0 30.0 29.9 30.0 29.9 29.9 29.9 29.9 29.8 29.8 29.7 29.7 29.7 29.7 29.7 30.0 29.8 29.7 30.2 30.1 30.0 30.2 30.2 30.2,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
May,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
Max,Avg,Min,,,,
64,55.1,48,,,,
63,54.5,41,,,,
64,57.2,50,,,,
64,57.5,52,,,,
55,49.4,45,,,,
61,50.7,41,,,,
61,51.1,37,,,,
61,53.8,48,,,,
63,57.5,52,,,,
63,58.5,50,,,,
64,57.7,48,,,,
66,57.0,48,,,,
64,60.4,57,,,,
66,59.3,52,,,,
59,53.0,45,,,,
66,53.4,41,,,,
64,55.3,41,,,,
64,57.4,54,,,,
61,56.8,54,,,,
64,59.1,55,,,,
64,59.2,52,,,,
66,58.7,52,,,,
66,59.4,50,,,,
68,59.8,50,,,,
70,60.7,52,,,,
66,61.1,55,,,,
70,62.5,59,,,,
68,62.3,57,,,,
64,58.5,54,,,,
70,61.2,52,,,,
72,63.8,55,,,,
Max,Avg,Min,,,,
55,49.8,45,,,,
55,49.2,41,,,,
55,53.7,50,,,,
55,53.7,52,,,,
52,43.8,36,,,,
45,40.6,36,,,,
48,43.9,37,,,,
54,50.7,46,,,,
57,53.4,48,,,,
57,54.2,50,,,,
59,54.1,48,,,,
54,48.3,43,,,,
46,43.6,41,,,,
48,42.8,34,,,,
43,39.5,37,,,,
66,46.2,39,,,,
54,48.9,41,,,,
59,54.9,52,,,,
57,54.4,52,,,,
55,52.5,48,,,,
59,55.5,52,,,,
57,54.7,52,,,,
59,55.0,50,,,,
59,54.7,48,,,,
61,55.9,52,,,,
63,57.4,50,,,,
63,59.2,57,,,,
61,58.3,54,,,,
59,56.3,54,,,,
57,53.7,50,,,,
55,49.9,45,,,,
Max,Avg,Min,,,,
100,84.5,49,,,,
100,84.5,59,,,,
100,88.8,68,,,,
100,88.0,68,,,,
100,81.2,62,,,,
100,70.8,42,,,,
100,78.8,52,,,,
100,89.6,68,,,,
100,87.2,72,,,,
100,86.5,77,,,,
100,88.7,68,,,,
100,74.4,45,,,,
63,53.9,48,,,,
77,54.7,45,,,,
81,61.0,45,,,,
100,79.2,52,,,,
100,80.8,56,,,,
100,91.5,68,,,,
100,91.5,72,,,,
94,78.8,56,,,,
100,88.9,73,,,,
100,88.0,68,,,,
100,86.7,68,,,,
100,85.0,56,,,,
100,85.6,60,,,,
100,88.5,59,,,,
100,89.5,68,,,,
100,87.3,77,,,,
100,93.1,68,,,,
100,78.7,49,,,,
100,63.7,38,,,,
Max,Avg,Min,,,,
13,5.7,1,,,,
10,5.1,0,,,,
16,8.0,2,,,,
14,6.3,2,,,,
23,8.9,2,,,,
10,4.4,1,,,,
12,5.5,1,,,,
12,7.0,2,,,,
18,9.6,2,,,,
17,8.8,2,,,,
13,6.6,1,,,,
14,6.5,1,,,,
25,16.7,5,,,,
20,13.0,6,,,,
15,9.2,1,,,,
14,5.6,1,,,,
14,6.3,1,,,,
15,5.8,1,,,,
14,6.8,1,,,,
14,7.2,2,,,,
16,8.0,1,,,,
12,5.2,1,,,,
12,5.8,2,,,,
9,4.4,2,,,,
10,4.9,1,,,,
9,4.8,1,,,,
12,5.2,1,,,,
13,7.4,1,,,,
14,7.4,1,,,,
13,6.1,2,,,,
16,7.8,2,,,,
Max,Avg,Min,,,,
30.0,30.0,29.9,,,,
30.0,30.0,29.9,,,,
29.9,29.8,29.8,,,,
29.8,29.6,29.5,,,,
29.7,29.5,29.4,,,,
30.0,29.9,29.7,,,,
30.1,30.1,30.0,,,,
30.1,30.0,29.8,,,,
29.8,29.7,29.6,,,,
30.0,29.9,29.8,,,,
30.0,29.9,29.9,,,,
29.9,29.9,29.8,,,,
30.0,30.0,29.9,,,,
30.0,30.0,29.9,,,,
30.0,29.9,29.9,,,,
30.1,29.9,29.8,,,,
29.9,29.8,29.7,,,,
29.7,29.6,29.6,,,,
29.7,29.7,29.6,,,,
29.8,29.7,29.7,,,,
30.0,29.9,29.8,,,,
30.0,30.0,30.0,,,,
30.1,30.0,30.0,,,,
30.0,30.0,29.9,,,,
30.0,29.9,29.9,,,,
29.9,29.9,29.8,,,,
29.8,29.7,29.7,,,,
29.7,29.7,29.7,,,,
30.0,29.8,29.7,,,,
30.2,30.1,30.0,,,,
30.2,30.2,30.2,,,,
Total,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
