Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Aug 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 1,Max Avg Min 57 47.3 36 64 46.4 30 75 51.9 32 81 55.6 36 66 50.8 37 54 48.2 43 57 47.8 39 55 43.6 32 59 43.8 30 64 47.9 34 59 49.4 36 64 47.5 32 77 52.0 32 81 55.6 39 59 49.1 41 57 48.7 45 63 47.0 32 55 49.2 43 55 48.8 43 79 59.2 45 63 53.9 45 84 58.3 39 81 61.1 45 75 60.8 50 70 59.3 50 73 59.5 48 81 61.1 45 81 63.6 48 68 58.3 48 68 55.7 45 72 54.8 39 52 52.0 52,Max Avg Min 39 34.7 30 37 31.5 27 36 28.8 16 36 30.7 23 45 37.0 30 43 41.7 39 41 35.7 30 36 31.9 28 36 32.8 28 37 32.3 27 41 37.5 34 39 33.1 25 32 26.5 19 48 33.3 21 46 44.7 39 46 44.3 43 45 38.3 32 45 41.9 39 46 41.9 39 43 36.2 25 45 39.3 32 45 38.8 28 43 37.9 32 43 40.1 37 45 43.5 43 45 43.0 39 45 40.5 34 48 41.1 28 48 45.8 39 48 41.9 30 36 31.1 21 32 32.0 32,Max Avg Min 93 64.7 38 93 61.7 26 81 48.7 12 75 45.8 13 93 61.0 32 100 79.2 58 87 64.8 38 87 65.8 41 93 68.6 36 87 58.9 24 93 65.8 39 100 64.0 24 75 44.5 12 82 49.7 11 100 86.1 63 93 83.9 59 100 76.0 34 93 76.4 63 93 77.6 58 87 51.0 14 76 58.4 37 93 57.8 14 71 46.4 20 66 48.6 27 76 57.1 38 82 56.9 29 81 51.7 18 76 48.0 23 93 64.6 45 93 64.2 30 75 45.5 15 47 47.0 47,Max Avg Min 12 6.5 0 8 3.6 0 9 3.1 0 12 3.1 0 20 6.2 0 12 6.1 2 13 7.3 0 12 5.5 0 12 4.6 0 14 5.9 0 13 7.2 2 6 3.3 0 7 2.3 0 15 5.3 0 13 7.7 0 15 6.0 0 10 4.3 0 21 5.4 0 9 4.0 2 13 4.6 0 15 5.0 0 10 4.9 2 17 5.4 1 16 5.6 0 10 5.5 0 14 5.7 0 14 4.6 0 18 6.5 1 16 9.0 3 14 7.0 0 13 5.0 0 2 2.0 2,Max Avg Min 28.7 28.6 28.6 28.6 28.6 28.5 28.5 28.4 28.3 28.4 28.3 28.3 28.4 28.4 28.3 28.5 28.5 28.4 28.5 28.5 28.4 28.5 28.5 28.5 28.6 28.6 28.5 28.6 28.4 28.3 28.6 28.5 28.4 28.6 28.6 28.5 28.5 28.3 28.2 28.3 28.2 28.2 28.4 28.4 28.3 28.5 28.4 28.3 28.5 28.5 28.4 28.4 27.3 0.0 28.5 25.1 0.0 28.4 27.2 0.0 28.5 28.4 28.4 28.5 28.4 28.3 28.4 28.4 28.3 28.4 28.4 28.3 28.5 28.4 28.3 28.5 27.3 0.0 28.4 28.4 28.3 28.4 28.3 28.3 28.4 28.4 28.4 28.4 28.4 28.4 28.4 28.4 28.4 28.4 28.4 28.4,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Aug,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
1,,,,,,
Max,Avg,Min,,,,
57,47.3,36,,,,
64,46.4,30,,,,
75,51.9,32,,,,
81,55.6,36,,,,
66,50.8,37,,,,
54,48.2,43,,,,
57,47.8,39,,,,
55,43.6,32,,,,
59,43.8,30,,,,
64,47.9,34,,,,
59,49.4,36,,,,
64,47.5,32,,,,
77,52.0,32,,,,
81,55.6,39,,,,
59,49.1,41,,,,
57,48.7,45,,,,
63,47.0,32,,,,
55,49.2,43,,,,
55,48.8,43,,,,
79,59.2,45,,,,
63,53.9,45,,,,
84,58.3,39,,,,
81,61.1,45,,,,
75,60.8,50,,,,
70,59.3,50,,,,
73,59.5,48,,,,
81,61.1,45,,,,
81,63.6,48,,,,
68,58.3,48,,,,
68,55.7,45,,,,
72,54.8,39,,,,
52,52.0,52,,,,
Max,Avg,Min,,,,
39,34.7,30,,,,
37,31.5,27,,,,
36,28.8,16,,,,
36,30.7,23,,,,
45,37.0,30,,,,
43,41.7,39,,,,
41,35.7,30,,,,
36,31.9,28,,,,
36,32.8,28,,,,
37,32.3,27,,,,
41,37.5,34,,,,
39,33.1,25,,,,
32,26.5,19,,,,
48,33.3,21,,,,
46,44.7,39,,,,
46,44.3,43,,,,
45,38.3,32,,,,
45,41.9,39,,,,
46,41.9,39,,,,
43,36.2,25,,,,
45,39.3,32,,,,
45,38.8,28,,,,
43,37.9,32,,,,
43,40.1,37,,,,
45,43.5,43,,,,
45,43.0,39,,,,
45,40.5,34,,,,
48,41.1,28,,,,
48,45.8,39,,,,
48,41.9,30,,,,
36,31.1,21,,,,
32,32.0,32,,,,
Max,Avg,Min,,,,
93,64.7,38,,,,
93,61.7,26,,,,
81,48.7,12,,,,
75,45.8,13,,,,
93,61.0,32,,,,
100,79.2,58,,,,
87,64.8,38,,,,
87,65.8,41,,,,
93,68.6,36,,,,
87,58.9,24,,,,
93,65.8,39,,,,
100,64.0,24,,,,
75,44.5,12,,,,
82,49.7,11,,,,
100,86.1,63,,,,
93,83.9,59,,,,
100,76.0,34,,,,
93,76.4,63,,,,
93,77.6,58,,,,
87,51.0,14,,,,
76,58.4,37,,,,
93,57.8,14,,,,
71,46.4,20,,,,
66,48.6,27,,,,
76,57.1,38,,,,
82,56.9,29,,,,
81,51.7,18,,,,
76,48.0,23,,,,
93,64.6,45,,,,
93,64.2,30,,,,
75,45.5,15,,,,
47,47.0,47,,,,
Max,Avg,Min,,,,
12,6.5,0,,,,
8,3.6,0,,,,
9,3.1,0,,,,
12,3.1,0,,,,
20,6.2,0,,,,
12,6.1,2,,,,
13,7.3,0,,,,
12,5.5,0,,,,
12,4.6,0,,,,
14,5.9,0,,,,
13,7.2,2,,,,
6,3.3,0,,,,
7,2.3,0,,,,
15,5.3,0,,,,
13,7.7,0,,,,
15,6.0,0,,,,
10,4.3,0,,,,
21,5.4,0,,,,
9,4.0,2,,,,
13,4.6,0,,,,
15,5.0,0,,,,
10,4.9,2,,,,
17,5.4,1,,,,
16,5.6,0,,,,
10,5.5,0,,,,
14,5.7,0,,,,
14,4.6,0,,,,
18,6.5,1,,,,
16,9.0,3,,,,
14,7.0,0,,,,
13,5.0,0,,,,
2,2.0,2,,,,
Max,Avg,Min,,,,
28.7,28.6,28.6,,,,
28.6,28.6,28.5,,,,
28.5,28.4,28.3,,,,
28.4,28.3,28.3,,,,
28.4,28.4,28.3,,,,
28.5,28.5,28.4,,,,
28.5,28.5,28.4,,,,
28.5,28.5,28.5,,,,
28.6,28.6,28.5,,,,
28.6,28.4,28.3,,,,
28.6,28.5,28.4,,,,
28.6,28.6,28.5,,,,
28.5,28.3,28.2,,,,
28.3,28.2,28.2,,,,
28.4,28.4,28.3,,,,
28.5,28.4,28.3,,,,
28.5,28.5,28.4,,,,
28.4,27.3,0.0,,,,
28.5,25.1,0.0,,,,
28.4,27.2,0.0,,,,
28.5,28.4,28.4,,,,
28.5,28.4,28.3,,,,
28.4,28.4,28.3,,,,
28.4,28.4,28.3,,,,
28.5,28.4,28.3,,,,
28.5,27.3,0.0,,,,
28.4,28.4,28.3,,,,
28.4,28.3,28.3,,,,
28.4,28.4,28.4,,,,
28.4,28.4,28.4,,,,
28.4,28.4,28.4,,,,
28.4,28.4,28.4,,,,
Total,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
