Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Aug 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,Max Avg Min 81 67.8 55 77 67.7 61 77 67.7 59 73 67.2 61 77 66.3 57 72 67.3 64 68 64.8 63 72 68.4 64 70 66.1 63 70 64.2 61 68 61.5 55 72 62.7 54 73 62.7 52 73 65.9 57 77 69.0 59 73 66.3 59 75 68.4 63 72 66.2 61 73 63.9 55 81 67.8 55 84 72.6 63 90 74.6 61 86 74.0 63 75 65.7 61 81 68.5 59 81 71.4 64 75 67.1 61 72 64.8 61 77 66.1 55 81 68.6 63 75 66.6 59,Max Avg Min 63 57.9 52 64 61.3 59 64 61.5 57 64 61.3 55 64 60.2 55 66 63.7 63 66 64.6 63 70 67.8 64 64 61.8 59 63 58.3 54 59 55.3 54 55 52.6 50 57 53.3 46 66 60.4 50 64 61.8 55 63 60.8 57 66 63.6 61 66 61.1 52 57 53.2 50 61 56.4 52 64 59.1 55 68 59.9 54 68 62.1 59 63 59.6 57 66 61.7 57 64 62.2 57 66 62.9 61 64 60.9 57 63 60.5 55 66 63.0 61 66 61.4 57,Max Avg Min 94 71.8 48 100 80.7 61 100 81.8 53 100 82.3 64 100 82.0 57 100 88.2 73 100 99.1 94 100 98.1 88 94 85.2 68 100 82.8 56 100 81.4 64 100 71.7 49 88 72.7 53 100 83.6 52 100 78.8 53 100 82.6 65 100 85.0 69 100 84.4 64 88 68.8 50 94 68.5 47 82 64.2 42 88 62.9 38 100 67.3 48 100 81.7 61 100 80.3 58 94 73.1 50 100 86.2 69 100 88.2 64 100 83.1 61 100 83.0 61 100 84.5 65,Max Avg Min 15 5.2 0 14 6.3 0 13 6.0 0 16 6.1 0 13 4.3 0 12 4.1 0 16 9.0 2 25 14.5 8 17 10.2 2 14 5.9 1 12 5.4 1 14 6.5 1 15 5.9 0 9 3.9 0 12 5.9 0 13 4.7 0 15 6.8 1 14 8.6 2 18 10.8 3 15 7.3 2 13 6.1 0 12 4.7 0 10 5.6 0 14 5.3 0 13 3.9 1 14 5.8 1 13 4.5 0 13 4.6 0 12 4.5 0 12 4.0 0 14 6.1 1,Max Avg Min 29.1 29.1 29.0 29.1 29.1 29.1 29.1 29.1 29.1 29.2 29.1 29.1 29.2 29.1 29.1 29.1 29.1 29.0 29.0 29.0 29.0 29.0 28.9 28.9 29.2 29.1 28.9 29.3 29.2 29.2 29.3 29.3 29.2 29.3 29.3 29.3 29.3 29.3 29.3 29.3 29.3 29.2 29.3 29.3 29.2 29.2 29.2 29.2 29.2 29.1 29.1 29.2 29.1 29.0 29.2 29.2 29.1 29.3 29.2 29.2 29.2 29.2 29.1 29.2 29.1 29.1 29.1 29.1 29.1 29.2 29.1 29.1 29.1 29.1 29.0 29.1 29.1 29.0 29.1 29.1 29.1 29.2 29.2 29.1 29.2 29.2 29.2 29.2 29.2 29.1 29.2 29.1 29.1,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Aug,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
