Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Mar 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,Max Avg Min 62 48.2 36 64 49.1 35 63 51.0 38 61 53.1 46 50 45.9 42 53 47.3 42 56 47.5 37 66 53.8 41 70 57.5 40 71 59.3 50 72 57.2 44 75 61.0 50 74 59.1 43 77 61.2 46 68 61.3 55 71 60.6 51 75 59.0 45 68 60.9 57 71 61.5 54 66 58.3 53 67 59.5 56 61 53.7 47 62 50.4 40 55 53.6 52 64 55.0 50 62 55.0 48 64 53.0 45 71 60.3 50 76 61.4 47 66 59.8 54 71 59.0 50,Max Avg Min 42 39.4 36 46 40.6 35 48 44.2 38 51 47.4 45 46 38.1 31 45 40.9 37 46 42.8 37 52 47.7 41 56 51.5 40 59 54.8 50 59 52.6 44 54 50.1 43 55 49.6 42 58 53.0 46 58 54.7 52 57 53.7 51 56 49.7 37 55 48.5 42 59 54.0 50 56 52.5 46 59 54.6 49 52 48.8 45 50 45.5 40 52 49.4 46 52 50.5 48 55 49.3 45 51 46.8 41 48 44.5 42 56 50.5 46 55 40.5 32 42 37.0 33,Max Avg Min 100 74.4 44 100 75.8 37 100 79.8 54 96 82.0 62 90 75.4 50 96 78.6 64 100 84.9 55 100 81.8 54 100 82.4 57 100 85.8 57 100 86.5 51 100 71.4 33 100 73.6 40 100 77.8 45 93 79.5 63 100 80.0 51 100 76.5 26 90 65.1 47 97 77.5 57 97 82.2 56 100 85.1 54 100 84.4 62 100 85.4 50 93 85.7 77 100 86.1 56 97 82.4 56 100 82.1 45 77 57.7 39 97 70.0 40 90 52.2 29 64 45.2 29,Max Avg Min 8 3.9 0 7 2.8 0 12 4.0 0 24 15.6 9 23 13.3 8 17 11.7 5 9 3.7 0 12 5.4 0 5 1.6 0 8 4.2 0 8 3.7 0 12 6.1 0 7 2.5 0 7 3.2 0 14 9.0 3 9 5.3 0 8 3.1 0 17 9.1 6 8 5.4 0 13 8.3 5 21 15.3 5 14 8.7 3 13 4.8 0 20 11.6 0 8 5.1 0 15 9.7 5 14 7.4 0 24 15.7 9 10 5.1 0 24 15.6 3 29 20.2 9,Max Avg Min 30.4 30.3 30.3 30.3 30.3 30.2 30.2 30.0 29.9 29.9 29.9 29.7 30.1 29.9 29.7 30.3 30.2 30.1 30.3 30.3 30.3 30.3 30.2 30.1 30.2 30.1 30.1 30.1 30.1 30.0 30.1 30.1 30.0 30.1 30.1 30.0 30.1 30.0 30.0 30.1 30.0 29.9 30.1 30.0 30.0 30.1 30.1 30.0 30.1 30.0 29.9 30.0 30.0 29.9 30.0 30.0 29.9 30.0 29.9 29.9 29.9 29.9 29.8 30.1 30.0 29.9 30.2 30.1 30.1 30.2 30.1 30.1 30.1 30.1 30.0 30.1 30.0 30.0 30.2 30.1 30.0 30.2 30.1 30.1 30.1 30.1 30.0 30.1 30.0 29.9 30.0 29.9 29.9,Total 0.00 0.00 0.00 0.00 0.24 0.01 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.13 0.28 0.00 0.29 0.00 0.05 0.00 0.00 0.00 0.00
Mar,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
Max,Avg,Min,,,,
62,48.2,36,,,,
64,49.1,35,,,,
63,51.0,38,,,,
61,53.1,46,,,,
50,45.9,42,,,,
53,47.3,42,,,,
56,47.5,37,,,,
66,53.8,41,,,,
70,57.5,40,,,,
71,59.3,50,,,,
72,57.2,44,,,,
75,61.0,50,,,,
74,59.1,43,,,,
77,61.2,46,,,,
68,61.3,55,,,,
71,60.6,51,,,,
75,59.0,45,,,,
68,60.9,57,,,,
71,61.5,54,,,,
66,58.3,53,,,,
67,59.5,56,,,,
61,53.7,47,,,,
62,50.4,40,,,,
55,53.6,52,,,,
64,55.0,50,,,,
62,55.0,48,,,,
64,53.0,45,,,,
71,60.3,50,,,,
76,61.4,47,,,,
66,59.8,54,,,,
71,59.0,50,,,,
Max,Avg,Min,,,,
42,39.4,36,,,,
46,40.6,35,,,,
48,44.2,38,,,,
51,47.4,45,,,,
46,38.1,31,,,,
45,40.9,37,,,,
46,42.8,37,,,,
52,47.7,41,,,,
56,51.5,40,,,,
59,54.8,50,,,,
59,52.6,44,,,,
54,50.1,43,,,,
55,49.6,42,,,,
58,53.0,46,,,,
58,54.7,52,,,,
57,53.7,51,,,,
56,49.7,37,,,,
55,48.5,42,,,,
59,54.0,50,,,,
56,52.5,46,,,,
59,54.6,49,,,,
52,48.8,45,,,,
50,45.5,40,,,,
52,49.4,46,,,,
52,50.5,48,,,,
55,49.3,45,,,,
51,46.8,41,,,,
48,44.5,42,,,,
56,50.5,46,,,,
55,40.5,32,,,,
42,37.0,33,,,,
Max,Avg,Min,,,,
100,74.4,44,,,,
100,75.8,37,,,,
100,79.8,54,,,,
96,82.0,62,,,,
90,75.4,50,,,,
96,78.6,64,,,,
100,84.9,55,,,,
100,81.8,54,,,,
100,82.4,57,,,,
100,85.8,57,,,,
100,86.5,51,,,,
100,71.4,33,,,,
100,73.6,40,,,,
100,77.8,45,,,,
93,79.5,63,,,,
100,80.0,51,,,,
100,76.5,26,,,,
90,65.1,47,,,,
97,77.5,57,,,,
97,82.2,56,,,,
100,85.1,54,,,,
100,84.4,62,,,,
100,85.4,50,,,,
93,85.7,77,,,,
100,86.1,56,,,,
97,82.4,56,,,,
100,82.1,45,,,,
77,57.7,39,,,,
97,70.0,40,,,,
90,52.2,29,,,,
64,45.2,29,,,,
Max,Avg,Min,,,,
8,3.9,0,,,,
7,2.8,0,,,,
12,4.0,0,,,,
24,15.6,9,,,,
23,13.3,8,,,,
17,11.7,5,,,,
9,3.7,0,,,,
12,5.4,0,,,,
5,1.6,0,,,,
8,4.2,0,,,,
8,3.7,0,,,,
12,6.1,0,,,,
7,2.5,0,,,,
7,3.2,0,,,,
14,9.0,3,,,,
9,5.3,0,,,,
8,3.1,0,,,,
17,9.1,6,,,,
8,5.4,0,,,,
13,8.3,5,,,,
21,15.3,5,,,,
14,8.7,3,,,,
13,4.8,0,,,,
20,11.6,0,,,,
8,5.1,0,,,,
15,9.7,5,,,,
14,7.4,0,,,,
24,15.7,9,,,,
10,5.1,0,,,,
24,15.6,3,,,,
29,20.2,9,,,,
Max,Avg,Min,,,,
30.4,30.3,30.3,,,,
30.3,30.3,30.2,,,,
30.2,30.0,29.9,,,,
29.9,29.9,29.7,,,,
30.1,29.9,29.7,,,,
30.3,30.2,30.1,,,,
30.3,30.3,30.3,,,,
30.3,30.2,30.1,,,,
30.2,30.1,30.1,,,,
30.1,30.1,30.0,,,,
30.1,30.1,30.0,,,,
30.1,30.1,30.0,,,,
30.1,30.0,30.0,,,,
30.1,30.0,29.9,,,,
30.1,30.0,30.0,,,,
30.1,30.1,30.0,,,,
30.1,30.0,29.9,,,,
30.0,30.0,29.9,,,,
30.0,30.0,29.9,,,,
30.0,29.9,29.9,,,,
29.9,29.9,29.8,,,,
30.1,30.0,29.9,,,,
30.2,30.1,30.1,,,,
30.2,30.1,30.1,,,,
30.1,30.1,30.0,,,,
30.1,30.0,30.0,,,,
30.2,30.1,30.0,,,,
30.2,30.1,30.1,,,,
30.1,30.1,30.0,,,,
30.1,30.0,29.9,,,,
30.0,29.9,29.9,,,,
Total,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.24,,,,,,
0.01,,,,,,
0.02,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
1.13,,,,,,
0.28,,,,,,
0.00,,,,,,
0.29,,,,,,
0.00,,,,,,
0.05,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
