Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Nov 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,Max Avg Min 67 61.7 57 64 56.4 49 73 57.3 48 68 53.0 43 55 48.0 43 60 55.3 52 57 50.3 44 51 44.9 41 49 46.7 44 52 43.6 36 52 42.0 35 53 40.2 35 52 46.8 42 57 54.2 51 59 55.2 52 55 50.3 46 51 47.8 45 48 44.0 41 47 42.2 37 47 40.0 34 41 34.0 28 42 37.3 30 30 27.7 24 34 27.0 19 42 36.0 31 47 44.8 41 45 40.4 36 47 38.9 34 45 35.9 30 49 47.0 43,Max Avg Min 58 54.0 51 56 53.7 45 52 47.2 43 50 46.4 41 52 46.5 43 55 52.7 51 49 45.6 42 43 41.5 39 46 42.8 38 46 41.5 36 48 40.1 34 45 38.9 35 48 44.4 40 54 51.7 49 54 51.8 50 47 43.5 38 47 43.5 41 43 39.5 37 39 37.2 35 39 36.8 33 37 32.3 27 39 32.9 0 22 17.9 13 26 21.3 16 35 25.3 0 45 40.4 34 42 38.4 35 40 36.6 34 39 32.5 0 47 43.9 39,Max Avg Min 94 77.1 60 100 91.2 70 90 71.7 41 97 80.1 50 100 94.5 83 100 91.1 75 96 84.5 57 97 88.3 68 93 86.4 73 100 91.8 76 100 93.4 69 100 95.1 69 100 91.6 87 97 91.2 87 100 88.5 77 93 78.4 57 100 85.5 74 93 84.8 76 93 83.0 71 96 88.9 71 100 93.0 82 93 87.6 70 78 67.2 53 93 79.6 70 92 82.1 67 97 85.1 71 100 92.7 80 100 91.5 74 100 90.8 76 93 89.2 81,Max Avg Min 23 11.9 0 12 4.0 0 7 1.6 0 6 1.5 0 7 2.3 0 15 6.3 0 12 6.5 0 10 6.7 0 18 11.4 6 9 2.3 0 13 3.5 0 7 1.0 0 14 7.2 0 12 8.1 0 21 9.4 0 14 7.0 0 25 12.6 0 16 9.6 3 28 15.5 8 13 7.2 0 13 5.5 0 18 12.3 5 10 4.2 0 5 1.6 0 8 1.8 0 22 11.9 0 82 5.0 0 8 4.6 0 17 3.4 0 23 14.8 9,Max Avg Min 30.2 30.0 29.9 30.3 30.2 30.0 30.0 29.9 29.9 29.9 29.8 29.7 29.7 29.7 29.6 29.6 29.6 29.5 29.8 29.7 29.5 29.9 29.9 29.9 29.9 29.6 29.5 30.1 29.9 29.6 30.3 30.1 30.1 30.5 30.4 30.3 30.4 30.3 30.2 30.2 30.1 30.1 30.1 30.0 29.9 30.1 30.0 29.9 29.9 29.7 29.6 29.8 29.7 29.6 29.7 29.6 29.4 29.5 29.4 29.4 29.6 29.5 29.5 29.7 29.6 29.4 30.0 29.9 29.6 30.1 30.1 30.0 30.2 30.0 29.9 29.9 29.7 29.6 29.8 29.6 29.6 30.1 29.9 29.8 30.2 30.1 30.0 30.0 29.9 29.8,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Nov,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
Max,Avg,Min,,,,
67,61.7,57,,,,
64,56.4,49,,,,
73,57.3,48,,,,
68,53.0,43,,,,
55,48.0,43,,,,
60,55.3,52,,,,
57,50.3,44,,,,
51,44.9,41,,,,
49,46.7,44,,,,
52,43.6,36,,,,
52,42.0,35,,,,
53,40.2,35,,,,
52,46.8,42,,,,
57,54.2,51,,,,
59,55.2,52,,,,
55,50.3,46,,,,
51,47.8,45,,,,
48,44.0,41,,,,
47,42.2,37,,,,
47,40.0,34,,,,
41,34.0,28,,,,
42,37.3,30,,,,
30,27.7,24,,,,
34,27.0,19,,,,
42,36.0,31,,,,
47,44.8,41,,,,
45,40.4,36,,,,
47,38.9,34,,,,
45,35.9,30,,,,
49,47.0,43,,,,
Max,Avg,Min,,,,
58,54.0,51,,,,
56,53.7,45,,,,
52,47.2,43,,,,
50,46.4,41,,,,
52,46.5,43,,,,
55,52.7,51,,,,
49,45.6,42,,,,
43,41.5,39,,,,
46,42.8,38,,,,
46,41.5,36,,,,
48,40.1,34,,,,
45,38.9,35,,,,
48,44.4,40,,,,
54,51.7,49,,,,
54,51.8,50,,,,
47,43.5,38,,,,
47,43.5,41,,,,
43,39.5,37,,,,
39,37.2,35,,,,
39,36.8,33,,,,
37,32.3,27,,,,
39,32.9,0,,,,
22,17.9,13,,,,
26,21.3,16,,,,
35,25.3,0,,,,
45,40.4,34,,,,
42,38.4,35,,,,
40,36.6,34,,,,
39,32.5,0,,,,
47,43.9,39,,,,
Max,Avg,Min,,,,
94,77.1,60,,,,
100,91.2,70,,,,
90,71.7,41,,,,
97,80.1,50,,,,
100,94.5,83,,,,
100,91.1,75,,,,
96,84.5,57,,,,
97,88.3,68,,,,
93,86.4,73,,,,
100,91.8,76,,,,
100,93.4,69,,,,
100,95.1,69,,,,
100,91.6,87,,,,
97,91.2,87,,,,
100,88.5,77,,,,
93,78.4,57,,,,
100,85.5,74,,,,
93,84.8,76,,,,
93,83.0,71,,,,
96,88.9,71,,,,
100,93.0,82,,,,
93,87.6,70,,,,
78,67.2,53,,,,
93,79.6,70,,,,
92,82.1,67,,,,
97,85.1,71,,,,
100,92.7,80,,,,
100,91.5,74,,,,
100,90.8,76,,,,
93,89.2,81,,,,
Max,Avg,Min,,,,
23,11.9,0,,,,
12,4.0,0,,,,
7,1.6,0,,,,
6,1.5,0,,,,
7,2.3,0,,,,
15,6.3,0,,,,
12,6.5,0,,,,
10,6.7,0,,,,
18,11.4,6,,,,
9,2.3,0,,,,
13,3.5,0,,,,
7,1.0,0,,,,
14,7.2,0,,,,
12,8.1,0,,,,
21,9.4,0,,,,
14,7.0,0,,,,
25,12.6,0,,,,
16,9.6,3,,,,
28,15.5,8,,,,
13,7.2,0,,,,
13,5.5,0,,,,
18,12.3,5,,,,
10,4.2,0,,,,
5,1.6,0,,,,
8,1.8,0,,,,
22,11.9,0,,,,
82,5.0,0,,,,
8,4.6,0,,,,
17,3.4,0,,,,
23,14.8,9,,,,
Max,Avg,Min,,,,
30.2,30.0,29.9,,,,
30.3,30.2,30.0,,,,
30.0,29.9,29.9,,,,
29.9,29.8,29.7,,,,
29.7,29.7,29.6,,,,
29.6,29.6,29.5,,,,
29.8,29.7,29.5,,,,
29.9,29.9,29.9,,,,
29.9,29.6,29.5,,,,
30.1,29.9,29.6,,,,
30.3,30.1,30.1,,,,
30.5,30.4,30.3,,,,
30.4,30.3,30.2,,,,
30.2,30.1,30.1,,,,
30.1,30.0,29.9,,,,
30.1,30.0,29.9,,,,
29.9,29.7,29.6,,,,
29.8,29.7,29.6,,,,
29.7,29.6,29.4,,,,
29.5,29.4,29.4,,,,
29.6,29.5,29.5,,,,
29.7,29.6,29.4,,,,
30.0,29.9,29.6,,,,
30.1,30.1,30.0,,,,
30.2,30.0,29.9,,,,
29.9,29.7,29.6,,,,
29.8,29.6,29.6,,,,
30.1,29.9,29.8,,,,
30.2,30.1,30.0,,,,
30.0,29.9,29.8,,,,
Total,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
