Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Dec 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,Max Avg Min 59 56.0 55 58 55.6 54 61 56.0 52 56 54.9 53 60 55.9 52 65 57.8 55 66 60.5 55 61 56.3 53 56 53.0 49 58 54.4 51 62 55.8 52 62 59.2 56 60 56.9 55 58 54.3 50 57 51.4 47 56 49.5 44 55 50.1 44 58 53.0 49 57 54.5 52 56 51.5 47 62 54.0 48 57 52.7 47 55 48.7 41 54 50.1 45 54 50.0 47 56 50.8 44 59 49.3 41 57 49.5 41 56 52.7 50 56 51.6 48 56 50.9 41,Max Avg Min 52 49.8 47 52 51.1 50 52 50.7 49 52 50.8 50 53 51.4 50 54 51.3 48 56 54.0 52 54 51.4 50 50 48.6 45 51 48.3 45 57 52.0 50 57 55.9 55 54 52.6 48 52 45.2 41 43 41.0 38 43 38.8 35 42 39.3 37 52 47.7 42 52 49.8 48 50 48.3 45 48 44.9 39 51 45.5 40 44 41.9 39 44 41.0 39 44 43.0 40 43 38.4 35 47 40.6 33 48 43.6 39 50 47.8 45 47 44.3 42 49 45.1 39,Max Avg Min 89 79.7 72 89 85.1 80 93 82.8 67 96 86.2 80 97 85.3 75 94 80.1 54 93 79.5 65 93 84.2 70 100 85.5 67 90 80.0 70 97 87.1 80 97 88.9 83 93 86.0 70 88 71.8 60 80 68.0 57 89 68.0 47 79 66.9 55 93 82.3 66 93 84.1 77 96 88.9 75 90 72.8 44 93 77.3 55 93 78.0 62 86 71.5 59 86 77.0 66 77 63.4 47 86 73.0 44 96 80.6 59 89 83.5 75 86 76.3 64 93 80.8 67,Max Avg Min 29 16.5 9 15 7.8 0 10 3.7 0 12 3.8 0 10 3.7 0 21 10.7 0 31 16.3 5 16 7.0 0 10 3.9 0 15 5.0 0 12 5.0 0 9 4.1 0 13 5.5 0 25 15.7 7 17 11.0 3 15 4.9 0 13 4.0 0 21 12.3 3 6 3.8 0 6 2.6 0 10 3.8 0 28 12.6 0 13 6.2 0 13 7.3 0 30 14.0 5 14 7.2 0 16 5.7 0 14 5.9 0 17 8.7 0 17 7.6 0 12 4.9 0,Max Avg Min 29.9 29.9 29.8 30.1 30.0 29.9 30.1 30.0 29.9 30.0 29.9 29.8 30.1 30.0 30.0 30.0 30.0 29.9 29.9 29.9 29.9 30.1 30.0 29.9 30.2 30.2 30.1 30.3 30.2 30.2 30.2 30.2 30.1 30.3 30.3 30.2 30.3 30.2 30.1 30.1 30.1 30.0 30.3 30.2 30.1 30.4 30.3 30.3 30.2 30.1 30.0 30.1 30.0 29.9 30.2 30.2 30.1 30.3 30.2 30.1 30.1 29.9 29.8 29.9 29.8 29.6 29.9 29.9 29.8 29.9 29.9 29.9 29.9 29.8 29.7 30.0 29.9 29.8 30.1 30.1 30.0 30.2 30.1 30.1 30.1 30.1 30.0 30.2 30.1 30.1 30.2 30.1 30.1,Total 0.10 0.29 0.16 0.34 0.01 0.00 0.53 0.52 0.02 0.00 0.21 0.06 0.00 0.01 0.02 0.00 0.00 0.15 0.21 0.00 0.00 0.00 0.64 0.00 0.01 0.03 0.00 0.00 0.00 0.47 0.00
Dec,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
