Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Sep 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,Max Avg Min 77 64.4 57 94 67.9 57 79 71.0 63 79 67.7 57 77 63.5 58 74 65.1 60 83 66.8 56 83 68.8 58 82 66.4 55 85 66.6 54 79 66.4 56 76 64.2 55 74 66.3 58 77 63.4 53 72 62.5 55 75 62.8 50 73 62.1 54 74 61.0 52 79 64.1 51 91 71.9 55 84 68.2 57 78 64.6 57 79 65.9 54 86 66.5 53 79 64.6 53 84 65.1 57 74 63.4 57 70 62.0 57 76 65.2 57 77 66.3 57,Max Avg Min 57 54.9 52 60 55.4 50 58 54.8 53 59 56.6 54 58 55.2 54 58 56.2 55 57 54.9 50 56 53.6 47 54 51.3 46 55 51.5 43 54 50.3 45 52 49.0 45 53 49.8 47 52 48.1 39 55 49.9 47 55 50.4 45 54 51.2 48 55 50.8 47 55 51.0 48 55 46.0 34 56 47.7 40 56 54.5 47 55 51.1 47 56 49.9 37 57 52.5 49 59 54.5 43 56 55.1 53 55 53.5 50 54 51.1 49 57 53.6 50,Max Avg Min 90 73.1 42 90 67.0 29 72 57.1 45 93 69.4 46 90 76.0 46 86 73.8 55 93 69.1 32 84 61.8 28 87 61.0 34 89 62.6 23 87 59.3 31 77 59.2 38 78 57.0 39 78 60.9 25 81 65.0 41 89 67.0 37 87 69.4 46 87 71.0 44 96 65.8 37 81 46.5 14 83 50.8 21 93 72.8 38 90 62.4 34 89 60.5 18 89 67.1 36 93 72.7 24 90 75.7 48 89 74.4 55 78 61.7 42 87 65.9 39,Max Avg Min 14 5.4 0 15 5.0 0 14 8.2 0 10 6.7 0 17 7.8 0 13 5.2 0 15 5.5 0 17 5.8 0 18 6.0 0 16 6.3 0 20 7.1 0 21 7.7 0 21 10.2 0 18 5.8 0 20 7.6 0 20 7.5 0 18 7.2 0 14 6.0 0 16 6.1 0 13 3.6 0 16 6.0 0 14 4.8 0 15 5.2 0 13 3.7 0 13 4.4 0 10 3.4 0 12 4.6 0 14 5.8 0 14 7.8 0 16 7.6 0,Max Avg Min 29.9 29.8 29.8 29.8 29.8 29.7 29.9 29.8 29.8 29.9 29.8 29.8 30.0 29.9 29.8 30.0 30.0 29.9 30.0 29.9 29.9 29.9 29.9 29.8 29.9 29.8 29.8 29.9 29.8 29.8 29.9 29.8 29.8 29.9 29.9 29.8 30.0 29.9 29.9 29.9 29.9 29.8 29.9 29.9 29.8 30.0 29.9 29.9 29.9 29.9 29.9 29.9 29.9 29.8 29.9 29.8 29.8 29.8 29.8 29.7 29.9 29.9 29.8 29.9 29.9 29.8 29.9 29.8 29.8 29.8 29.8 29.7 29.9 29.9 29.8 30.0 29.9 29.9 29.9 29.9 29.8 29.9 29.8 29.8 29.9 29.8 29.8 29.9 29.8 29.8,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Sep,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
Max,Avg,Min,,,,
77,64.4,57,,,,
94,67.9,57,,,,
79,71.0,63,,,,
79,67.7,57,,,,
77,63.5,58,,,,
74,65.1,60,,,,
83,66.8,56,,,,
83,68.8,58,,,,
82,66.4,55,,,,
85,66.6,54,,,,
79,66.4,56,,,,
76,64.2,55,,,,
74,66.3,58,,,,
77,63.4,53,,,,
72,62.5,55,,,,
75,62.8,50,,,,
73,62.1,54,,,,
74,61.0,52,,,,
79,64.1,51,,,,
91,71.9,55,,,,
84,68.2,57,,,,
78,64.6,57,,,,
79,65.9,54,,,,
86,66.5,53,,,,
79,64.6,53,,,,
84,65.1,57,,,,
74,63.4,57,,,,
70,62.0,57,,,,
76,65.2,57,,,,
77,66.3,57,,,,
Max,Avg,Min,,,,
57,54.9,52,,,,
60,55.4,50,,,,
58,54.8,53,,,,
59,56.6,54,,,,
58,55.2,54,,,,
58,56.2,55,,,,
57,54.9,50,,,,
56,53.6,47,,,,
54,51.3,46,,,,
55,51.5,43,,,,
54,50.3,45,,,,
52,49.0,45,,,,
53,49.8,47,,,,
52,48.1,39,,,,
55,49.9,47,,,,
55,50.4,45,,,,
54,51.2,48,,,,
55,50.8,47,,,,
55,51.0,48,,,,
55,46.0,34,,,,
56,47.7,40,,,,
56,54.5,47,,,,
55,51.1,47,,,,
56,49.9,37,,,,
57,52.5,49,,,,
59,54.5,43,,,,
56,55.1,53,,,,
55,53.5,50,,,,
54,51.1,49,,,,
57,53.6,50,,,,
Max,Avg,Min,,,,
90,73.1,42,,,,
90,67.0,29,,,,
72,57.1,45,,,,
93,69.4,46,,,,
90,76.0,46,,,,
86,73.8,55,,,,
93,69.1,32,,,,
84,61.8,28,,,,
87,61.0,34,,,,
89,62.6,23,,,,
87,59.3,31,,,,
77,59.2,38,,,,
78,57.0,39,,,,
78,60.9,25,,,,
81,65.0,41,,,,
89,67.0,37,,,,
87,69.4,46,,,,
87,71.0,44,,,,
96,65.8,37,,,,
81,46.5,14,,,,
83,50.8,21,,,,
93,72.8,38,,,,
90,62.4,34,,,,
89,60.5,18,,,,
89,67.1,36,,,,
93,72.7,24,,,,
90,75.7,48,,,,
89,74.4,55,,,,
78,61.7,42,,,,
87,65.9,39,,,,
Max,Avg,Min,,,,
