Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Feb 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29,Max Avg Min 75 53.1 0 62 51.8 44 59 47.6 38 60 45.1 27 64 47.7 34 66 49.1 35 69 48.1 36 64 45.7 37 62 49.6 39 68 54.8 41 72 50.2 32 62 48.7 36 64 50.4 43 63 47.9 42 68 45.8 37 71 55.4 45 72 59.4 50 71 56.3 48 69 49.4 40 71 45.8 35 75 56.6 44 62 54.3 49 62 53.8 49 74 57.8 48 79 63.2 49 78 58.6 42 79 62.3 48 80 61.2 47 61 53.7 50,Max Avg Min 50 44.3 0 50 44.0 24 35 25.2 11 22 16.5 10 40 27.8 19 47 38.0 30 49 41.3 33 49 42.7 36 42 34.1 21 30 23.0 14 49 34.0 27 48 40.4 31 48 45.6 41 48 43.6 39 49 41.0 36 49 45.0 41 48 40.4 23 48 38.5 29 48 43.3 37 43 38.3 34 51 40.6 32 52 48.4 45 48 45.0 41 49 43.3 38 43 38.5 30 43 32.5 19 46 37.3 28 51 41.2 22 51 47.8 41,Max Avg Min 100 71.7 0 100 78.8 34 73 44.5 15 72 37.2 14 82 49.7 22 86 68.8 33 100 80.5 32 100 90.5 56 100 62.5 24 65 31.6 15 82 58.6 24 93 74.9 43 100 84.9 56 100 86.6 50 100 86.0 42 93 71.2 34 83 52.2 23 93 56.1 25 100 82.5 38 100 80.0 33 86 60.0 21 97 81.0 62 89 72.8 52 83 61.0 29 66 42.8 17 76 44.3 12 62 43.1 17 90 54.4 12 96 80.8 67,Max Avg Min 13 4.0 0 16 6.9 0 21 9.3 0 13 3.7 0 16 6.3 0 20 6.1 0 20 5.3 0 17 4.6 0 15 7.0 0 18 8.2 0 12 3.3 0 12 3.4 0 16 4.2 0 15 2.4 0 18 4.5 0 22 8.8 0 17 7.3 0 15 6.1 0 20 4.4 0 14 3.1 0 14 2.6 0 16 5.4 0 21 8.2 0 18 8.4 0 14 4.8 0 14 4.4 0 9 2.7 0 10 3.6 0 17 5.5 0,Max Avg Min 30.0 30.0 29.9 29.9 29.8 29.7 29.9 29.8 29.8 30.0 30.0 29.9 30.0 30.0 29.9 30.0 29.9 29.8 29.9 29.9 29.8 29.9 29.8 29.7 29.7 29.7 29.6 29.8 29.8 29.7 29.9 29.8 29.8 29.9 29.8 29.8 29.9 29.9 29.8 29.9 29.9 29.8 30.0 29.9 29.9 30.0 29.9 29.8 29.8 29.8 29.7 29.8 29.8 29.7 29.9 29.9 29.8 29.9 29.9 29.8 29.8 29.8 29.7 30.0 29.8 29.8 30.1 30.1 30.0 30.1 30.0 30.0 30.0 30.0 29.9 30.1 30.0 30.0 30.0 29.9 29.9 29.9 29.9 29.8 29.9 29.8 29.8,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Feb,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
Max,Avg,Min,,,,
75,53.1,0,,,,
62,51.8,44,,,,
59,47.6,38,,,,
60,45.1,27,,,,
64,47.7,34,,,,
66,49.1,35,,,,
69,48.1,36,,,,
64,45.7,37,,,,
62,49.6,39,,,,
68,54.8,41,,,,
72,50.2,32,,,,
62,48.7,36,,,,
64,50.4,43,,,,
63,47.9,42,,,,
68,45.8,37,,,,
71,55.4,45,,,,
72,59.4,50,,,,
71,56.3,48,,,,
69,49.4,40,,,,
71,45.8,35,,,,
75,56.6,44,,,,
62,54.3,49,,,,
62,53.8,49,,,,
74,57.8,48,,,,
79,63.2,49,,,,
78,58.6,42,,,,
79,62.3,48,,,,
80,61.2,47,,,,
61,53.7,50,,,,
Max,Avg,Min,,,,
50,44.3,0,,,,
50,44.0,24,,,,
35,25.2,11,,,,
22,16.5,10,,,,
40,27.8,19,,,,
47,38.0,30,,,,
49,41.3,33,,,,
49,42.7,36,,,,
42,34.1,21,,,,
30,23.0,14,,,,
49,34.0,27,,,,
48,40.4,31,,,,
48,45.6,41,,,,
48,43.6,39,,,,
49,41.0,36,,,,
49,45.0,41,,,,
48,40.4,23,,,,
48,38.5,29,,,,
48,43.3,37,,,,
43,38.3,34,,,,
51,40.6,32,,,,
52,48.4,45,,,,
48,45.0,41,,,,
49,43.3,38,,,,
43,38.5,30,,,,
43,32.5,19,,,,
46,37.3,28,,,,
51,41.2,22,,,,
51,47.8,41,,,,
Max,Avg,Min,,,,
100,71.7,0,,,,
100,78.8,34,,,,
73,44.5,15,,,,
72,37.2,14,,,,
82,49.7,22,,,,
86,68.8,33,,,,
100,80.5,32,,,,
100,90.5,56,,,,
100,62.5,24,,,,
65,31.6,15,,,,
82,58.6,24,,,,
93,74.9,43,,,,
100,84.9,56,,,,
100,86.6,50,,,,
100,86.0,42,,,,
93,71.2,34,,,,
83,52.2,23,,,,
93,56.1,25,,,,
100,82.5,38,,,,
100,80.0,33,,,,
86,60.0,21,,,,
97,81.0,62,,,,
89,72.8,52,,,,
83,61.0,29,,,,
66,42.8,17,,,,
76,44.3,12,,,,
62,43.1,17,,,,
90,54.4,12,,,,
96,80.8,67,,,,
Max,Avg,Min,,,,
13,4.0,0,,,,
16,6.9,0,,,,
21,9.3,0,,,,
13,3.7,0,,,,
16,6.3,0,,,,
20,6.1,0,,,,
20,5.3,0,,,,
17,4.6,0,,,,
15,7.0,0,,,,
18,8.2,0,,,,
12,3.3,0,,,,
12,3.4,0,,,,
16,4.2,0,,,,
15,2.4,0,,,,
18,4.5,0,,,,
22,8.8,0,,,,
17,7.3,0,,,,
15,6.1,0,,,,
20,4.4,0,,,,
14,3.1,0,,,,
14,2.6,0,,,,
16,5.4,0,,,,
21,8.2,0,,,,
18,8.4,0,,,,
14,4.8,0,,,,
14,4.4,0,,,,
9,2.7,0,,,,
10,3.6,0,,,,
17,5.5,0,,,,
Max,Avg,Min,,,,
30.0,30.0,29.9,,,,
29.9,29.8,29.7,,,,
29.9,29.8,29.8,,,,
30.0,30.0,29.9,,,,
30.0,30.0,29.9,,,,
30.0,29.9,29.8,,,,
29.9,29.9,29.8,,,,
29.9,29.8,29.7,,,,
29.7,29.7,29.6,,,,
29.8,29.8,29.7,,,,
29.9,29.8,29.8,,,,
29.9,29.8,29.8,,,,
29.9,29.9,29.8,,,,
29.9,29.9,29.8,,,,
30.0,29.9,29.9,,,,
30.0,29.9,29.8,,,,
29.8,29.8,29.7,,,,
29.8,29.8,29.7,,,,
29.9,29.9,29.8,,,,
29.9,29.9,29.8,,,,
29.8,29.8,29.7,,,,
30.0,29.8,29.8,,,,
30.1,30.1,30.0,,,,
30.1,30.0,30.0,,,,
30.0,30.0,29.9,,,,
30.1,30.0,30.0,,,,
30.0,29.9,29.9,,,,
29.9,29.9,29.8,,,,
29.9,29.8,29.8,,,,
Total,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
