Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Jun 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,Max Avg Min 81 69.9 57 82 71.0 55 90 75.3 61 95 79.4 48 93 81.5 66 91 80.1 66 95 82.3 66 93 81.2 68 90 77.6 63 88 77.7 66 90 77.6 63 88 76.3 63 88 77.3 70 81 70.3 63 79 70.7 64 79 69.0 64 79 69.0 61 77 67.9 55 75 65.1 57 72 63.7 54 75 65.9 54 77 68.3 59 75 66.1 57 77 68.5 57 77 68.4 52 81 71.3 57 82 72.0 61 84 73.4 61 82 73.3 61 88 76.2 64,Max Avg Min 59 54.4 48 63 55.7 46 70 62.1 55 70 63.4 59 68 63.0 57 72 63.0 57 66 56.4 0 64 43.7 0 68 57.6 52 63 58.3 54 66 60.1 39 66 61.9 57 72 64.3 57 66 62.0 57 66 63.0 59 68 63.0 57 59 52.0 45 61 51.4 43 64 57.9 54 57 52.5 46 55 51.5 46 61 55.0 46 68 59.6 48 61 51.3 46 59 54.4 48 61 56.7 54 64 60.9 55 66 59.1 50 63 59.4 54 66 61.2 57,Max Avg Min 88 60.2 34 77 59.8 39 88 65.8 40 83 57.6 0 78 55.0 36 83 57.7 36 83 47.6 0 64 36.6 0 74 52.4 31 73 52.7 37 83 56.7 35 83 63.0 38 83 65.3 38 94 75.5 54 100 77.1 57 100 81.7 61 94 56.2 39 83 56.7 38 88 78.4 53 88 68.1 43 94 62.2 41 88 65.5 34 94 79.9 64 77 55.7 38 100 62.1 41 94 63.1 39 88 69.5 47 100 64.5 30 88 63.8 42 83 62.1 37,Max Avg Min 8 3.6 0 8 3.5 1 8 3.8 0 13 4.4 0 8 4.5 1 9 4.5 1 20 9.9 0 21 8.9 1 14 5.4 0 18 7.2 1 9 4.1 0 10 4.5 0 13 6.3 0 20 6.0 0 25 6.4 0 10 4.9 0 15 9.6 0 13 5.1 0 15 4.1 0 15 6.1 0 7 3.2 0 8 3.2 0 21 11.7 2 13 5.4 0 8 4.3 0 9 3.3 0 12 2.9 0 9 4.3 1 8 2.4 0 7 3.6 0,Max Avg Min 30.1 30.0 30.0 30.1 30.0 30.0 30.1 30.1 30.0 30.1 30.1 30.0 30.1 30.1 30.0 30.1 30.1 30.1 30.1 30.1 30.0 30.1 29.9 29.8 30.0 29.9 29.9 30.1 30.0 30.0 30.0 30.0 29.9 30.0 29.9 29.9 29.9 29.9 29.9 29.9 29.8 29.8 29.9 29.8 29.8 29.9 29.9 29.8 30.0 29.9 29.9 30.0 28.6 0.0 29.9 29.8 29.8 30.0 29.9 29.9 30.0 30.0 30.0 30.0 29.9 29.8 29.9 29.8 29.7 30.2 30.0 29.9 30.2 30.1 30.1 30.1 30.1 30.0 30.0 30.0 29.9 30.1 30.0 30.0 30.1 30.1 30.1 30.1 30.1 30.0,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Jun,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
Max,Avg,Min,,,,
81,69.9,57,,,,
82,71.0,55,,,,
90,75.3,61,,,,
95,79.4,48,,,,
93,81.5,66,,,,
91,80.1,66,,,,
95,82.3,66,,,,
93,81.2,68,,,,
90,77.6,63,,,,
88,77.7,66,,,,
90,77.6,63,,,,
88,76.3,63,,,,
88,77.3,70,,,,
81,70.3,63,,,,
79,70.7,64,,,,
79,69.0,64,,,,
79,69.0,61,,,,
77,67.9,55,,,,
75,65.1,57,,,,
72,63.7,54,,,,
75,65.9,54,,,,
77,68.3,59,,,,
75,66.1,57,,,,
77,68.5,57,,,,
77,68.4,52,,,,
81,71.3,57,,,,
82,72.0,61,,,,
84,73.4,61,,,,
82,73.3,61,,,,
88,76.2,64,,,,
Max,Avg,Min,,,,
59,54.4,48,,,,
63,55.7,46,,,,
70,62.1,55,,,,
70,63.4,59,,,,
68,63.0,57,,,,
72,63.0,57,,,,
66,56.4,0,,,,
64,43.7,0,,,,
68,57.6,52,,,,
63,58.3,54,,,,
66,60.1,39,,,,
66,61.9,57,,,,
72,64.3,57,,,,
66,62.0,57,,,,
66,63.0,59,,,,
68,63.0,57,,,,
59,52.0,45,,,,
61,51.4,43,,,,
64,57.9,54,,,,
57,52.5,46,,,,
55,51.5,46,,,,
61,55.0,46,,,,
68,59.6,48,,,,
61,51.3,46,,,,
59,54.4,48,,,,
61,56.7,54,,,,
64,60.9,55,,,,
66,59.1,50,,,,
63,59.4,54,,,,
66,61.2,57,,,,
Max,Avg,Min,,,,
88,60.2,34,,,,
77,59.8,39,,,,
88,65.8,40,,,,
83,57.6,0,,,,
78,55.0,36,,,,
83,57.7,36,,,,
83,47.6,0,,,,
64,36.6,0,,,,
74,52.4,31,,,,
73,52.7,37,,,,
83,56.7,35,,,,
83,63.0,38,,,,
83,65.3,38,,,,
94,75.5,54,,,,
100,77.1,57,,,,
100,81.7,61,,,,
94,56.2,39,,,,
83,56.7,38,,,,
88,78.4,53,,,,
88,68.1,43,,,,
94,62.2,41,,,,
88,65.5,34,,,,
94,79.9,64,,,,
77,55.7,38,,,,
100,62.1,41,,,,
94,63.1,39,,,,
88,69.5,47,,,,
100,64.5,30,,,,
88,63.8,42,,,,
83,62.1,37,,,,
Max,Avg,Min,,,,
8,3.6,0,,,,
8,3.5,1,,,,
8,3.8,0,,,,
13,4.4,0,,,,
8,4.5,1,,,,
9,4.5,1,,,,
20,9.9,0,,,,
21,8.9,1,,,,
14,5.4,0,,,,
18,7.2,1,,,,
9,4.1,0,,,,
10,4.5,0,,,,
13,6.3,0,,,,
20,6.0,0,,,,
25,6.4,0,,,,
10,4.9,0,,,,
15,9.6,0,,,,
13,5.1,0,,,,
15,4.1,0,,,,
15,6.1,0,,,,
7,3.2,0,,,,
8,3.2,0,,,,
21,11.7,2,,,,
13,5.4,0,,,,
8,4.3,0,,,,
9,3.3,0,,,,
12,2.9,0,,,,
9,4.3,1,,,,
8,2.4,0,,,,
7,3.6,0,,,,
Max,Avg,Min,,,,
30.1,30.0,30.0,,,,
30.1,30.0,30.0,,,,
30.1,30.1,30.0,,,,
30.1,30.1,30.0,,,,
30.1,30.1,30.0,,,,
30.1,30.1,30.1,,,,
30.1,30.1,30.0,,,,
30.1,29.9,29.8,,,,
30.0,29.9,29.9,,,,
30.1,30.0,30.0,,,,
30.0,30.0,29.9,,,,
30.0,29.9,29.9,,,,
29.9,29.9,29.9,,,,
29.9,29.8,29.8,,,,
29.9,29.8,29.8,,,,
29.9,29.9,29.8,,,,
30.0,29.9,29.9,,,,
30.0,28.6,0.0,,,,
29.9,29.8,29.8,,,,
30.0,29.9,29.9,,,,
30.0,30.0,30.0,,,,
30.0,29.9,29.8,,,,
29.9,29.8,29.7,,,,
30.2,30.0,29.9,,,,
30.2,30.1,30.1,,,,
30.1,30.1,30.0,,,,
30.0,30.0,29.9,,,,
30.1,30.0,30.0,,,,
30.1,30.1,30.1,,,,
30.1,30.1,30.0,,,,
Total,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
