Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Jul 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,Max Avg Min 69 60.1 56 71 60.5 54 72 59.8 50 81 59.5 50 77 65.0 54 72 59.6 52 70 57.7 49 70 58.7 53 71 58.7 54 77 59.2 52 80 59.0 51 78 62.8 54 69 59.5 54 69 60.8 55 72 62.9 57 74 63.4 57 73 63.0 58 73 63.1 58 71 61.5 56 71 61.7 58 72 59.9 55 71 61.4 55 73 61.0 56 71 61.6 57 70 61.4 57 72 62.3 57 70 59.8 56 69 59.8 56 72 60.7 56 72 59.6 56 71 59.5 55,Max Avg Min 55 52.9 52 56 53.6 50 55 52.3 47 56 51.4 48 56 52.3 49 54 51.0 48 51 49.2 45 53 51.6 50 54 51.8 51 56 52.1 48 56 52.0 49 57 53.1 51 55 53.0 51 53 52.4 51 55 53.1 52 56 54.0 53 56 54.6 54 57 55.3 54 56 54.8 54 55 54.1 53 55 53.9 53 55 53.7 53 55 53.6 52 56 54.0 53 56 54.3 53 57 54.7 54 56 54.5 54 56 54.3 53 57 54.9 54 57 55.3 54 56 54.5 53,Max Avg Min 90 77.9 58 97 79.6 55 89 77.4 55 100 78.5 34 84 65.3 46 94 75.4 49 90 75.1 51 90 78.2 55 93 79.4 53 96 79.9 43 97 80.9 42 93 73.2 46 93 80.1 61 90 75.1 54 84 71.6 53 87 73.0 52 87 74.8 55 90 77.1 55 93 79.4 59 90 77.1 57 94 81.6 51 93 77.3 55 90 77.7 51 87 77.1 57 89 78.5 59 90 77.4 57 97 83.5 59 97 83.1 61 94 82.1 57 100 86.9 59 100 84.7 59,Max Avg Min 15 5.6 0 13 5.3 0 15 5.5 0 12 2.4 0 17 6.5 0 21 7.7 0 18 7.8 0 15 5.7 0 13 5.2 0 12 2.8 0 13 3.1 0 13 5.0 0 15 7.8 0 15 7.2 0 15 5.9 0 16 5.4 0 13 5.3 0 14 5.8 0 15 6.8 0 18 10.6 5 16 8.2 5 16 6.8 0 16 5.9 0 15 7.0 0 13 6.9 0 13 5.6 0 14 5.4 0 13 5.4 0 13 5.2 0 14 5.9 0 15 6.2 0,Max Avg Min 29.7 29.6 29.6 29.7 29.7 29.6 29.8 29.7 29.7 29.7 29.7 29.7 29.7 29.6 29.6 29.7 29.6 29.6 29.7 29.6 29.6 29.7 29.6 29.6 29.7 29.6 29.6 29.7 29.7 29.7 29.8 29.7 29.7 29.7 29.6 29.6 29.7 29.7 29.6 29.7 29.7 29.7 29.7 29.7 29.6 29.7 29.6 29.6 29.8 29.7 29.7 29.8 29.7 29.7 29.8 29.7 29.7 29.8 29.7 29.6 29.7 29.6 29.6 29.6 29.6 29.6 29.7 29.6 29.6 29.7 29.7 29.6 29.7 29.7 29.6 29.7 29.7 29.7 29.7 29.7 29.6 29.7 29.6 29.6 29.7 29.7 29.6 29.8 29.7 29.7 29.7 29.7 29.7,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Jul,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
Max,Avg,Min,,,,
69,60.1,56,,,,
71,60.5,54,,,,
72,59.8,50,,,,
81,59.5,50,,,,
77,65.0,54,,,,
72,59.6,52,,,,
70,57.7,49,,,,
70,58.7,53,,,,
71,58.7,54,,,,
77,59.2,52,,,,
80,59.0,51,,,,
78,62.8,54,,,,
69,59.5,54,,,,
69,60.8,55,,,,
72,62.9,57,,,,
74,63.4,57,,,,
73,63.0,58,,,,
73,63.1,58,,,,
71,61.5,56,,,,
71,61.7,58,,,,
72,59.9,55,,,,
71,61.4,55,,,,
73,61.0,56,,,,
71,61.6,57,,,,
70,61.4,57,,,,
72,62.3,57,,,,
70,59.8,56,,,,
69,59.8,56,,,,
72,60.7,56,,,,
72,59.6,56,,,,
71,59.5,55,,,,
Max,Avg,Min,,,,
55,52.9,52,,,,
56,53.6,50,,,,
55,52.3,47,,,,
56,51.4,48,,,,
56,52.3,49,,,,
54,51.0,48,,,,
51,49.2,45,,,,
53,51.6,50,,,,
54,51.8,51,,,,
56,52.1,48,,,,
56,52.0,49,,,,
57,53.1,51,,,,
55,53.0,51,,,,
53,52.4,51,,,,
55,53.1,52,,,,
56,54.0,53,,,,
56,54.6,54,,,,
57,55.3,54,,,,
56,54.8,54,,,,
55,54.1,53,,,,
55,53.9,53,,,,
55,53.7,53,,,,
55,53.6,52,,,,
56,54.0,53,,,,
56,54.3,53,,,,
57,54.7,54,,,,
56,54.5,54,,,,
56,54.3,53,,,,
57,54.9,54,,,,
57,55.3,54,,,,
56,54.5,53,,,,
Max,Avg,Min,,,,
90,77.9,58,,,,
97,79.6,55,,,,
89,77.4,55,,,,
100,78.5,34,,,,
84,65.3,46,,,,
94,75.4,49,,,,
90,75.1,51,,,,
90,78.2,55,,,,
93,79.4,53,,,,
96,79.9,43,,,,
97,80.9,42,,,,
93,73.2,46,,,,
93,80.1,61,,,,
90,75.1,54,,,,
84,71.6,53,,,,
87,73.0,52,,,,
87,74.8,55,,,,
90,77.1,55,,,,
93,79.4,59,,,,
90,77.1,57,,,,
94,81.6,51,,,,
93,77.3,55,,,,
90,77.7,51,,,,
87,77.1,57,,,,
89,78.5,59,,,,
90,77.4,57,,,,
97,83.5,59,,,,
97,83.1,61,,,,
94,82.1,57,,,,
100,86.9,59,,,,
100,84.7,59,,,,
Max,Avg,Min,,,,
15,5.6,0,,,,
13,5.3,0,,,,
15,5.5,0,,,,
12,2.4,0,,,,
17,6.5,0,,,,
21,7.7,0,,,,
18,7.8,0,,,,
15,5.7,0,,,,
13,5.2,0,,,,
12,2.8,0,,,,
13,3.1,0,,,,
13,5.0,0,,,,
15,7.8,0,,,,
15,7.2,0,,,,
15,5.9,0,,,,
16,5.4,0,,,,
13,5.3,0,,,,
14,5.8,0,,,,
15,6.8,0,,,,
18,10.6,5,,,,
16,8.2,5,,,,
16,6.8,0,,,,
16,5.9,0,,,,
15,7.0,0,,,,
13,6.9,0,,,,
13,5.6,0,,,,
14,5.4,0,,,,
13,5.4,0,,,,
13,5.2,0,,,,
14,5.9,0,,,,
15,6.2,0,,,,
Max,Avg,Min,,,,
29.7,29.6,29.6,,,,
29.7,29.7,29.6,,,,
29.8,29.7,29.7,,,,
29.7,29.7,29.7,,,,
29.7,29.6,29.6,,,,
29.7,29.6,29.6,,,,
29.7,29.6,29.6,,,,
29.7,29.6,29.6,,,,
29.7,29.6,29.6,,,,
29.7,29.7,29.7,,,,
29.8,29.7,29.7,,,,
29.7,29.6,29.6,,,,
29.7,29.7,29.6,,,,
29.7,29.7,29.7,,,,
29.7,29.7,29.6,,,,
29.7,29.6,29.6,,,,
29.8,29.7,29.7,,,,
29.8,29.7,29.7,,,,
29.8,29.7,29.7,,,,
29.8,29.7,29.6,,,,
29.7,29.6,29.6,,,,
29.6,29.6,29.6,,,,
29.7,29.6,29.6,,,,
29.7,29.7,29.6,,,,
29.7,29.7,29.6,,,,
29.7,29.7,29.7,,,,
29.7,29.7,29.6,,,,
29.7,29.6,29.6,,,,
29.7,29.7,29.6,,,,
29.8,29.7,29.7,,,,
29.7,29.7,29.7,,,,
Total,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
