Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Jan 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,Max Avg Min 55 45.6 42 54 47.4 38 54 39.4 30 51 38.0 27 45 43.3 40 53 44.1 36 48 45.6 43 61 45.4 37 64 42.1 33 61 41.0 29 67 41.0 30 82 66.3 48 70 49.1 36 67 40.5 30 66 39.8 30 69 40.2 30 68 44.5 32 67 41.7 30 66 43.0 32 66 46.2 32 55 47.9 41 54 49.4 46 57 51.4 46 55 50.9 43 55 46.1 38 56 44.4 32 57 41.2 28 63 38.3 28 65 47.8 34 66 39.5 28 67 41.0 30,Max Avg Min 46 44.0 41 52 44.8 33 33 25.2 0 36 28.8 0 45 42.5 37 48 43.5 36 47 45.1 43 50 43.6 37 42 34.7 0 41 34.6 0 46 33.0 0 40 37.6 34 47 42.3 36 46 36.5 0 46 32.7 0 43 34.4 0 43 37.0 0 46 34.4 0 43 35.4 0 43 37.0 0 49 44.0 39 52 48.8 46 54 50.8 46 54 48.5 39 39 36.5 34 36 28.4 0 41 32.9 0 47 31.4 0 42 38.8 33 47 35.0 0 48 31.0 0,Max Avg Min 100 94.8 69 100 91.8 61 100 74.3 37 100 77.3 35 100 97.1 86 100 97.7 82 100 98.2 93 100 94.5 58 100 82.7 35 100 85.2 44 100 86.9 38 74 38.0 19 100 81.2 41 100 93.2 43 100 90.7 46 100 89.5 36 100 82.6 36 100 86.9 44 100 84.7 40 100 78.5 37 100 87.2 66 100 98.0 88 100 98.0 83 100 92.2 74 97 70.6 51 96 66.9 33 100 79.4 42 100 89.4 52 100 74.4 42 100 91.1 47 100 89.1 45,Max Avg Min 9 1.6 0 15 5.4 0 10 4.5 0 5 1.7 0 7 2.0 0 5 0.5 0 6 2.1 0 8 1.9 0 10 1.6 0 6 1.0 0 10 1.2 0 21 9.9 0 6 1.6 0 5 0.3 0 6 0.7 0 8 1.4 0 5 0.9 0 6 0.9 0 6 1.6 0 5 1.6 0 8 2.5 0 6 1.3 0 5 1.2 0 8 4.6 0 16 8.1 0 10 5.0 0 10 3.7 0 13 1.5 0 13 3.3 0 7 1.4 0 6 1.0 0,Max Avg Min 30.1 30.0 29.9 29.9 29.8 29.7 29.9 29.9 29.9 30.1 30.0 29.9 30.1 30.1 30.0 30.1 30.1 30.1 30.1 30.1 30.0 30.1 30.0 30.0 30.2 30.1 30.1 30.4 30.3 30.2 30.4 30.3 30.1 30.1 30.1 30.0 30.2 30.1 30.1 30.1 30.1 30.0 30.0 30.0 29.9 30.1 30.0 30.0 30.1 30.1 30.0 30.1 30.1 30.1 30.1 30.1 30.0 30.0 29.9 29.9 29.9 29.8 29.8 29.9 29.8 29.8 29.9 29.9 29.8 30.0 29.9 29.9 29.9 29.9 29.8 30.1 30.0 29.9 30.3 30.3 30.1 30.4 30.3 30.1 30.2 30.1 30.1 30.2 30.1 30.0 30.1 30.0 29.9,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Jan,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
