Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Feb 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28,Max Avg Min 61 53.8 47 61 55.7 52 57 53.5 49 54 47.7 43 50 42.8 36 54 42.1 32 54 42.8 33 54 46.7 39 55 48.0 44 52 44.5 38 56 43.5 33 49 44.6 37 63 56.0 48 65 57.0 47 56 48.3 43 56 47.1 41 53 44.6 39 56 44.5 35 56 43.8 32 57 46.1 39 58 47.5 40 55 44.9 34 58 46.3 33 60 51.6 43 60 54.1 47 59 54.7 51 65 57.1 52 57 52.2 49,Max Avg Min 52 49.0 44 52 47.8 43 53 48.3 43 46 41.8 37 38 34.7 30 36 32.2 29 38 33.8 30 45 39.5 34 45 43.1 41 43 37.2 33 38 33.0 28 42 36.5 32 56 47.1 40 56 48.7 38 45 41.2 38 42 40.0 35 40 37.4 34 34 30.9 26 34 29.7 24 39 36.2 32 38 31.7 23 29 26.1 24 36 32.3 27 43 39.2 36 45 43.4 42 49 46.9 44 54 48.9 44 48 45.7 42,Max Avg Min 97 84.4 67 90 75.4 57 93 82.7 67 86 79.8 69 89 74.7 46 92 70.7 41 92 72.5 49 93 77.5 53 100 83.8 66 93 76.8 49 89 68.8 44 86 74.2 64 86 72.3 60 84 74.0 61 90 76.9 55 90 77.2 53 89 76.7 48 82 61.6 32 88 60.8 32 86 69.6 40 89 57.9 32 76 50.0 31 82 60.8 33 82 64.1 42 83 67.9 53 86 75.4 62 94 74.7 58 90 79.3 60,Max Avg Min 28 10.9 0 30 19.0 7 29 17.5 5 22 12.7 6 15 8.3 0 8 3.8 0 7 4.2 0 16 6.0 0 17 10.3 0 16 8.9 0 9 5.7 0 16 8.8 5 31 20.0 10 29 17.7 8 25 10.0 0 20 10.7 6 14 8.9 6 18 10.8 3 9 5.3 0 16 6.7 0 29 13.7 3 15 7.2 0 10 5.4 0 6 2.2 0 21 6.8 0 18 12.0 7 28 14.7 3 10 4.0 0,Max Avg Min 29.9 29.8 29.6 29.6 29.5 29.4 29.7 29.6 29.5 29.7 29.6 29.5 30.0 29.9 29.7 30.2 30.1 30.0 30.3 30.2 30.2 30.2 30.0 29.9 30.0 29.9 29.8 30.2 29.9 29.8 30.2 30.2 30.1 30.1 30.0 29.8 29.8 29.6 29.5 29.8 29.5 29.4 30.1 30.0 29.9 30.2 30.1 30.0 30.1 30.0 30.0 30.2 30.1 30.1 30.2 30.1 30.1 30.0 29.9 29.7 29.9 29.7 29.7 30.2 30.1 29.9 30.3 30.3 30.2 30.3 30.1 30.0 30.0 30.0 29.9 29.9 29.9 29.8 30.1 30.0 29.8 30.1 30.1 30.1,Total 0.00 0.17 0.32 0.85 0.29 0.00 0.00 0.00 0.27 0.38 0.05 0.00 0.28 0.71 0.11 0.09 0.02 0.05 0.00 0.00 0.00 0.02 0.00 0.00 0.00 0.04 1.17 0.03
Feb,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
