Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
May 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,Max Avg Min 61 55.5 48 69 61.3 51 75 63.3 49 78 66.0 51 77 66.5 52 74 65.0 54 79 68.3 58 72 66.8 59 76 65.0 56 78 66.3 54 77 64.0 48 83 65.3 47 79 68.8 53 73 65.5 56 63 57.3 53 59 53.3 46 60 54.3 51 62 54.3 47 61 53.5 46 61 51.7 47 71 64.0 51 73 62.5 50 76 63.8 52 80 65.0 51 78 65.5 51 70 60.8 49 65 56.8 47 68 60.3 53 67 56.8 46 74 62.8 51 81 66.0 50,Max Avg Min 46 45.3 44 46 43.3 38 45 41.3 37 46 41.5 36 44 41.3 39 46 43.3 40 46 44.0 42 49 43.0 38 52 46.0 37 55 50.3 44 47 41.0 28 47 41.8 29 50 49.8 49 53 50.0 47 49 44.0 36 47 44.0 43 50 47.3 43 45 42.3 38 44 41.8 38 43 41.3 39 48 43.0 40 49 46.3 43 54 52.5 51 52 49.5 47 53 48.8 45 48 45.5 44 46 45.3 44 51 45.3 38 46 43.8 41 55 43.0 35 48 43.5 38,Max Avg Min 94 70.0 54 81 55.8 31 83 51.8 24 85 48.0 22 74 43.8 25 75 49.8 30 64 43.5 29 68 44.8 29 85 56.3 24 100 64.5 34 91 52.5 16 97 54.5 14 87 54.8 36 80 59.3 41 83 64.3 36 90 71.8 58 94 78.3 63 92 67.5 41 93 67.8 43 86 71.7 45 89 52.3 34 93 60.3 35 97 71.3 46 100 65.0 31 87 59.8 30 95 60.8 39 94 67.8 49 90 62.8 33 89 63.8 48 90 56.0 24 91 53.5 21,Max Avg Min 7 3.8 0 7 5.5 4 9 3.8 0 7 2.8 0 16 7.5 0 13 8.3 0 16 9.8 7 7 5.5 4 13 7.3 2 11 9.0 7 13 10.0 9 9 5.8 0 16 6.0 0 20 11.3 7 20 15.0 9 22 16.0 13 20 16.0 11 20 15.0 11 16 11.3 7 11 6.0 0 16 11.3 9 16 10.3 7 13 9.0 7 9 6.0 4 13 6.0 0 18 11.8 7 18 13.0 7 20 13.5 9 20 14.0 9 13 12.0 11 11 9.5 7,Max Avg Min 29.3 29.3 29.3 29.4 29.4 29.3 29.4 29.4 29.3 29.4 29.4 29.4 29.5 29.4 29.4 29.5 29.5 29.4 29.5 29.4 29.3 29.4 29.4 29.3 29.4 29.4 29.4 29.4 29.4 29.4 29.5 29.4 29.4 29.5 29.4 29.3 29.4 29.3 29.3 29.3 29.2 29.1 29.2 29.1 29.0 29.1 29.1 29.1 29.1 29.0 29.0 29.4 29.3 29.2 29.5 29.5 29.4 29.5 29.4 29.4 29.4 29.4 29.4 29.4 29.4 29.4 29.4 29.4 29.3 29.4 29.3 29.3 29.4 29.4 29.3 29.4 29.3 29.3 29.4 29.3 29.3 29.3 29.3 29.3 29.5 29.4 29.4 29.5 29.4 29.4 29.4 29.4 29.3,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
May,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
Max,Avg,Min,,,,
61,55.5,48,,,,
69,61.3,51,,,,
75,63.3,49,,,,
78,66.0,51,,,,
77,66.5,52,,,,
74,65.0,54,,,,
79,68.3,58,,,,
72,66.8,59,,,,
76,65.0,56,,,,
78,66.3,54,,,,
77,64.0,48,,,,
83,65.3,47,,,,
79,68.8,53,,,,
73,65.5,56,,,,
63,57.3,53,,,,
59,53.3,46,,,,
60,54.3,51,,,,
62,54.3,47,,,,
61,53.5,46,,,,
61,51.7,47,,,,
71,64.0,51,,,,
73,62.5,50,,,,
76,63.8,52,,,,
80,65.0,51,,,,
78,65.5,51,,,,
70,60.8,49,,,,
65,56.8,47,,,,
68,60.3,53,,,,
67,56.8,46,,,,
74,62.8,51,,,,
81,66.0,50,,,,
Max,Avg,Min,,,,
46,45.3,44,,,,
46,43.3,38,,,,
45,41.3,37,,,,
46,41.5,36,,,,
44,41.3,39,,,,
46,43.3,40,,,,
46,44.0,42,,,,
49,43.0,38,,,,
52,46.0,37,,,,
55,50.3,44,,,,
47,41.0,28,,,,
47,41.8,29,,,,
50,49.8,49,,,,
53,50.0,47,,,,
49,44.0,36,,,,
47,44.0,43,,,,
50,47.3,43,,,,
45,42.3,38,,,,
44,41.8,38,,,,
43,41.3,39,,,,
48,43.0,40,,,,
49,46.3,43,,,,
54,52.5,51,,,,
52,49.5,47,,,,
53,48.8,45,,,,
48,45.5,44,,,,
46,45.3,44,,,,
51,45.3,38,,,,
46,43.8,41,,,,
55,43.0,35,,,,
48,43.5,38,,,,
Max,Avg,Min,,,,
94,70.0,54,,,,
81,55.8,31,,,,
83,51.8,24,,,,
85,48.0,22,,,,
74,43.8,25,,,,
75,49.8,30,,,,
64,43.5,29,,,,
68,44.8,29,,,,
85,56.3,24,,,,
100,64.5,34,,,,
91,52.5,16,,,,
97,54.5,14,,,,
87,54.8,36,,,,
80,59.3,41,,,,
83,64.3,36,,,,
90,71.8,58,,,,
94,78.3,63,,,,
92,67.5,41,,,,
93,67.8,43,,,,
86,71.7,45,,,,
89,52.3,34,,,,
93,60.3,35,,,,
97,71.3,46,,,,
100,65.0,31,,,,
87,59.8,30,,,,
95,60.8,39,,,,
94,67.8,49,,,,
90,62.8,33,,,,
89,63.8,48,,,,
90,56.0,24,,,,
91,53.5,21,,,,
Max,Avg,Min,,,,
7,3.8,0,,,,
7,5.5,4,,,,
9,3.8,0,,,,
7,2.8,0,,,,
16,7.5,0,,,,
13,8.3,0,,,,
16,9.8,7,,,,
7,5.5,4,,,,
13,7.3,2,,,,
11,9.0,7,,,,
13,10.0,9,,,,
9,5.8,0,,,,
16,6.0,0,,,,
20,11.3,7,,,,
20,15.0,9,,,,
22,16.0,13,,,,
20,16.0,11,,,,
20,15.0,11,,,,
16,11.3,7,,,,
11,6.0,0,,,,
16,11.3,9,,,,
16,10.3,7,,,,
13,9.0,7,,,,
9,6.0,4,,,,
13,6.0,0,,,,
18,11.8,7,,,,
18,13.0,7,,,,
20,13.5,9,,,,
20,14.0,9,,,,
13,12.0,11,,,,
11,9.5,7,,,,
Max,Avg,Min,,,,
29.3,29.3,29.3,,,,
29.4,29.4,29.3,,,,
29.4,29.4,29.3,,,,
29.4,29.4,29.4,,,,
29.5,29.4,29.4,,,,
29.5,29.5,29.4,,,,
29.5,29.4,29.3,,,,
29.4,29.4,29.3,,,,
29.4,29.4,29.4,,,,
29.4,29.4,29.4,,,,
29.5,29.4,29.4,,,,
29.5,29.4,29.3,,,,
29.4,29.3,29.3,,,,
29.3,29.2,29.1,,,,
29.2,29.1,29.0,,,,
29.1,29.1,29.1,,,,
29.1,29.0,29.0,,,,
29.4,29.3,29.2,,,,
29.5,29.5,29.4,,,,
29.5,29.4,29.4,,,,
29.4,29.4,29.4,,,,
29.4,29.4,29.4,,,,
29.4,29.4,29.3,,,,
29.4,29.3,29.3,,,,
29.4,29.4,29.3,,,,
29.4,29.3,29.3,,,,
29.4,29.3,29.3,,,,
29.3,29.3,29.3,,,,
29.5,29.4,29.4,,,,
29.5,29.4,29.4,,,,
29.4,29.4,29.3,,,,
Total,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
