Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Oct 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,Max Avg Min 57 51.8 46 55 53.4 50 59 54.3 52 55 51.3 45 57 52.9 50 55 51.2 48 54 47.3 43 54 50.2 46 52 49.2 46 54 51.3 46 54 48.0 39 50 47.3 41 50 48.2 45 52 50.4 48 54 52.2 50 57 54.6 52 54 52.2 50 54 48.7 43 54 50.9 46 55 52.4 50 64 57.7 54 54 52.3 50 55 51.9 50 54 53.9 52 54 52.7 52 55 51.2 48 54 51.7 50 50 48.2 48 52 48.4 43 52 48.4 45 54 48.8 45,Max Avg Min 50 48.1 45 50 47.1 43 50 45.3 39 48 45.1 43 50 45.1 39 46 45.0 39 46 43.7 41 46 44.8 43 48 46.1 45 45 42.1 39 45 38.6 37 43 42.0 39 45 42.9 41 50 47.7 45 52 50.6 50 54 51.4 50 52 46.9 43 46 43.8 39 46 45.7 45 50 48.6 48 52 45.6 43 52 49.7 46 48 47.6 46 48 46.7 45 48 46.5 45 48 46.4 43 46 45.5 45 48 46.5 46 46 43.2 37 39 35.4 32 36 32.5 30,Max Avg Min 94 87.7 77 100 80.2 63 94 73.3 48 93 79.9 67 94 76.2 58 87 80.3 58 100 87.2 67 93 81.5 72 100 89.0 76 87 71.3 58 93 71.8 54 93 81.0 76 93 81.4 71 100 91.1 82 100 95.3 88 100 89.1 77 100 83.6 71 100 84.5 58 93 83.4 72 94 88.1 77 88 64.9 48 100 92.2 82 94 86.9 77 82 78.7 72 88 81.3 76 100 85.0 67 87 80.2 72 100 94.2 93 93 83.1 58 81 62.5 47 66 54.0 44,Max Avg Min 8 4.2 0 12 6.1 2 16 7.1 0 8 4.1 0 28 11.6 2 8 4.2 0 8 3.3 0 8 4.1 0 8 3.5 0 21 12.6 0 8 3.8 0 13 7.1 2 9 4.8 0 8 4.9 0 6 3.6 0 6 3.6 0 12 6.7 2 7 3.4 0 8 4.8 2 10 4.0 0 28 13.1 3 7 4.3 0 13 6.1 2 23 15.2 6 24 14.8 6 26 12.2 2 21 6.9 2 8 4.9 0 7 3.8 0 13 7.9 3 12 6.2 0,Max Avg Min 30.4 30.3 30.3 30.2 30.1 30.1 30.1 30.1 30.1 30.0 29.9 29.8 29.9 29.8 29.6 30.1 30.1 30.0 30.2 30.1 30.0 30.1 30.0 30.0 30.2 30.1 29.9 30.2 30.1 30.1 30.3 30.3 30.2 30.2 30.0 29.9 30.1 30.1 30.0 30.2 30.1 30.1 30.1 30.0 30.0 29.9 29.8 29.8 29.8 29.7 29.7 30.0 30.0 29.9 29.9 29.8 29.7 29.9 29.8 29.6 29.8 29.7 29.6 29.8 29.7 29.7 29.6 29.6 29.5 29.1 29.0 28.9 29.5 29.3 29.1 29.7 29.6 29.5 30.2 30.1 30.0 30.0 29.9 29.9 30.3 30.1 30.0 30.2 30.2 30.1 30.1 30.0 30.0,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Oct,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
Max,Avg,Min,,,,
57,51.8,46,,,,
55,53.4,50,,,,
59,54.3,52,,,,
55,51.3,45,,,,
57,52.9,50,,,,
55,51.2,48,,,,
54,47.3,43,,,,
54,50.2,46,,,,
52,49.2,46,,,,
54,51.3,46,,,,
54,48.0,39,,,,
50,47.3,41,,,,
50,48.2,45,,,,
52,50.4,48,,,,
54,52.2,50,,,,
57,54.6,52,,,,
54,52.2,50,,,,
54,48.7,43,,,,
54,50.9,46,,,,
55,52.4,50,,,,
64,57.7,54,,,,
54,52.3,50,,,,
