Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Jan 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,Max Avg Min 43 39.4 36 48 45.0 39 50 44.0 34 46 39.2 34 45 38.9 34 41 37.5 32 41 33.6 28 43 32.5 23 41 33.1 27 41 32.9 23 39 28.7 21 37 29.4 23 43 28.8 19 43 32.9 23 43 37.1 25 43 31.9 25 39 31.0 25 41 29.0 21 32 25.5 18 36 33.8 28 39 35.8 32 48 41.8 37 48 43.2 34 46 34.1 25 45 34.6 25 48 38.3 28 41 32.6 27 41 32.0 23 41 32.9 27 45 37.1 25 50 42.2 37,Max Avg Min 39 36.6 32 41 40.0 37 41 39.1 34 39 36.3 34 39 36.0 32 37 35.7 32 36 31.6 27 32 26.7 21 32 23.5 18 25 20.7 18 27 19.5 16 28 20.6 16 27 21.1 18 32 26.3 19 25 22.4 19 30 25.1 21 28 25.2 19 28 23.2 18 30 24.4 16 36 32.5 28 37 34.8 32 46 41.1 37 45 40.6 34 37 31.8 21 30 24.2 18 28 17.3 10 25 20.1 14 27 23.1 19 32 26.9 23 39 32.3 23 45 40.2 36,Max Avg Min 100 90.3 81 100 83.0 71 100 83.5 66 100 89.8 71 93 89.0 71 100 93.3 81 100 92.4 70 100 79.7 61 87 68.9 45 86 62.3 45 93 69.4 49 93 70.7 56 93 75.4 36 93 78.3 42 86 56.5 42 93 77.0 53 93 78.8 56 100 80.3 57 100 95.4 86 100 95.5 87 100 96.2 81 100 96.8 87 100 90.3 71 100 91.9 62 93 67.5 48 70 44.1 22 86 60.7 42 93 70.9 49 93 79.1 60 100 83.0 70 100 92.5 71,Max Avg Min 15 6.6 1 17 10.1 1 12 5.9 2 8 3.4 1 14 6.2 1 9 4.5 1 7 3.2 1 7 3.1 1 8 5.1 1 12 4.5 1 7 3.2 1 9 4.8 2 7 3.4 1 8 4.1 1 10 5.6 1 10 5.1 1 5 2.2 1 8 3.4 1 5 2.1 1 8 2.7 1 5 2.1 1 18 5.5 0 15 6.8 1 18 6.7 1 14 6.8 1 14 8.1 1 10 3.4 1 6 3.3 1 9 3.6 1 9 3.8 0 8 4.5 1,Max Avg Min 29.6 29.6 29.5 29.6 29.5 29.4 29.6 29.5 29.4 29.6 29.6 29.6 29.6 29.5 29.5 29.7 29.6 29.5 29.8 29.7 29.7 29.8 29.7 29.6 29.9 29.8 29.8 29.8 29.8 29.8 29.9 29.9 29.8 29.9 29.7 29.6 29.7 29.7 29.6 29.7 29.6 29.5 29.9 29.8 29.7 29.9 29.9 29.8 29.9 29.8 29.7 30.0 30.0 29.9 30.1 30.0 30.0 30.0 29.9 29.8 29.8 29.7 29.6 29.6 29.3 29.1 29.2 29.1 29.0 29.3 29.2 29.2 29.5 29.4 29.3 29.8 29.7 29.5 29.8 29.8 29.7 29.7 29.7 29.6 29.6 29.4 29.4 29.4 29.3 29.1 29.3 29.2 29.1,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Jan,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
