Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Aug 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 1,Max Avg Min 52 48.9 45 59 50.3 41 55 52.1 50 55 52.1 46 54 47.2 41 57 48.7 41 57 50.5 43 57 54.0 50 57 54.5 50 57 52.2 48 57 53.9 48 50 48.3 46 57 51.2 41 54 49.0 45 54 48.8 41 57 52.8 48 57 50.9 46 50 46.5 39 52 43.4 34 55 51.7 48 55 52.0 50 57 53.0 50 57 52.3 46 54 50.1 45 63 52.7 43 63 56.4 50 54 50.2 46 57 51.3 45 59 54.8 50 57 51.3 46 59 50.1 43 46 46.0 46,Max Avg Min 41 38.2 36 46 38.0 32 45 40.6 36 48 40.8 28 36 29.1 21 43 37.3 32 48 42.2 37 50 46.7 43 50 48.6 46 52 47.0 43 50 47.9 45 48 46.1 45 46 41.1 36 46 41.4 37 45 41.0 37 48 43.0 39 52 44.6 36 39 35.1 30 37 34.7 32 46 40.4 34 50 45.8 41 50 46.9 43 46 44.1 41 46 44.1 41 48 44.0 41 52 47.3 43 46 41.6 37 48 43.7 39 48 44.1 41 50 45.7 39 48 42.6 34 43 43.0 43,Max Avg Min 76 67.1 58 87 64.6 38 82 65.5 51 82 66.4 38 76 50.9 30 81 66.4 41 93 74.8 48 87 76.3 63 94 81.5 67 94 83.2 72 100 81.5 72 100 92.0 82 100 69.7 51 93 75.2 54 93 74.9 62 82 69.4 58 94 78.8 62 81 64.6 50 93 72.2 50 82 65.8 54 88 80.5 67 94 81.1 63 87 73.3 58 93 79.4 71 100 74.0 48 88 72.3 48 87 72.6 58 93 76.0 51 88 67.5 55 100 81.8 51 93 75.7 48 87 87.0 87,Max Avg Min 37 24.0 2 22 12.7 2 33 18.3 2 23 13.1 3 18 9.6 2 12 7.4 5 17 11.2 5 22 16.3 9 23 13.5 2 24 12.9 3 22 14.5 2 23 10.0 2 21 13.3 5 17 12.3 2 18 11.5 3 23 16.1 12 35 21.9 12 30 20.8 3 23 12.8 2 30 22.5 14 20 12.8 6 24 19.5 13 28 12.3 2 33 18.4 0 24 13.1 2 24 16.4 9 22 10.3 2 21 14.3 7 22 15.9 7 13 6.6 1 12 7.8 2 8 8.0 8,Max Avg Min 29.6 29.6 29.5 29.6 29.4 29.3 29.7 29.6 29.4 29.5 29.4 29.3 29.8 29.6 29.4 29.8 29.8 29.8 29.8 29.8 29.8 29.8 29.7 29.6 29.6 29.4 29.3 29.5 29.4 29.3 29.3 29.3 29.2 29.3 29.2 29.2 29.4 29.4 29.3 30.0 29.7 29.5 30.0 30.0 29.9 29.9 29.8 29.7 30.0 29.7 29.6 30.3 30.2 30.0 30.3 30.2 30.1 30.1 29.8 29.5 29.4 29.3 29.2 29.2 29.1 29.1 29.4 29.3 29.2 29.7 29.6 29.4 29.7 29.6 29.6 29.8 29.6 29.5 30.0 29.9 29.8 30.0 30.0 30.0 30.0 29.9 29.9 30.1 30.0 30.0 30.3 30.1 30.1 30.3 30.3 30.3,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Aug,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
1,,,,,,
Max,Avg,Min,,,,
52,48.9,45,,,,
59,50.3,41,,,,
55,52.1,50,,,,
55,52.1,46,,,,
54,47.2,41,,,,
57,48.7,41,,,,
57,50.5,43,,,,
57,54.0,50,,,,
57,54.5,50,,,,
57,52.2,48,,,,
57,53.9,48,,,,
50,48.3,46,,,,
57,51.2,41,,,,
54,49.0,45,,,,
54,48.8,41,,,,
57,52.8,48,,,,
57,50.9,46,,,,
50,46.5,39,,,,
52,43.4,34,,,,
55,51.7,48,,,,
55,52.0,50,,,,
57,53.0,50,,,,
57,52.3,46,,,,
54,50.1,45,,,,
63,52.7,43,,,,
63,56.4,50,,,,
54,50.2,46,,,,
57,51.3,45,,,,
59,54.8,50,,,,
57,51.3,46,,,,
59,50.1,43,,,,
46,46.0,46,,,,
Max,Avg,Min,,,,
41,38.2,36,,,,
46,38.0,32,,,,
45,40.6,36,,,,
48,40.8,28,,,,
36,29.1,21,,,,
43,37.3,32,,,,
48,42.2,37,,,,
50,46.7,43,,,,
50,48.6,46,,,,
52,47.0,43,,,,
50,47.9,45,,,,
48,46.1,45,,,,
46,41.1,36,,,,
46,41.4,37,,,,
45,41.0,37,,,,
48,43.0,39,,,,
52,44.6,36,,,,
39,35.1,30,,,,
37,34.7,32,,,,
46,40.4,34,,,,
50,45.8,41,,,,
50,46.9,43,,,,
46,44.1,41,,,,
46,44.1,41,,,,
48,44.0,41,,,,
52,47.3,43,,,,
46,41.6,37,,,,
48,43.7,39,,,,
48,44.1,41,,,,
50,45.7,39,,,,
48,42.6,34,,,,
43,43.0,43,,,,
Max,Avg,Min,,,,
76,67.1,58,,,,
87,64.6,38,,,,
82,65.5,51,,,,
82,66.4,38,,,,
76,50.9,30,,,,
81,66.4,41,,,,
93,74.8,48,,,,
87,76.3,63,,,,
94,81.5,67,,,,
94,83.2,72,,,,
100,81.5,72,,,,
100,92.0,82,,,,
100,69.7,51,,,,
93,75.2,54,,,,
93,74.9,62,,,,
82,69.4,58,,,,
94,78.8,62,,,,
81,64.6,50,,,,
93,72.2,50,,,,
82,65.8,54,,,,
88,80.5,67,,,,
94,81.1,63,,,,
87,73.3,58,,,,
93,79.4,71,,,,
100,74.0,48,,,,
88,72.3,48,,,,
