Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
May 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,Max Avg Min 77 62.5 48 70 59.9 52 63 54.5 48 66 56.8 48 64 54.1 45 73 58.1 41 81 65.8 48 79 69.1 61 75 65.5 54 82 71.1 57 72 64.4 55 75 61.8 50 79 64.8 54 81 65.7 50 86 70.1 57 81 64.8 50 61 54.4 50 64 55.0 48 64 55.8 48 70 59.7 48 75 62.7 52 79 65.8 54 81 67.3 55 68 60.1 55 72 62.0 55 72 62.2 54 75 63.6 54 68 60.3 54 72 61.9 54 84 68.6 54 88 71.7 57,Max Avg Min 48 41.6 34 48 42.8 37 46 40.5 39 43 39.4 36 39 29.2 21 34 30.7 21 54 42.6 34 55 47.8 30 41 36.6 30 54 49.1 39 54 44.9 36 43 40.0 37 41 34.1 25 43 36.3 32 46 38.6 27 55 45.3 39 54 47.8 45 50 43.3 37 46 45.1 43 46 42.1 37 46 42.1 28 48 42.9 34 61 50.0 45 55 52.2 48 52 48.6 46 50 47.3 45 54 49.7 43 46 43.2 39 48 43.3 39 54 46.2 41 54 49.2 37,Max Avg Min 66 48.0 28 82 55.4 35 87 60.5 45 76 54.6 32 66 41.5 19 66 38.6 17 68 45.1 24 82 51.2 23 54 35.7 20 72 47.2 32 82 52.2 29 67 47.7 25 58 35.9 14 54 35.7 17 63 36.0 12 82 52.5 23 94 79.7 59 88 67.5 37 93 68.5 45 76 54.8 31 76 51.6 18 72 46.9 22 88 57.3 28 94 76.1 52 77 62.7 43 77 59.4 43 82 61.8 46 67 53.6 40 77 52.9 33 77 48.4 24 88 50.4 17,Max Avg Min 24 8.1 0 25 19.3 15 28 18.9 8 29 20.9 13 32 24.0 14 25 9.5 0 17 6.9 0 28 14.3 5 17 5.5 0 22 9.2 1 29 20.6 1 31 24.0 15 24 18.9 13 13 8.5 5 26 15.0 7 20 8.0 0 36 20.1 5 21 12.0 6 28 16.0 5 20 14.1 7 16 10.9 8 15 8.8 0 24 3.8 0 28 20.2 14 30 25.4 20 29 23.5 13 31 22.8 14 33 23.8 10 31 22.4 10 15 10.7 5 13 3.7 0,Max Avg Min 29.1 29.0 28.9 29.1 29.1 29.0 29.1 29.0 28.9 29.1 29.0 29.0 29.2 29.1 29.1 29.2 29.1 29.1 29.1 29.1 28.9 29.0 28.9 28.8 29.0 29.0 28.9 29.1 29.0 28.9 29.4 29.3 29.1 29.4 29.3 29.2 29.3 29.2 29.1 29.2 29.1 29.0 29.0 29.0 28.9 29.0 28.9 28.7 28.9 28.8 28.7 29.0 28.9 28.9 29.0 29.0 28.9 29.1 29.0 29.0 29.1 29.1 29.0 29.2 29.1 29.1 29.2 29.1 29.0 29.2 29.1 29.1 29.3 29.2 29.1 29.3 29.2 29.1 29.1 29.1 29.0 29.3 29.2 29.1 29.4 29.3 29.3 29.4 29.3 29.3 29.4 29.3 29.2,Total 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
May,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
Max,Avg,Min,,,,
77,62.5,48,,,,
70,59.9,52,,,,
63,54.5,48,,,,
66,56.8,48,,,,
64,54.1,45,,,,
73,58.1,41,,,,
81,65.8,48,,,,
79,69.1,61,,,,
75,65.5,54,,,,
82,71.1,57,,,,
72,64.4,55,,,,
75,61.8,50,,,,
79,64.8,54,,,,
81,65.7,50,,,,
86,70.1,57,,,,
81,64.8,50,,,,
61,54.4,50,,,,
64,55.0,48,,,,
64,55.8,48,,,,
70,59.7,48,,,,
75,62.7,52,,,,
79,65.8,54,,,,
81,67.3,55,,,,
68,60.1,55,,,,
72,62.0,55,,,,
72,62.2,54,,,,
75,63.6,54,,,,
68,60.3,54,,,,
72,61.9,54,,,,
84,68.6,54,,,,
88,71.7,57,,,,
Max,Avg,Min,,,,
48,41.6,34,,,,
48,42.8,37,,,,
46,40.5,39,,,,
43,39.4,36,,,,
39,29.2,21,,,,
34,30.7,21,,,,
54,42.6,34,,,,
55,47.8,30,,,,
41,36.6,30,,,,
54,49.1,39,,,,
54,44.9,36,,,,
43,40.0,37,,,,
41,34.1,25,,,,
43,36.3,32,,,,
46,38.6,27,,,,
55,45.3,39,,,,
54,47.8,45,,,,
50,43.3,37,,,,
46,45.1,43,,,,
46,42.1,37,,,,
46,42.1,28,,,,
48,42.9,34,,,,
61,50.0,45,,,,
55,52.2,48,,,,
52,48.6,46,,,,
50,47.3,45,,,,
54,49.7,43,,,,
46,43.2,39,,,,
48,43.3,39,,,,
54,46.2,41,,,,
54,49.2,37,,,,
Max,Avg,Min,,,,
66,48.0,28,,,,
82,55.4,35,,,,
87,60.5,45,,,,
76,54.6,32,,,,
66,41.5,19,,,,
66,38.6,17,,,,
68,45.1,24,,,,
82,51.2,23,,,,
54,35.7,20,,,,
72,47.2,32,,,,
82,52.2,29,,,,
67,47.7,25,,,,
58,35.9,14,,,,
54,35.7,17,,,,
63,36.0,12,,,,
82,52.5,23,,,,
94,79.7,59,,,,
88,67.5,37,,,,
93,68.5,45,,,,
76,54.8,31,,,,
76,51.6,18,,,,
